REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-35
PATNUM:,1467D
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19761215
LOWFRQ:,3540
HGHFRQ:,4180
GUNITS:,DBI/DBR
LWGAIN:,39.6
MDGAIN:,40.4
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-68.00,
-168.00,-68.00,
-164.00,-70.00,
-114.00,-70.00,
-104.00,-67.00,
-93.00,-67.00,
-66.00,-50.00,
-40.00,-50.00,
-20.00,-44.00,
-15.00,-38.00,
-8.00,-27.00,
-5.50,-27.00,
-3.00,-19.00,
-2.00,-19.00,
-1.80,-15.00,
-1.50,-10.00,
-1.20,-5.00,
-1.00,-3.00,
-0.90,-2.00,
-0.60,-1.00,
0.00,0.00,
0.60,-1.00,
0.90,-2.00,
1.00,-3.00,
1.20,-5.00,
1.50,-10.00,
1.80,-15.00,
2.00,-17.00,
3.00,-17.00,
5.00,-29.00,
10.00,-40.00,
15.00,-42.00,
18.00,-48.00,
30.00,-48.00,
39.00,-52.00,
54.00,-52.00,
72.00,-54.00,
88.00,-60.00,
100.00,-68.00,
108.00,-71.00,
162.00,-71.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-68.00,
-168.00,-68.00,
-162.00,-70.50,
-146.00,-70.50,
-132.00,-72.50,
-86.00,-72.50,
-68.00,-67.00,
-66.00,-64.00,
-49.00,-64.00,
-44.00,-60.00,
-17.00,-60.00,
-15.00,-54.00,
-11.00,-51.00,
-8.60,-44.00,
-3.90,-44.00,
-1.80,-32.00,
0.00,-32.00,
1.30,-32.00,
2.50,-40.00,
6.80,-55.50,
10.00,-55.50,
12.00,-61.00,
15.00,-61.00,
42.00,-61.00,
54.00,-63.50,
71.00,-63.50,
81.00,-71.50,
165.00,-71.50,
171.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-68.00,
-170.00,-68.00,
-162.00,-72.50,
-90.00,-72.50,
-78.00,-61.50,
-72.00,-61.50,
-28.00,-50.00,
-15.00,-37.00,
-2.00,-23.00,
-1.50,-10.00,
-1.20,-5.00,
-1.00,-3.00,
-0.90,-2.00,
-0.60,-1.00,
0.00,0.00,
0.60,-1.00,
0.90,-2.00,
1.00,-3.00,
1.20,-5.00,
1.50,-10.00,
2.00,-24.00,
3.00,-24.00,
6.50,-32.00,
10.50,-36.00,
14.00,-36.00,
15.00,-44.00,
25.00,-44.00,
30.00,-51.00,
40.00,-51.00,
52.00,-54.00,
54.00,-57.50,
72.00,-57.50,
83.00,-60.50,
95.00,-75.00,
162.00,-75.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-68.00,
-170.00,-68.00,
-162.00,-72.50,
-100.00,-72.50,
-98.00,-71.00,
-82.00,-71.00,
-78.00,-70.00,
-69.00,-62.00,
-17.50,-62.00,
-15.00,-60.00,
-13.00,-53.00,
-5.00,-53.00,
-2.90,-41.00,
-1.80,-32.00,
0.00,-32.00,
1.30,-32.00,
2.00,-42.00,
3.20,-44.80,
5.00,-54.20,
14.20,-64.00,
15.00,-64.00,
30.00,-64.00,
40.00,-66.40,
65.00,-66.40,
95.00,-72.50,
97.00,-75.50,
165.00,-75.50,
172.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
