REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-35
PATNUM:,1468D
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19761215
LOWFRQ:,3540
HGHFRQ:,4180
GUNITS:,DBI/DBR
LWGAIN:,39.6
MDGAIN:,40.4
HGGAIN:,41.1
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.0,-68.0,
-170.0,-68.0,
-162.0,-71.0,
-108.0,-71.0,
-100.0,-68.0,
-88.0,-60.0,
-72.0,-54.0,
-54.0,-52.0,
-39.0,-52.0,
-30.0,-48.0,
-18.0,-48.0,
-15.0,-42.0,
-10.0,-40.0,
-5.0,-29.0,
-3.0,-17.0,
-2.0,-17.0,
-1.8,-15.0,
-1.5,-10.0,
-1.2,-5.0,
-1.0,-3.0,
-0.9,-2.0,
-0.6,-1.0,
0.0,0.0,
0.6,-1.0,
0.9,-2.0,
1.0,-3.0,
1.2,-5.0,
1.5,-10.0,
1.8,-15.0,
2.0,-19.0,
3.0,-19.0,
5.5,-27.0,
8.0,-27.0,
15.0,-38.0,
20.0,-44.0,
40.0,-50.0,
66.0,-50.0,
93.0,-67.0,
104.0,-67.0,
114.0,-70.0,
164.0,-70.0,
168.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.0,-68.0,
-171.0,-68.0,
-165.0,-71.5,
-81.0,-71.5,
-71.0,-63.5,
-54.0,-63.5,
-42.0,-61.0,
-15.0,-61.0,
-12.0,-61.0,
-10.0,-55.5,
-6.8,-55.5,
-2.5,-40.0,
-1.3,-32.0,
0.0,-32.0,
1.8,-32.0,
3.9,-44.0,
8.6,-44.0,
11.0,-51.0,
15.0,-54.0,
17.0,-60.0,
44.0,-60.0,
49.0,-64.0,
66.0,-64.0,
68.0,-67.0,
86.0,-72.5,
132.0,-72.5,
146.0,-70.5,
162.0,-70.5,
168.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.0,-68.0,
-170.0,-68.0,
-162.0,-75.0,
-95.0,-75.0,
-83.0,-60.5,
-72.0,-57.5,
-54.0,-57.5,
-52.0,-54.0,
-40.0,-51.0,
-30.0,-51.0,
-25.0,-44.0,
-15.0,-44.0,
-14.0,-36.0,
-10.5,-36.0,
-6.5,-32.0,
-3.0,-24.0,
-2.0,-24.0,
-1.5,-10.0,
-1.2,-5.0,
-1.0,-3.0,
-0.9,-2.0,
-0.6,-1.0,
0.0,0.0,
0.6,-1.0,
0.9,-2.0,
1.0,-3.0,
1.2,-5.0,
1.5,-10.0,
2.0,-23.0,
15.0,-37.0,
28.0,-50.0,
72.0,-61.5,
78.0,-61.5,
90.0,-72.5,
162.0,-72.5,
170.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.0,-68.0,
-172.0,-68.0,
-165.0,-75.5,
-97.0,-75.5,
-95.0,-72.5,
-65.0,-66.4,
-40.0,-66.4,
-30.0,-64.0,
-15.0,-64.0,
-14.2,-64.0,
-5.0,-54.2,
-3.2,-44.8,
-2.0,-42.0,
-1.3,-32.0,
0.0,-32.0,
1.8,-32.0,
2.9,-41.0,
5.0,-53.0,
13.0,-53.0,
15.0,-60.0,
17.5,-62.0,
69.0,-62.0,
78.0,-70.0,
82.0,-71.0,
98.0,-71.0,
100.0,-72.5,
162.0,-72.5,
170.0,-68.0,
180.0,-68.0,
ENDFIL:,EOF
