REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX12-A465
PATNUM:,4108
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19850110
LOWFRQ:,3580
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,40.3
MDGAIN:,40.9
HGGAIN:,41.5
AZWIDT:,1.70
ELWIDT:,1.70
ATVSWR:,1.12
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-73.00,
-171.00,-73.00,
-169.00,-74.00,
-105.00,-74.00,
-100.00,-73.00,
-87.00,-70.00,
-81.00,-60.00,
-72.00,-55.00,
-67.00,-55.00,
-62.00,-49.00,
-48.00,-49.00,
-38.00,-44.50,
-30.00,-43.50,
-15.00,-37.00,
-12.30,-33.00,
-8.20,-33.00,
-7.40,-31.00,
-6.00,-31.00,
-5.00,-28.00,
-4.00,-28.00,
-3.10,-23.20,
-2.90,-20.00,
-2.30,-20.00,
-2.00,-17.00,
-1.50,-8.00,
-1.10,-4.00,
-0.60,-1.00,
-0.30,-0.30,
0.00,0.00,
0.30,-0.30,
0.60,-1.00,
1.10,-4.00,
1.50,-8.00,
2.20,-19.00,
2.40,-22.00,
2.90,-22.00,
3.20,-26.00,
3.80,-31.70,
4.70,-31.70,
5.20,-33.00,
7.20,-33.00,
7.90,-34.80,
11.10,-34.80,
13.00,-40.00,
15.00,-41.20,
17.50,-46.00,
25.30,-47.00,
40.00,-47.00,
46.00,-52.00,
60.00,-53.00,
80.00,-58.00,
90.00,-67.00,
100.00,-73.00,
115.00,-74.00,
169.00,-74.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.00,-76.00,
-89.00,-76.00,
-79.00,-66.50,
-66.00,-66.50,
-60.00,-54.50,
-30.00,-54.50,
-24.70,-51.80,
-15.00,-51.80,
-13.20,-51.80,
-12.50,-48.00,
-5.00,-48.00,
-4.00,-45.00,
-3.00,-45.00,
-2.50,-37.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
3.00,-40.00,
4.70,-49.00,
10.00,-49.00,
11.00,-50.00,
15.00,-50.00,
17.00,-50.00,
22.00,-54.40,
26.50,-54.40,
31.00,-56.60,
45.00,-56.60,
50.00,-58.00,
60.00,-58.00,
77.00,-69.00,
82.00,-69.00,
92.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,56
-180.00,-73.00,
-171.00,-73.00,
-168.00,-76.00,
-105.00,-76.00,
-100.00,-73.00,
-94.00,-69.00,
-88.00,-69.00,
-83.00,-62.00,
-71.00,-51.00,
-40.00,-51.00,
-30.00,-44.00,
-20.00,-43.00,
-16.20,-37.00,
-15.00,-37.00,
-14.20,-37.00,
-13.70,-35.00,
-11.30,-35.00,
-10.80,-33.50,
-7.70,-33.50,
-5.20,-26.00,
-3.50,-26.00,
-2.50,-18.00,
-2.00,-18.00,
-1.60,-12.00,
-1.00,-5.00,
-0.50,-1.00,
-0.30,-0.30,
0.00,0.00,
0.30,-0.30,
0.50,-1.00,
1.00,-5.00,
1.50,-10.00,
2.10,-18.00,
3.00,-18.00,
3.90,-28.00,
5.50,-28.00,
6.30,-32.00,
9.50,-32.00,
10.50,-34.50,
11.50,-34.50,
15.00,-41.00,
20.00,-46.50,
35.00,-46.50,
40.00,-52.00,
67.00,-52.00,
70.00,-58.00,
73.00,-58.00,
79.00,-63.00,
84.00,-63.00,
92.00,-70.00,
96.00,-74.00,
100.00,-74.00,
105.00,-76.00,
169.00,-76.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-76.00,
-98.00,-76.00,
-95.00,-74.00,
-90.00,-74.00,
-72.00,-58.00,
-58.00,-58.00,
-52.00,-54.00,
-20.00,-54.00,
-15.80,-50.70,
-15.00,-50.70,
-6.00,-50.70,
-4.20,-49.00,
-2.50,-39.00,
-1.80,-30.00,
0.00,-30.00,
2.00,-30.00,
3.70,-44.00,
7.00,-44.00,
8.60,-49.90,
15.00,-49.90,
25.00,-55.20,
54.60,-55.20,
80.00,-65.00,
90.00,-76.00,
180.00,-76.00,
ENDFIL:,EOF
