REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8-36
PATNUM:,1143
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940317
LOWFRQ:,3600
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,36.4
MDGAIN:,37.1
HGGAIN:,37.7
AZWIDT:,2.5
ELWIDT:,2.5
ATVSWR:,1.1
FRTOBA:,59
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-59.00,
-100.00,-59.00,
-65.00,-40.00,
-40.00,-34.00,
-35.00,-32.00,
-25.00,-27.00,
-15.00,-25.00,
-14.00,-25.00,
-11.00,-19.00,
-6.50,-19.00,
-3.00,-17.00,
-2.50,-11.80,
-2.00,-7.60,
-1.80,-5.80,
-1.50,-4.30,
-1.30,-3.00,
-1.00,-1.90,
-0.80,-1.20,
-0.60,-0.70,
-0.40,-0.30,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.30,
0.60,-0.70,
0.80,-1.20,
1.00,-1.90,
1.30,-3.00,
1.50,-4.30,
1.80,-5.80,
2.00,-7.60,
2.50,-11.80,
3.00,-17.00,
6.50,-19.00,
11.00,-19.00,
14.00,-25.00,
15.00,-25.00,
25.00,-27.00,
35.00,-32.00,
40.00,-34.00,
65.00,-40.00,
100.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-59.00,
-90.00,-59.00,
-40.00,-45.00,
-30.00,-41.00,
-15.00,-39.00,
-13.00,-32.00,
-3.50,-32.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
3.50,-32.00,
13.00,-32.00,
15.00,-39.00,
30.00,-41.00,
40.00,-45.00,
90.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-59.00,
-100.00,-59.00,
-65.00,-40.00,
-40.00,-34.00,
-35.00,-32.00,
-25.00,-30.00,
-20.00,-27.00,
-15.00,-27.00,
-13.50,-27.00,
-10.00,-20.00,
-6.50,-20.00,
-3.00,-17.00,
-2.50,-11.80,
-2.00,-7.60,
-1.80,-5.80,
-1.50,-4.30,
-1.30,-3.00,
-1.00,-1.90,
-0.80,-1.20,
-0.60,-0.70,
-0.40,-0.30,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.30,
0.60,-0.70,
0.80,-1.20,
1.00,-1.90,
1.30,-3.00,
1.50,-4.30,
1.80,-5.80,
2.00,-7.60,
2.50,-11.80,
3.00,-17.00,
6.50,-20.00,
10.00,-20.00,
13.50,-27.00,
15.00,-27.00,
20.00,-27.00,
25.00,-30.00,
35.00,-32.00,
40.00,-34.00,
65.00,-40.00,
100.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-59.00,
-90.00,-59.00,
-40.00,-45.00,
-30.00,-41.00,
-15.00,-39.00,
-13.00,-35.00,
-4.00,-35.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
4.00,-35.00,
13.00,-35.00,
15.00,-39.00,
30.00,-41.00,
40.00,-45.00,
90.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
