REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX8-36
PATNUM:,2382A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960510
LOWFRQ:,3600
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,36.7
MDGAIN:,37.3
HGGAIN:,37.8
AZWIDT:,2.40
ELWIDT:,2.40
ATVSWR:,1.06
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,65
-180.00,-65.00,
-84.00,-65.00,
-65.00,-54.00,
-60.00,-53.00,
-55.00,-51.50,
-42.50,-51.50,
-40.00,-50.00,
-32.00,-50.00,
-21.50,-42.00,
-13.80,-42.00,
-13.00,-34.50,
-11.70,-34.50,
-11.00,-32.50,
-9.50,-32.50,
-8.50,-27.00,
-5.50,-27.00,
-4.50,-21.50,
-3.00,-21.50,
-2.80,-15.05,
-2.60,-12.97,
-2.40,-11.05,
-2.20,-9.29,
-2.00,-7.68,
-1.80,-6.22,
-1.60,-4.91,
-1.40,-3.76,
-1.20,-2.76,
-1.00,-1.92,
-0.80,-1.22,
-0.60,-0.69,
-0.40,-0.30,
-0.20,-0.07,
0.00,0.00,
0.20,-0.07,
0.40,-0.30,
0.60,-0.69,
0.80,-1.22,
1.00,-1.92,
1.20,-2.70,
1.40,-3.76,
1.60,-4.92,
1.80,-6.22,
2.00,-7.68,
2.20,-9.29,
2.40,-11.05,
2.60,-12.97,
2.80,-15.05,
3.00,-17.28,
3.30,-25.00,
5.00,-25.00,
5.50,-26.00,
8.00,-26.00,
9.00,-27.00,
11.70,-27.00,
13.00,-32.75,
15.00,-32.75,
22.00,-32.75,
36.00,-46.00,
56.00,-46.00,
62.00,-56.00,
70.00,-56.00,
80.00,-62.00,
85.00,-62.00,
90.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-65.00,
-55.00,-65.00,
-45.00,-61.00,
-15.00,-61.00,
-10.50,-61.00,
-9.00,-60.00,
-8.00,-53.00,
-5.00,-53.00,
-3.00,-50.00,
-2.50,-40.00,
0.00,-40.00,
2.50,-40.00,
3.00,-50.00,
5.00,-53.00,
7.50,-53.00,
8.50,-55.00,
15.00,-55.00,
35.00,-55.00,
45.00,-63.00,
60.00,-63.00,
70.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-65.00,
-85.00,-65.00,
-80.00,-61.00,
-72.50,-61.00,
-57.50,-51.00,
-40.00,-51.00,
-15.00,-34.50,
-13.50,-34.50,
-13.00,-28.50,
-9.50,-28.50,
-9.00,-26.00,
-5.00,-26.00,
-4.50,-24.00,
-3.10,-24.00,
-2.80,-15.05,
-2.60,-12.97,
-2.40,-11.05,
-2.20,-9.29,
-2.00,-7.68,
-1.80,-6.22,
-1.60,-4.91,
-1.40,-3.76,
-1.20,-2.76,
-1.00,-1.92,
-0.80,-1.22,
-0.60,-0.69,
-0.40,-0.30,
-0.20,-0.07,
0.00,0.00,
0.20,-0.07,
0.40,-0.30,
0.60,-0.69,
0.80,-1.22,
1.00,-1.92,
1.20,-2.76,
1.40,-3.76,
1.60,-4.91,
1.80,-6.22,
2.00,-7.68,
2.20,-9.29,
2.40,-11.05,
2.50,-12.97,
2.60,-15.05,
3.10,-24.00,
5.50,-24.00,
6.50,-26.00,
8.50,-26.00,
9.00,-27.50,
12.50,-27.50,
13.00,-32.00,
15.00,-32.00,
21.00,-34.00,
27.00,-44.00,
52.00,-44.00,
56.00,-46.00,
58.00,-52.00,
65.00,-52.00,
82.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,26
-180.00,-67.00,
-70.00,-67.00,
-67.00,-66.00,
-28.00,-66.00,
-25.00,-61.00,
-15.00,-61.00,
-12.00,-61.00,
-11.00,-55.00,
-7.00,-55.00,
-5.25,-48.00,
-3.00,-48.00,
-2.50,-40.00,
0.00,-40.00,
2.50,-40.00,
3.00,-48.50,
4.25,-52.00,
11.00,-52.00,
11.50,-55.50,
15.00,-55.50,
30.00,-55.50,
40.00,-62.00,
50.00,-62.00,
55.00,-63.00,
70.00,-63.00,
80.00,-67.00,
180.00,-67.00,
ENDFIL:,EOF
