REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX10-36
PATNUM:,6805
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19780622
LOWFRQ:,3600
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,38.6
MDGAIN:,39.1
HGGAIN:,39.6
AZWIDT:,1.70
ELWIDT:,1.70
ATVSWR:,1.06
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-62.00,
-120.00,-62.00,
-120.00,-60.00,
-110.00,-60.00,
-82.50,-43.00,
-55.00,-43.00,
-50.00,-41.00,
-30.00,-41.00,
-20.00,-32.00,
-15.00,-32.00,
-6.00,-19.00,
-3.50,-19.00,
-2.00,-8.70,
-1.50,-4.90,
-1.00,-2.30,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.30,
1.50,-4.90,
2.00,-8.70,
3.50,-19.00,
6.00,-19.00,
15.00,-32.00,
20.00,-32.00,
30.00,-41.00,
50.00,-41.00,
55.00,-43.00,
82.50,-43.00,
110.00,-60.00,
120.00,-60.00,
120.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-65.00,
-100.00,-65.00,
-84.00,-56.00,
-55.00,-56.00,
-30.00,-48.00,
-18.00,-40.70,
-15.00,-35.00,
-12.50,-34.00,
-8.00,-34.00,
-6.00,-30.00,
-3.00,-26.00,
0.00,-26.00,
3.00,-26.00,
6.00,-30.00,
8.00,-34.00,
12.50,-34.00,
15.00,-35.00,
18.00,-40.70,
30.00,-48.00,
55.00,-56.00,
84.00,-56.00,
100.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-62.00,
-120.00,-62.00,
-120.00,-60.00,
-110.00,-60.00,
-82.50,-43.00,
-55.00,-43.00,
-50.00,-41.00,
-30.00,-41.00,
-20.00,-32.00,
-15.00,-32.00,
-6.00,-19.00,
-3.50,-19.00,
-2.00,-8.70,
-1.50,-4.90,
-1.00,-2.30,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-2.30,
1.50,-4.90,
2.00,-8.70,
3.50,-19.00,
6.00,-19.00,
15.00,-32.00,
20.00,-32.00,
30.00,-41.00,
50.00,-41.00,
55.00,-43.00,
82.50,-43.00,
110.00,-60.00,
120.00,-60.00,
120.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-65.00,
-100.00,-65.00,
-84.00,-56.00,
-55.00,-56.00,
-30.00,-48.00,
-18.00,-40.70,
-15.00,-35.00,
-12.50,-34.00,
-8.00,-34.00,
-6.00,-30.00,
-3.00,-26.00,
0.00,-26.00,
3.00,-26.00,
6.00,-30.00,
8.00,-34.00,
12.50,-34.00,
15.00,-35.00,
18.00,-40.70,
30.00,-48.00,
55.00,-56.00,
84.00,-56.00,
100.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
