REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-36
PATNUM:,1145
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19940317
LOWFRQ:,3600
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,39.9
MDGAIN:,40.6
HGGAIN:,41.2
AZWIDT:,1.6
ELWIDT:,1.6
ATVSWR:,1.1
FRTOBA:,62
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-62.00,
-100.00,-62.00,
-65.00,-45.00,
-40.00,-40.00,
-30.00,-35.00,
-20.00,-32.00,
-15.00,-30.00,
-11.50,-24.00,
-10.00,-24.00,
-10.00,-23.00,
-8.00,-20.00,
-2.50,-20.00,
-2.00,-18.00,
-1.80,-14.60,
-1.60,-11.50,
-1.40,-8.80,
-1.20,-6.50,
-1.00,-4.50,
-0.80,-2.90,
-0.60,-1.60,
-0.40,-0.70,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.70,
0.60,-1.60,
0.80,-2.90,
1.00,-4.50,
1.20,-6.50,
1.40,-8.80,
1.60,-11.50,
1.80,-14.60,
2.00,-18.00,
2.50,-20.00,
8.00,-20.00,
10.00,-23.00,
10.00,-24.00,
11.50,-24.00,
15.00,-30.00,
20.00,-32.00,
30.00,-35.00,
40.00,-40.00,
65.00,-45.00,
100.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-62.00,
-90.00,-62.00,
-40.00,-50.00,
-25.00,-45.00,
-15.00,-45.00,
-10.00,-42.00,
-5.00,-38.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
5.00,-38.00,
10.00,-42.00,
15.00,-45.00,
25.00,-45.00,
40.00,-50.00,
90.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-62.00,
-100.00,-62.00,
-65.00,-45.00,
-40.00,-40.00,
-30.00,-35.00,
-15.00,-32.00,
-7.50,-20.00,
-2.50,-20.00,
-2.00,-18.00,
-1.80,-14.60,
-1.60,-11.50,
-1.40,-8.80,
-1.20,-6.50,
-1.00,-4.50,
-0.80,-2.90,
-0.60,-1.60,
-0.40,-0.70,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.70,
0.60,-1.60,
0.80,-2.90,
1.00,-4.50,
1.20,-6.50,
1.40,-8.80,
1.60,-11.50,
1.80,-14.60,
2.00,-18.00,
2.50,-20.00,
7.50,-20.00,
15.00,-32.00,
30.00,-35.00,
40.00,-40.00,
65.00,-45.00,
100.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-62.00,
-90.00,-62.00,
-25.00,-45.00,
-15.00,-42.00,
-10.00,-38.00,
-5.00,-38.00,
-2.50,-30.00,
0.00,-30.00,
2.50,-30.00,
5.00,-38.00,
10.00,-38.00,
15.00,-42.00,
25.00,-45.00,
90.00,-62.00,
180.00,-62.00,
ENDFIL:,EOF
