REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-37
PATNUM:,1435H
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820803
LOWFRQ:,3700
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,38.5
MDGAIN:,39.1
HGGAIN:,39.5
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-67.00,
-171.00,-67.00,
-169.00,-72.00,
-150.00,-72.00,
-112.00,-70.40,
-101.98,-70.28,
-91.14,-66.69,
-81.57,-57.60,
-75.92,-56.67,
-71.45,-54.16,
-69.54,-51.69,
-60.43,-50.13,
-40.83,-50.13,
-39.74,-49.40,
-30.17,-46.47,
-28.89,-44.22,
-20.32,-36.67,
-15.00,-36.67,
-12.94,-36.67,
-11.30,-32.28,
-10.66,-32.28,
-9.55,-29.34,
-6.06,-29.34,
-5.91,-27.99,
-4.04,-22.99,
-3.17,-19.34,
-2.05,-15.90,
-1.54,-7.87,
-1.11,-3.89,
-0.50,-0.63,
0.00,0.00,
0.50,-0.80,
1.04,-3.85,
1.55,-7.81,
2.07,-14.16,
3.33,-20.21,
4.01,-24.91,
5.86,-27.40,
6.18,-27.62,
7.31,-34.30,
9.02,-34.30,
10.66,-38.01,
12.12,-38.01,
14.00,-45.00,
15.00,-45.63,
22.00,-50.00,
25.43,-50.48,
33.08,-51.96,
36.00,-54.00,
83.00,-54.00,
92.00,-66.00,
100.00,-70.00,
110.00,-70.00,
130.00,-72.00,
169.00,-72.00,
171.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,60
-180.00,-67.00,
-171.00,-67.00,
-169.00,-72.00,
-100.00,-72.00,
-92.00,-71.00,
-84.00,-65.00,
-78.00,-65.00,
-66.00,-56.50,
-44.00,-56.50,
-37.00,-51.85,
-31.35,-46.31,
-26.89,-46.31,
-20.96,-44.71,
-16.04,-39.12,
-15.00,-37.85,
-14.49,-37.22,
-12.12,-35.09,
-11.76,-35.09,
-10.21,-34.38,
-9.68,-34.38,
-8.54,-33.23,
-7.26,-33.23,
-6.27,-31.13,
-5.41,-29.49,
-4.62,-28.51,
-3.00,-22.74,
-2.00,-11.00,
-1.66,-7.00,
-1.04,-3.00,
-0.59,-0.95,
0.00,0.00,
0.54,-0.79,
1.01,-3.00,
1.52,-7.75,
2.14,-14.16,
3.15,-25.00,
4.19,-30.50,
5.66,-30.50,
7.33,-36.50,
8.20,-36.50,
9.30,-37.48,
10.75,-38.92,
11.57,-38.96,
12.94,-38.96,
13.85,-44.61,
14.31,-45.30,
15.00,-45.30,
15.13,-45.30,
20.42,-45.82,
25.79,-52.64,
33.72,-54.61,
35.45,-58.62,
76.74,-58.62,
80.66,-59.49,
95.70,-68.35,
100.80,-68.35,
110.00,-72.00,
169.00,-72.00,
171.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,40
-180.00,-70.00,
-171.00,-70.00,
-160.00,-75.00,
-86.00,-75.00,
-80.75,-73.84,
-76.28,-71.31,
-71.00,-71.23,
-68.26,-71.19,
-62.00,-67.00,
-26.00,-67.00,
-21.00,-55.00,
-16.50,-55.00,
-15.00,-52.50,
-12.34,-52.50,
-11.67,-46.50,
-4.00,-46.50,
-3.00,-41.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
4.66,-49.00,
5.19,-52.77,
6.84,-58.31,
7.29,-58.31,
8.20,-60.76,
10.12,-65.56,
15.00,-65.56,
17.77,-65.56,
21.33,-66.11,
27.43,-68.23,
50.13,-68.23,
59.88,-70.68,
63.07,-71.59,
67.99,-71.59,
73.82,-72.16,
76.28,-73.37,
80.00,-75.00,
160.00,-75.00,
171.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,43
-180.00,-70.00,
-171.00,-70.00,
-165.00,-73.00,
-120.00,-73.00,
-110.00,-69.00,
-90.00,-69.00,
-80.00,-67.00,
-30.00,-67.00,
-26.00,-64.00,
-20.96,-60.60,
-18.05,-60.32,
-15.00,-55.65,
-13.58,-53.47,
-12.61,-53.47,
-11.94,-52.24,
-10.91,-52.08,
-7.02,-52.08,
-6.00,-51.00,
-4.67,-51.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
6.00,-56.00,
6.97,-58.19,
7.15,-58.43,
8.84,-58.60,
9.11,-60.96,
10.39,-61.23,
12.12,-61.23,
14.76,-61.75,
15.00,-61.75,
19.69,-61.75,
21.60,-65.15,
44.66,-65.15,
46.66,-67.14,
61.61,-67.14,
68.63,-67.26,
75.28,-67.26,
82.00,-71.50,
90.00,-73.00,
165.00,-73.00,
171.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
