REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-37
PATNUM:,1436H
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820803
LOWFRQ:,3700
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,38.5
MDGAIN:,39.1
HGGAIN:,39.5
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-67.00,
-171.00,-67.00,
-169.00,-72.00,
-130.00,-72.00,
-110.00,-70.00,
-100.00,-70.00,
-92.00,-66.00,
-83.00,-54.00,
-36.00,-54.00,
-33.08,-51.96,
-25.43,-50.48,
-22.00,-50.00,
-15.00,-45.63,
-14.00,-45.00,
-12.12,-38.01,
-10.66,-38.01,
-9.02,-34.30,
-7.31,-34.30,
-6.18,-27.62,
-5.86,-27.40,
-4.01,-24.91,
-3.33,-20.21,
-2.07,-14.16,
-1.55,-7.81,
-1.04,-3.85,
-0.50,-0.80,
0.00,0.00,
0.50,-0.63,
1.11,-3.89,
1.54,-7.87,
2.05,-15.90,
3.17,-19.34,
4.04,-22.99,
5.91,-27.99,
6.06,-29.34,
9.55,-29.34,
10.66,-32.28,
11.30,-32.28,
12.94,-36.67,
15.00,-36.67,
20.32,-36.67,
28.89,-44.22,
30.17,-46.47,
39.74,-49.40,
40.83,-50.13,
60.43,-50.13,
69.54,-51.69,
71.45,-54.16,
75.92,-56.67,
81.57,-57.60,
91.14,-66.69,
101.98,-70.28,
112.00,-70.40,
150.00,-72.00,
169.00,-72.00,
171.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,60
-180.00,-67.00,
-171.00,-67.00,
-169.00,-72.00,
-110.00,-72.00,
-100.80,-68.35,
-95.70,-68.35,
-80.66,-59.49,
-76.74,-58.62,
-35.45,-58.62,
-33.72,-54.61,
-25.79,-52.64,
-20.42,-45.82,
-15.13,-45.30,
-15.00,-45.30,
-14.31,-45.30,
-13.85,-44.61,
-12.94,-38.96,
-11.57,-38.96,
-10.75,-38.92,
-9.30,-37.48,
-8.20,-36.50,
-7.33,-36.50,
-5.66,-30.50,
-4.19,-30.50,
-3.15,-25.00,
-2.14,-14.16,
-1.52,-7.75,
-1.01,-3.00,
-0.54,-0.79,
0.00,0.00,
0.59,-0.95,
1.04,-3.00,
1.66,-7.00,
2.00,-11.00,
3.00,-22.74,
4.62,-28.51,
5.41,-29.49,
6.27,-31.13,
7.26,-33.23,
8.54,-33.23,
9.68,-34.38,
10.21,-34.38,
11.76,-35.09,
12.12,-35.09,
14.49,-37.22,
15.00,-37.85,
16.04,-39.12,
20.96,-44.71,
26.89,-46.31,
31.35,-46.31,
37.00,-51.85,
44.00,-56.50,
66.00,-56.50,
78.00,-65.00,
84.00,-65.00,
92.00,-71.00,
100.00,-72.00,
169.00,-72.00,
171.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,40
-180.00,-70.00,
-171.00,-70.00,
-160.00,-75.00,
-80.00,-75.00,
-76.28,-73.37,
-73.82,-72.16,
-67.99,-71.59,
-63.07,-71.59,
-59.88,-70.68,
-50.13,-68.23,
-27.43,-68.23,
-21.33,-66.11,
-17.77,-65.56,
-15.00,-65.56,
-10.12,-65.56,
-8.20,-60.76,
-7.29,-58.31,
-6.84,-58.31,
-5.19,-52.77,
-4.66,-49.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
3.00,-41.00,
4.00,-46.50,
11.67,-46.50,
12.34,-52.50,
15.00,-52.50,
16.50,-55.00,
21.00,-55.00,
26.00,-67.00,
62.00,-67.00,
68.26,-71.19,
71.00,-71.23,
76.28,-71.31,
80.75,-73.84,
86.00,-75.00,
160.00,-75.00,
171.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,43
-180.00,-70.00,
-171.00,-70.00,
-165.00,-73.00,
-90.00,-73.00,
-82.00,-71.50,
-75.28,-67.26,
-68.63,-67.26,
-61.61,-67.14,
-46.66,-67.14,
-44.66,-65.15,
-21.60,-65.15,
-19.69,-61.75,
-15.00,-61.75,
-14.76,-61.75,
-12.12,-61.23,
-10.39,-61.23,
-9.11,-60.96,
-8.84,-58.60,
-7.15,-58.43,
-6.97,-58.19,
-6.00,-56.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
4.67,-51.00,
6.00,-51.00,
7.02,-52.08,
10.91,-52.08,
11.94,-52.24,
12.61,-53.47,
13.58,-53.47,
15.00,-55.65,
18.05,-60.32,
20.96,-60.60,
26.00,-64.00,
30.00,-67.00,
80.00,-67.00,
90.00,-69.00,
110.00,-69.00,
120.00,-73.00,
165.00,-73.00,
171.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
