REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX12-37
PATNUM:,1438H
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19820904
LOWFRQ:,3700
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,40.4
MDGAIN:,41.0
HGGAIN:,41.2
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,62
-180.00,-73.00,
-171.00,-73.00,
-169.00,-79.00,
-145.00,-79.00,
-136.00,-76.00,
-100.00,-76.00,
-92.00,-72.00,
-82.00,-61.50,
-60.00,-56.80,
-40.00,-56.80,
-37.15,-56.24,
-32.28,-55.06,
-26.00,-54.00,
-18.00,-46.00,
-15.00,-45.50,
-13.71,-43.91,
-12.81,-43.37,
-11.45,-43.37,
-10.19,-38.12,
-9.00,-38.00,
-7.67,-32.70,
-6.33,-32.70,
-5.00,-27.00,
-3.33,-27.00,
-2.54,-19.02,
-1.58,-12.64,
-1.05,-5.03,
-0.61,-1.65,
-0.33,-0.50,
0.00,0.00,
0.33,-0.50,
0.58,-1.77,
1.06,-5.70,
1.56,-12.62,
2.40,-22.51,
3.01,-24.10,
4.60,-28.42,
5.38,-30.43,
6.88,-31.88,
7.06,-31.88,
8.10,-32.43,
9.06,-32.59,
10.45,-34.38,
11.54,-34.38,
12.63,-38.32,
14.34,-38.32,
15.00,-39.41,
19.00,-46.00,
26.00,-47.00,
33.01,-49.43,
36.79,-50.43,
66.64,-50.43,
70.88,-54.43,
77.83,-59.89,
80.98,-62.58,
90.00,-70.00,
110.00,-74.00,
140.00,-74.00,
150.00,-77.00,
169.00,-77.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,66
-180.00,-73.00,
-171.00,-73.00,
-169.00,-80.00,
-92.00,-80.00,
-80.00,-61.70,
-72.87,-61.70,
-68.63,-60.01,
-45.18,-60.01,
-44.82,-59.04,
-36.70,-57.01,
-33.28,-53.37,
-26.42,-50.84,
-20.65,-48.46,
-15.87,-46.49,
-15.00,-46.49,
-14.43,-46.49,
-13.26,-45.73,
-12.90,-44.16,
-11.45,-44.16,
-10.19,-40.33,
-9.38,-39.19,
-8.51,-38.55,
-7.86,-34.44,
-6.85,-34.07,
-5.23,-30.68,
-4.43,-29.59,
-3.65,-29.59,
-2.62,-23.21,
-1.66,-12.60,
-1.11,-5.29,
-0.57,-1.59,
-0.33,-0.50,
0.00,0.00,
0.33,-0.50,
0.62,-1.53,
1.05,-5.59,
1.51,-10.67,
2.07,-18.56,
3.32,-28.76,
4.54,-30.68,
5.17,-32.31,
6.00,-33.73,
7.39,-33.73,
8.39,-33.89,
9.02,-34.27,
11.90,-40.11,
15.00,-40.11,
15.78,-40.11,
23.63,-46.00,
26.00,-46.00,
30.00,-50.00,
38.00,-54.00,
41.12,-56.61,
64.12,-56.61,
66.82,-58.14,
73.50,-61.70,
78.73,-66.49,
81.97,-67.78,
90.00,-73.50,
100.00,-78.00,
110.00,-80.00,
140.00,-80.00,
150.00,-77.00,
169.00,-77.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,46
-180.00,-75.00,
-171.00,-75.00,
-169.00,-84.00,
-90.00,-84.00,
-86.00,-80.00,
-82.50,-77.74,
-77.00,-77.74,
-73.00,-73.67,
-68.27,-73.67,
-62.77,-71.32,
-43.47,-71.32,
-36.88,-69.67,
-27.60,-69.67,
-21.64,-66.25,
-19.12,-64.21,
-15.00,-64.21,
-8.50,-64.21,
-8.00,-60.50,
-6.80,-60.50,
-6.36,-58.73,
-5.40,-55.65,
-4.00,-53.00,
-3.00,-46.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
2.67,-44.00,
6.67,-44.00,
8.33,-53.50,
10.00,-61.00,
15.00,-61.00,
19.00,-61.00,
22.00,-66.50,
25.52,-67.05,
31.83,-67.05,
37.33,-67.27,
44.19,-70.29,
64.30,-70.29,
66.00,-74.00,
80.00,-74.00,
90.00,-80.00,
100.00,-84.00,
160.00,-84.00,
169.00,-81.00,
171.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,49
-180.00,-75.00,
-171.00,-75.00,
-169.00,-81.00,
-100.00,-81.00,
-90.00,-80.00,
-81.44,-75.56,
-76.00,-73.61,
-70.41,-73.61,
-66.73,-70.17,
-52.47,-70.17,
-46.46,-66.33,
-20.92,-66.33,
-15.21,-64.80,
-15.00,-64.80,
-13.17,-64.80,
-12.75,-61.94,
-8.48,-61.94,
-7.42,-58.91,
-6.85,-56.35,
-5.67,-55.80,
-4.00,-51.72,
-3.67,-48.00,
-2.67,-45.50,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
2.43,-40.03,
3.31,-44.66,
4.33,-51.38,
6.34,-51.38,
7.12,-55.24,
8.21,-55.24,
9.92,-56.99,
11.30,-56.99,
12.99,-58.50,
13.48,-58.50,
15.00,-59.93,
15.42,-60.33,
23.78,-66.61,
49.96,-66.61,
53.75,-68.92,
60.15,-68.92,
68.90,-70.86,
73.00,-71.66,
90.00,-80.00,
100.00,-81.00,
169.00,-81.00,
171.00,-75.00,
180.00,-75.00,
ENDFIL:,EOF
