REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX15-37
PATNUM:,1439H
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19821217
LOWFRQ:,3700
HGHFRQ:,4200
GUNITS:,DBI/DBR
LWGAIN:,42.1
MDGAIN:,42.7
HGGAIN:,43.1
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.06
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-75.00,
-171.00,-75.00,
-169.00,-77.00,
-150.00,-77.00,
-120.00,-74.00,
-100.00,-71.00,
-91.94,-67.86,
-82.92,-61.85,
-75.98,-56.69,
-70.76,-53.01,
-68.59,-52.95,
-49.12,-52.95,
-40.74,-51.63,
-34.25,-51.63,
-26.05,-49.53,
-20.19,-47.47,
-18.39,-45.24,
-15.00,-45.24,
-12.53,-45.24,
-10.55,-36.08,
-9.01,-31.75,
-7.66,-31.75,
-6.49,-30.13,
-3.73,-30.13,
-2.16,-23.04,
-1.61,-20.55,
-1.00,-7.89,
-0.51,-1.70,
-0.20,-0.50,
0.00,0.00,
0.20,-0.50,
0.58,-2.41,
1.01,-7.81,
1.98,-17.59,
3.33,-28.00,
3.95,-28.36,
4.67,-33.20,
5.95,-33.20,
7.60,-37.00,
9.55,-42.02,
10.28,-42.05,
15.00,-47.43,
15.50,-48.00,
20.01,-50.60,
27.40,-54.99,
38.49,-54.99,
42.09,-56.28,
55.52,-56.28,
60.21,-57.64,
72.38,-57.64,
77.61,-60.01,
83.01,-60.01,
95.00,-71.00,
100.00,-74.00,
120.00,-75.00,
150.00,-79.00,
169.00,-79.00,
171.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,68
-180.00,-73.00,
-171.00,-73.00,
-169.00,-78.00,
-104.00,-78.00,
-100.05,-76.92,
-90.77,-71.82,
-80.31,-63.93,
-75.08,-59.28,
-71.12,-57.52,
-69.85,-56.65,
-61.29,-56.61,
-41.91,-56.61,
-36.87,-55.35,
-33.80,-52.76,
-25.78,-51.03,
-21.18,-46.27,
-15.95,-44.25,
-15.00,-42.70,
-14.87,-42.49,
-13.07,-41.24,
-12.80,-41.24,
-11.54,-37.19,
-9.28,-37.19,
-8.11,-32.03,
-7.21,-32.03,
-6.40,-31.08,
-3.62,-31.08,
-2.69,-30.79,
-1.56,-17.01,
-1.07,-7.91,
-0.53,-1.70,
-0.20,-0.50,
0.00,0.00,
0.20,-0.50,
0.51,-1.86,
1.02,-7.69,
1.52,-18.93,
2.09,-27.16,
3.47,-28.52,
4.10,-31.47,
5.18,-34.59,
6.08,-36.57,
7.03,-38.85,
8.20,-39.31,
9.82,-42.31,
10.37,-42.31,
11.45,-44.86,
12.62,-46.82,
13.97,-48.14,
14.69,-48.92,
15.00,-48.92,
15.68,-48.92,
20.46,-50.50,
27.94,-55.29,
33.80,-58.47,
35.87,-58.47,
40.56,-59.22,
45.25,-59.22,
50.57,-60.25,
55.79,-60.25,
63.73,-60.45,
69.76,-60.49,
72.00,-63.00,
80.00,-63.50,
100.00,-78.00,
169.00,-78.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,40
-180.00,-76.00,
-171.00,-76.00,
-169.00,-81.00,
-108.97,-81.00,
-90.00,-80.00,
-80.85,-70.79,
-74.18,-70.79,
-68.50,-69.86,
-45.88,-69.86,
-42.27,-68.06,
-35.42,-64.64,
-24.34,-64.64,
-15.95,-63.81,
-15.00,-62.17,
-14.87,-61.95,
-13.16,-57.74,
-11.54,-57.74,
-7.48,-49.02,
-6.85,-46.50,
-3.67,-46.50,
-2.00,-39.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
2.66,-46.00,
3.66,-52.00,
5.33,-53.00,
6.66,-58.00,
8.29,-62.54,
15.00,-62.54,
16.67,-62.54,
22.08,-63.69,
26.14,-68.63,
33.89,-69.07,
65.00,-69.00,
90.00,-80.00,
110.00,-83.00,
169.00,-83.00,
171.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,52
-180.00,-76.00,
-171.00,-76.00,
-169.00,-83.00,
-120.00,-83.00,
-110.00,-80.00,
-100.00,-80.00,
-90.00,-77.00,
-80.85,-72.67,
-75.17,-70.31,
-74.45,-70.00,
-57.60,-70.00,
-52.46,-68.91,
-45.34,-65.15,
-28.30,-65.15,
-24.52,-65.08,
-16.13,-64.54,
-15.00,-62.09,
-12.26,-56.16,
-10.00,-52.00,
-8.34,-52.00,
-7.30,-49.00,
-4.67,-49.00,
-3.00,-40.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
1.59,-33.00,
2.28,-37.03,
3.02,-43.06,
4.69,-52.46,
5.33,-55.47,
6.13,-55.47,
7.03,-60.98,
11.27,-60.98,
12.08,-61.91,
13.70,-61.91,
14.24,-62.92,
15.00,-62.92,
15.95,-62.92,
21.81,-64.82,
25.06,-66.82,
33.71,-67.11,
36.50,-67.37,
44.98,-68.71,
67.87,-68.71,
70.94,-70.51,
80.00,-71.50,
100.00,-80.00,
104.00,-81.00,
169.00,-81.00,
171.00,-76.00,
180.00,-76.00,
ENDFIL:,EOF
