REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VHPX2-370
PATNUM:,4359A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001031
LOWFRQ:,37000
HGHFRQ:,40000
GUNITS:,DBI/DBR
LWGAIN:,44.0
MDGAIN:,44.3
HGGAIN:,44.6
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.25
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,55
-180.00,-65.00,
-70.00,-65.00,
-55.00,-54.00,
-48.00,-49.00,
-42.00,-48.00,
-41.00,-46.00,
-36.00,-46.00,
-28.00,-44.00,
-22.00,-42.00,
-17.00,-42.00,
-16.00,-38.00,
-15.00,-37.00,
-11.00,-37.00,
-9.20,-36.00,
-6.00,-30.00,
-5.00,-29.00,
-2.00,-28.00,
-1.40,-28.00,
-1.30,-24.00,
-1.20,-20.00,
-1.10,-16.00,
-1.00,-12.30,
-0.90,-9.10,
-0.80,-6.30,
-0.60,-3.70,
-0.40,-1.50,
-0.10,-0.10,
-0.00,-0.00,
0.10,-0.10,
0.40,-1.50,
0.60,-3.70,
0.80,-6.30,
0.90,-9.10,
1.00,-12.30,
1.10,-16.00,
1.20,-20.00,
1.30,-24.00,
1.40,-28.00,
2.00,-28.00,
5.00,-29.00,
6.00,-30.00,
9.20,-36.00,
11.00,-37.00,
15.00,-37.00,
16.00,-38.00,
17.00,-42.00,
22.00,-42.00,
28.00,-44.00,
36.00,-46.00,
41.00,-46.00,
42.00,-48.00,
48.00,-49.00,
55.00,-54.00,
70.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-66.00,
-60.00,-66.00,
-54.00,-60.00,
-44.00,-58.00,
-29.00,-56.00,
-17.00,-56.00,
-15.00,-50.00,
-2.00,-50.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
2.00,-50.00,
15.00,-50.00,
17.00,-56.00,
29.00,-56.00,
44.00,-58.00,
54.00,-60.00,
60.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-65.00,
-70.00,-65.00,
-56.00,-63.00,
-48.00,-55.50,
-44.00,-52.00,
-39.50,-51.50,
-35.00,-50.00,
-26.00,-47.00,
-20.00,-45.00,
-17.00,-43.00,
-15.00,-43.00,
-12.10,-39.00,
-7.60,-34.30,
-6.60,-32.00,
-5.70,-30.00,
-3.20,-30.00,
-3.00,-28.00,
-1.60,-28.00,
-1.50,-26.00,
-1.30,-26.00,
-1.20,-22.00,
-1.10,-18.00,
-1.00,-13.90,
-0.90,-10.70,
-0.80,-8.20,
-0.70,-5.30,
-0.60,-3.30,
-0.40,-1.50,
-0.20,-0.20,
-0.00,-0.00,
0.20,-0.20,
0.40,-1.50,
0.60,-3.30,
0.70,-5.30,
0.80,-8.20,
0.90,-10.70,
1.00,-13.90,
1.10,-18.00,
1.20,-22.00,
1.30,-26.00,
1.50,-26.00,
1.60,-28.00,
3.00,-28.00,
3.20,-30.00,
5.70,-30.00,
6.60,-32.00,
7.60,-34.30,
12.10,-39.00,
15.00,-43.00,
17.00,-43.00,
20.00,-45.00,
26.00,-47.00,
35.00,-50.00,
39.50,-51.50,
44.00,-52.00,
48.00,-55.50,
56.00,-63.00,
70.00,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-65.00,
-60.00,-65.00,
-50.00,-61.00,
-35.00,-57.00,
-23.00,-56.00,
-20.00,-52.00,
-15.00,-50.00,
-5.00,-50.00,
-4.00,-48.00,
-3.00,-48.00,
-2.00,-42.00,
-1.20,-42.00,
-1.00,-32.00,
-0.00,-32.00,
1.00,-32.00,
1.20,-42.00,
2.00,-42.00,
3.00,-48.00,
4.00,-48.00,
5.00,-50.00,
15.00,-50.00,
20.00,-52.00,
23.00,-56.00,
35.00,-57.00,
50.00,-61.00,
60.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
