REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL4-44
PATNUM:,2495
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870202
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,32.3
MDGAIN:,32.7
HGGAIN:,33.1
AZWIDT:,3.70
ELWIDT:,3.70
ATVSWR:,1.08
FRTOBA:,40.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-40.00,
-170.00,-40.00,
-170.00,-43.00,
-140.00,-43.00,
-100.00,-31.40,
-54.80,-31.40,
-50.00,-28.10,
-29.70,-28.10,
-20.00,-24.00,
-15.00,-24.00,
-12.00,-19.50,
-7.80,-19.50,
-6.00,-15.00,
-3.80,-15.00,
-3.30,-11.00,
-2.70,-7.00,
-2.20,-4.60,
-1.80,-3.00,
-1.30,-1.40,
-0.90,-0.80,
-0.60,-0.40,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.60,-0.40,
0.90,-0.80,
1.30,-1.40,
1.80,-3.00,
2.20,-4.60,
2.70,-7.00,
3.30,-11.00,
3.80,-15.00,
6.00,-15.00,
7.80,-19.50,
12.00,-19.50,
15.00,-24.00,
20.00,-24.00,
29.70,-28.10,
50.00,-28.10,
54.80,-31.40,
100.00,-31.40,
140.00,-43.00,
170.00,-43.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,15
-180.00,-49.00,
-170.00,-49.00,
-170.00,-53.00,
-125.00,-53.00,
-90.00,-42.00,
-4.70,-42.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
4.70,-42.00,
90.00,-42.00,
125.00,-53.00,
170.00,-53.00,
170.00,-49.00,
180.00,-49.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-40.00,
-170.00,-40.00,
-170.00,-44.00,
-130.00,-44.00,
-100.00,-33.00,
-35.00,-33.00,
-15.00,-21.00,
-12.50,-17.50,
-8.00,-15.00,
-6.00,-11.00,
-3.30,-11.00,
-2.70,-7.00,
-2.20,-4.60,
-1.80,-3.00,
-1.30,-1.40,
-0.90,-0.80,
-0.60,-0.40,
-0.30,-0.10,
0.00,0.00,
0.30,-0.10,
0.60,-0.40,
0.90,-0.80,
1.30,-1.40,
1.80,-3.00,
2.20,-4.60,
2.70,-7.00,
3.30,-11.00,
6.00,-11.00,
8.00,-15.00,
12.50,-17.50,
15.00,-21.00,
35.00,-33.00,
100.00,-33.00,
130.00,-44.00,
170.00,-44.00,
170.00,-40.00,
180.00,-40.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-49.00,
-120.00,-49.00,
-100.00,-41.00,
-49.00,-41.00,
-35.00,-38.10,
-20.00,-30.00,
0.00,-30.00,
20.00,-30.00,
35.00,-38.10,
49.00,-41.00,
100.00,-41.00,
120.00,-49.00,
180.00,-49.00,
ENDFIL:,EOF
