REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX8-44
PATNUM:,2406B
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960612
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,38.2
MDGAIN:,38.8
HGGAIN:,39.3
AZWIDT:,1.90
ELWIDT:,1.90
ATVSWR:,1.06
FRTOBA:,70.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,55
-180.00,-70.00,
-93.00,-70.00,
-85.00,-67.00,
-80.00,-67.00,
-70.00,-63.00,
-65.00,-54.50,
-41.00,-54.50,
-40.00,-49.00,
-27.00,-49.00,
-25.00,-43.00,
-20.00,-42.00,
-15.00,-42.00,
-13.00,-42.00,
-12.50,-40.50,
-11.20,-40.50,
-10.60,-34.00,
-9.50,-32.00,
-7.50,-32.00,
-7.00,-28.00,
-4.20,-28.00,
-3.60,-22.50,
-2.50,-22.50,
-2.17,-16.00,
-1.80,-9.70,
-1.44,-6.10,
-0.95,-3.00,
-0.80,-1.92,
-0.60,-1.08,
-0.40,-0.48,
-0.20,-0.12,
0.00,0.00,
0.20,-0.12,
0.40,-0.48,
0.60,-1.08,
0.80,-1.92,
0.95,-3.00,
1.44,-6.10,
1.80,-9.70,
2.17,-16.00,
2.50,-21.97,
2.60,-25.50,
3.50,-25.50,
4.00,-28.00,
8.50,-28.00,
10.20,-30.00,
11.00,-34.80,
15.00,-34.80,
20.00,-34.80,
30.00,-46.50,
61.00,-46.50,
71.00,-57.00,
75.00,-57.00,
80.00,-64.00,
91.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,24
-180.00,-72.00,
-64.00,-72.00,
-59.00,-69.50,
-52.00,-69.50,
-40.00,-63.00,
-15.00,-63.00,
-13.00,-63.00,
-12.50,-62.00,
-7.50,-62.00,
-5.00,-60.00,
-4.00,-57.00,
-3.00,-57.00,
-2.00,-40.00,
0.00,-40.00,
2.00,-40.00,
3.00,-58.40,
15.00,-58.40,
30.00,-58.40,
34.00,-62.00,
42.00,-65.00,
60.00,-65.00,
65.00,-70.00,
74.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-70.00,
-82.00,-70.00,
-80.00,-65.00,
-75.00,-65.00,
-74.00,-61.00,
-69.00,-61.00,
-65.00,-57.00,
-56.00,-52.00,
-48.00,-52.00,
-40.00,-49.50,
-37.00,-47.00,
-26.00,-47.00,
-15.00,-38.60,
-14.00,-38.60,
-13.00,-35.00,
-11.20,-35.00,
-10.00,-28.50,
-3.60,-28.50,
-3.30,-26.00,
-2.70,-26.00,
-2.50,-20.80,
-2.17,-16.00,
-1.80,-9.70,
-1.44,-6.10,
-0.95,-3.00,
-0.80,-1.92,
-0.60,-1.08,
-0.40,-0.48,
-0.20,-0.12,
0.00,0.00,
0.20,-0.12,
0.40,-0.48,
0.60,-1.08,
0.80,-1.92,
0.95,-3.00,
1.44,-6.10,
1.80,-9.70,
2.17,-16.00,
2.45,-21.08,
2.60,-25.00,
3.30,-25.00,
3.80,-27.80,
6.00,-27.80,
6.60,-29.50,
8.50,-29.50,
10.10,-32.00,
10.70,-37.00,
12.50,-37.00,
14.40,-39.30,
15.00,-39.30,
19.00,-39.30,
25.00,-47.00,
55.00,-47.00,
70.00,-59.00,
75.00,-59.00,
82.00,-68.50,
90.00,-68.50,
94.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-70.00,
-78.00,-70.00,
-70.00,-65.00,
-62.00,-65.00,
-60.00,-63.30,
-15.00,-63.30,
-13.50,-63.30,
-12.50,-61.50,
-10.60,-61.50,
-9.50,-56.30,
-3.00,-56.30,
-2.00,-40.00,
0.00,-40.00,
2.00,-40.00,
3.50,-53.20,
7.00,-53.20,
8.00,-54.70,
15.00,-54.70,
27.00,-54.70,
35.00,-61.00,
45.00,-61.00,
47.00,-62.70,
65.00,-62.70,
70.00,-67.50,
77.00,-67.50,
85.00,-72.00,
180.00,-72.00,
ENDFIL:,EOF
