REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,LBX10-44
PATNUM:,4638
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000726
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,40.1
MDGAIN:,40.7
HGGAIN:,41.2
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.08
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.00,-62.00,
-140.00,-62.00,
-115.00,-61.00,
-100.00,-43.00,
-50.00,-43.00,
-45.00,-40.00,
-35.00,-40.00,
-35.00,-38.00,
-30.00,-38.00,
-25.00,-32.00,
-20.00,-32.00,
-20.00,-31.00,
-13.00,-31.00,
-13.00,-29.00,
-9.00,-29.00,
-9.00,-26.00,
-6.50,-26.00,
-4.00,-24.00,
-3.50,-21.00,
-3.00,-21.00,
-2.40,-15.00,
-2.00,-10.00,
-1.50,-5.00,
-1.00,-1.50,
0.00,0.00,
1.00,-1.50,
1.50,-5.00,
2.00,-10.00,
2.40,-15.00,
3.00,-21.00,
3.50,-21.00,
4.00,-24.00,
6.50,-26.00,
9.00,-26.00,
9.00,-29.00,
13.00,-29.00,
13.00,-31.00,
20.00,-31.00,
20.00,-32.00,
25.00,-32.00,
30.00,-38.00,
35.00,-38.00,
35.00,-40.00,
45.00,-40.00,
50.00,-43.00,
100.00,-43.00,
115.00,-61.00,
140.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-63.00,
-95.00,-63.00,
-90.00,-57.00,
-70.00,-57.00,
-55.00,-55.00,
-25.00,-55.00,
-15.00,-46.00,
-9.00,-43.00,
-9.00,-37.00,
-3.00,-37.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
3.00,-37.00,
9.00,-37.00,
9.00,-43.00,
15.00,-46.00,
25.00,-55.00,
55.00,-55.00,
70.00,-57.00,
90.00,-57.00,
95.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-62.00,
-120.00,-62.00,
-100.00,-43.00,
-50.00,-43.00,
-45.00,-40.00,
-35.00,-40.00,
-35.00,-38.00,
-30.00,-38.00,
-27.00,-34.00,
-20.00,-34.00,
-15.00,-31.00,
-11.00,-29.00,
-9.00,-29.00,
-9.00,-26.00,
-6.50,-26.00,
-4.00,-24.00,
-3.50,-21.00,
-3.00,-21.00,
-2.40,-15.00,
-2.00,-10.00,
-1.50,-5.00,
-1.00,-1.50,
0.00,0.00,
1.00,-1.50,
1.50,-5.00,
2.00,-10.00,
2.40,-15.00,
3.00,-21.00,
3.50,-21.00,
4.00,-24.00,
6.50,-26.00,
9.00,-26.00,
9.00,-29.00,
11.00,-29.00,
15.00,-31.00,
20.00,-34.00,
27.00,-34.00,
30.00,-38.00,
35.00,-38.00,
35.00,-40.00,
45.00,-40.00,
50.00,-43.00,
100.00,-43.00,
120.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-63.00,
-95.00,-63.00,
-91.00,-58.00,
-30.00,-58.00,
-15.00,-48.00,
-9.00,-43.00,
-9.00,-39.00,
-4.00,-39.00,
-1.50,-33.00,
0.00,-33.00,
1.50,-33.00,
4.00,-39.00,
9.00,-39.00,
9.00,-43.00,
15.00,-48.00,
30.00,-58.00,
91.00,-58.00,
95.00,-63.00,
180.00,-63.00,
ENDFIL:,EOF
