REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL10-44
PATNUM:,2498
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870202
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,40.3
MDGAIN:,40.9
HGGAIN:,41.2
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,50.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-50.00,
-170.00,-50.00,
-170.00,-57.00,
-120.00,-57.00,
-100.00,-40.00,
-45.00,-40.00,
-20.00,-31.00,
-13.00,-31.00,
-12.30,-28.00,
-9.50,-26.00,
-6.70,-26.00,
-5.00,-23.00,
-2.10,-23.00,
-1.80,-17.00,
-1.50,-11.00,
-1.30,-7.80,
-1.10,-5.60,
-0.90,-3.50,
-0.70,-2.00,
-0.50,-1.00,
-0.30,-0.20,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.30,-0.20,
0.50,-1.00,
0.70,-2.00,
0.90,-3.50,
1.10,-5.60,
1.30,-7.80,
1.50,-11.00,
1.80,-17.00,
2.10,-23.00,
5.00,-23.00,
6.70,-26.00,
9.50,-26.00,
12.30,-28.00,
13.00,-31.00,
20.00,-31.00,
45.00,-40.00,
100.00,-40.00,
120.00,-57.00,
170.00,-57.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,27
-180.00,-55.00,
-170.00,-55.00,
-170.00,-61.40,
-106.50,-61.40,
-100.00,-57.50,
-70.00,-57.50,
-55.00,-55.40,
-24.80,-55.40,
-20.00,-51.90,
-13.50,-51.90,
-9.60,-35.90,
-1.50,-35.90,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
1.50,-35.90,
9.60,-35.90,
13.50,-51.90,
20.00,-51.90,
24.80,-55.40,
55.00,-55.40,
70.00,-57.50,
100.00,-57.50,
106.50,-61.40,
170.00,-61.40,
170.00,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-50.00,
-170.00,-50.00,
-170.00,-57.00,
-120.00,-57.00,
-100.00,-43.80,
-42.60,-43.80,
-25.00,-34.00,
-12.00,-34.00,
-9.20,-28.50,
-6.00,-25.00,
-4.00,-25.00,
-3.50,-23.00,
-2.10,-23.00,
-1.80,-17.00,
-1.50,-11.00,
-1.30,-7.80,
-1.10,-5.60,
-0.90,-3.50,
-0.70,-2.00,
-0.50,-1.00,
-0.30,-0.20,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.30,-0.20,
0.50,-1.00,
0.70,-2.00,
0.90,-3.50,
1.10,-5.60,
1.30,-7.80,
1.50,-11.00,
1.80,-17.00,
2.10,-23.00,
3.50,-23.00,
4.00,-25.00,
6.00,-25.00,
9.20,-28.50,
12.00,-34.00,
25.00,-34.00,
42.60,-43.80,
100.00,-43.80,
120.00,-57.00,
170.00,-57.00,
170.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-55.00,
-170.00,-55.00,
-170.00,-60.00,
-130.00,-60.00,
-100.00,-53.00,
-23.00,-53.00,
-20.00,-50.00,
-16.00,-50.00,
-15.00,-48.00,
-9.20,-38.70,
-1.80,-38.70,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
1.80,-38.70,
9.20,-38.70,
15.00,-48.00,
16.00,-50.00,
20.00,-50.00,
23.00,-53.00,
100.00,-53.00,
130.00,-60.00,
170.00,-60.00,
170.00,-55.00,
180.00,-55.00,
ENDFIL:,EOF
