REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP10-44
PATNUM:,2528E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19780808
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,40.4
MDGAIN:,41.0
HGGAIN:,41.5
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-67.00,
-115.00,-67.00,
-80.00,-55.50,
-71.00,-45.00,
-45.00,-45.00,
-40.80,-41.90,
-15.00,-41.00,
-13.50,-41.00,
-10.00,-35.00,
-8.00,-35.00,
-7.00,-27.80,
-3.50,-25.00,
-2.10,-19.00,
-1.50,-8.00,
-1.00,-4.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-4.00,
1.50,-8.00,
2.10,-19.00,
3.50,-25.00,
7.00,-27.80,
8.00,-35.00,
10.00,-35.00,
13.50,-41.00,
15.00,-41.00,
40.80,-41.90,
45.00,-45.00,
71.00,-45.00,
80.00,-55.50,
115.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-69.00,
-120.00,-69.00,
-94.00,-67.30,
-64.00,-60.00,
-43.00,-54.80,
-15.00,-49.00,
-10.00,-49.00,
-6.60,-43.00,
-2.60,-42.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.60,-42.00,
6.60,-43.00,
10.00,-49.00,
15.00,-49.00,
43.00,-54.80,
64.00,-60.00,
94.00,-67.30,
120.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,29
-180.00,-67.00,
-115.00,-67.00,
-80.00,-55.50,
-60.00,-49.00,
-30.00,-44.60,
-21.00,-37.00,
-15.00,-34.30,
-13.50,-31.00,
-7.00,-27.80,
-3.50,-25.00,
-2.10,-19.00,
-1.50,-8.00,
-1.00,-4.00,
-0.50,-1.10,
0.00,0.00,
0.50,-1.10,
1.00,-4.00,
1.50,-8.00,
2.10,-19.00,
3.50,-25.00,
7.00,-27.80,
13.50,-31.00,
15.00,-34.30,
21.00,-37.00,
30.00,-44.60,
60.00,-49.00,
80.00,-55.50,
115.00,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-69.00,
-120.00,-69.00,
-94.00,-67.30,
-64.00,-60.00,
-15.00,-54.00,
-13.00,-48.00,
-9.00,-47.00,
-6.60,-43.00,
-2.60,-42.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.60,-42.00,
6.60,-43.00,
9.00,-47.00,
13.00,-48.00,
15.00,-54.00,
64.00,-60.00,
94.00,-67.30,
120.00,-69.00,
180.00,-69.00,
ENDFIL:,EOF
