REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL12-44
PATNUM:,2499
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19870202
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,42.0
MDGAIN:,42.6
HGGAIN:,43.1
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.06
FRTOBA:,51.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,53
-180.00,-51.00,
-170.00,-51.00,
-170.00,-58.00,
-125.00,-58.00,
-100.00,-43.00,
-45.00,-43.00,
-40.00,-37.80,
-24.50,-37.80,
-20.00,-34.30,
-17.50,-32.00,
-14.50,-32.00,
-12.00,-29.80,
-9.50,-29.80,
-9.00,-26.20,
-4.50,-26.20,
-3.00,-22.00,
-1.70,-22.00,
-1.50,-18.00,
-1.30,-12.80,
-1.10,-9.00,
-0.90,-6.00,
-0.70,-3.50,
-0.50,-1.80,
-0.40,-1.00,
-0.20,-0.30,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,-0.30,
0.40,-1.00,
0.50,-1.80,
0.70,-3.50,
0.90,-6.00,
1.10,-9.00,
1.30,-12.80,
1.50,-18.00,
1.70,-22.00,
3.00,-22.00,
4.50,-26.20,
9.00,-26.20,
9.50,-29.80,
12.00,-29.80,
14.50,-32.00,
17.50,-32.00,
20.00,-34.30,
24.50,-37.80,
40.00,-37.80,
45.00,-43.00,
100.00,-43.00,
125.00,-58.00,
170.00,-58.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,31
-180.00,-58.00,
-170.00,-58.00,
-170.00,-68.00,
-120.00,-68.00,
-110.00,-65.00,
-100.00,-65.00,
-80.00,-62.90,
-22.50,-62.90,
-15.00,-57.50,
-12.00,-57.50,
-10.50,-50.00,
-9.50,-50.00,
-7.50,-38.00,
-1.70,-38.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.70,-38.00,
7.50,-38.00,
9.50,-50.00,
10.50,-50.00,
12.00,-57.50,
15.00,-57.50,
22.50,-62.90,
80.00,-62.90,
100.00,-65.00,
110.00,-65.00,
120.00,-68.00,
170.00,-68.00,
170.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-51.00,
-170.00,-51.00,
-170.00,-60.00,
-120.00,-60.00,
-100.00,-43.80,
-45.00,-43.80,
-40.00,-42.90,
-25.00,-42.90,
-15.00,-34.00,
-10.00,-34.00,
-9.00,-27.50,
-5.00,-27.50,
-3.00,-24.00,
-1.70,-24.00,
-1.50,-18.00,
-1.30,-12.80,
-1.10,-9.00,
-0.90,-6.00,
-0.70,-3.50,
-0.50,-1.80,
-0.40,-1.00,
-0.20,-0.30,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.20,-0.30,
0.40,-1.00,
0.50,-1.80,
0.70,-3.50,
0.90,-6.00,
1.10,-9.00,
1.30,-12.80,
1.50,-18.00,
1.70,-24.00,
3.00,-24.00,
5.00,-27.50,
9.00,-27.50,
10.00,-34.00,
15.00,-34.00,
25.00,-42.90,
40.00,-42.90,
45.00,-43.80,
100.00,-43.80,
120.00,-60.00,
170.00,-60.00,
170.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-58.00,
-170.00,-58.00,
-170.00,-66.00,
-126.40,-66.00,
-110.00,-62.00,
-17.50,-62.00,
-15.00,-57.00,
-12.50,-57.00,
-11.00,-50.00,
-9.50,-50.00,
-7.70,-41.90,
-2.00,-41.90,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-41.90,
7.70,-41.90,
9.50,-50.00,
11.00,-50.00,
12.50,-57.00,
15.00,-57.00,
17.50,-62.00,
110.00,-62.00,
126.40,-66.00,
170.00,-66.00,
170.00,-58.00,
180.00,-58.00,
ENDFIL:,EOF
