REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX15-4456
PATNUM:,4171
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930721
LOWFRQ:,4400
HGHFRQ:,5000
GUNITS:,DBI/DBR
LWGAIN:,43.1
MDGAIN:,43.7
HGGAIN:,44.2
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.15
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,44
-180.00,-75.00,
-70.00,-75.00,
-60.00,-67.00,
-35.00,-56.00,
-15.00,-50.00,
-9.00,-44.00,
-5.00,-29.00,
-3.50,-29.00,
-2.50,-23.00,
-1.94,-23.00,
-1.90,-22.00,
-1.71,-18.00,
-1.51,-14.00,
-1.28,-10.00,
-1.14,-8.00,
-0.99,-6.00,
-0.81,-4.00,
-0.57,-2.00,
-0.49,-1.50,
-0.40,-1.00,
-0.29,-0.50,
0.00,0.00,
0.29,-0.50,
0.40,-1.00,
0.49,-1.50,
0.57,-2.00,
0.81,-4.00,
0.99,-6.00,
1.14,-8.00,
1.28,-10.00,
1.51,-14.00,
1.71,-18.00,
1.90,-22.00,
2.50,-22.00,
4.50,-30.00,
10.00,-36.00,
13.00,-39.00,
15.00,-46.00,
30.00,-46.00,
40.00,-56.00,
65.00,-66.00,
75.00,-73.00,
90.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-79.00,
-80.00,-79.00,
-65.00,-71.00,
-40.00,-69.00,
-15.00,-68.00,
-10.00,-63.00,
-7.00,-61.00,
-3.50,-55.00,
-3.00,-47.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
3.00,-47.00,
5.00,-58.00,
10.00,-65.00,
15.00,-65.00,
65.00,-66.00,
80.00,-79.00,
180.00,-79.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-75.00,
-95.00,-75.00,
-70.00,-73.00,
-65.00,-62.00,
-50.00,-62.00,
-15.00,-45.00,
-10.00,-38.00,
-8.00,-38.00,
-5.00,-30.00,
-3.00,-30.00,
-2.50,-22.00,
-1.90,-22.00,
-1.71,-18.00,
-1.51,-14.00,
-1.28,-10.00,
-1.14,-8.00,
-0.99,-6.00,
-0.81,-4.00,
-0.57,-2.00,
-0.49,-1.50,
-0.40,-1.00,
-0.29,-0.50,
0.00,0.00,
0.29,-0.50,
0.40,-1.00,
0.49,-1.50,
0.57,-2.00,
0.81,-4.00,
0.99,-6.00,
1.14,-8.00,
1.28,-10.00,
1.51,-14.00,
1.71,-18.00,
1.90,-22.00,
2.50,-22.00,
3.00,-28.00,
9.00,-34.00,
11.00,-40.00,
15.00,-40.00,
20.00,-44.00,
30.00,-47.00,
40.00,-56.00,
50.00,-56.00,
65.00,-68.00,
75.00,-68.00,
95.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,22
-180.00,-79.00,
-80.00,-79.00,
-60.00,-76.00,
-45.00,-70.00,
-15.00,-68.00,
-11.00,-64.00,
-8.00,-64.00,
-6.50,-58.00,
-3.50,-55.00,
-3.00,-47.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
3.00,-47.00,
4.50,-49.00,
6.00,-59.00,
15.00,-59.00,
35.00,-65.00,
50.00,-65.00,
65.00,-70.00,
80.00,-79.00,
180.00,-79.00,
ENDFIL:,EOF
