REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX8-56
PATNUM:,1025
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19920408
LOWFRQ:,5600
HGHFRQ:,6200
GUNITS:,DBI/DBR
LWGAIN:,40.5
MDGAIN:,41.0
HGGAIN:,41.4
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.06
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-68.00,
-100.00,-68.00,
-65.00,-53.50,
-45.00,-50.00,
-18.00,-32.50,
-15.00,-32.50,
-14.00,-32.50,
-12.00,-30.00,
-10.50,-30.00,
-9.00,-27.20,
-4.00,-27.20,
-2.80,-18.00,
-1.80,-18.00,
-1.60,-14.00,
-1.40,-10.70,
-1.20,-7.90,
-1.00,-5.50,
-0.80,-3.50,
-0.60,-2.00,
-0.40,-0.90,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.90,
0.60,-2.00,
0.80,-3.50,
1.00,-5.50,
1.20,-7.90,
1.40,-10.70,
1.60,-14.00,
1.80,-18.00,
2.80,-18.00,
4.00,-27.20,
9.00,-27.20,
10.50,-30.00,
12.00,-30.00,
14.00,-32.50,
15.00,-32.50,
18.00,-32.50,
45.00,-50.00,
65.00,-53.50,
100.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-68.00,
-80.00,-68.00,
-65.00,-60.00,
-45.00,-60.00,
-25.00,-51.00,
-15.00,-51.00,
-13.50,-51.00,
-12.00,-44.70,
-10.00,-43.70,
-4.10,-43.70,
-2.00,-37.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.00,-37.00,
4.10,-43.70,
10.00,-43.70,
12.00,-44.70,
13.50,-51.00,
15.00,-51.00,
25.00,-51.00,
45.00,-60.00,
65.00,-60.00,
80.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.00,-68.00,
-95.00,-68.00,
-70.00,-55.30,
-60.00,-52.50,
-50.00,-52.50,
-30.00,-46.00,
-20.00,-36.00,
-15.00,-36.00,
-12.50,-36.00,
-11.50,-34.00,
-10.00,-34.00,
-7.50,-25.50,
-3.50,-25.50,
-2.50,-23.00,
-2.10,-23.00,
-2.00,-21.90,
-1.80,-18.00,
-1.60,-14.00,
-1.40,-10.70,
-1.20,-7.90,
-1.00,-5.50,
-0.80,-3.50,
-0.60,-2.00,
-0.40,-0.90,
-0.20,-0.20,
0.00,0.00,
0.20,-0.20,
0.40,-0.90,
0.60,-2.00,
0.80,-3.50,
1.00,-5.50,
1.20,-7.90,
1.40,-10.70,
1.60,-14.00,
1.80,-18.00,
2.00,-21.90,
2.10,-23.00,
2.50,-23.00,
3.50,-25.50,
7.50,-25.50,
10.00,-34.00,
11.50,-34.00,
12.50,-36.00,
15.00,-36.00,
20.00,-36.00,
30.00,-46.00,
50.00,-52.50,
60.00,-52.50,
70.00,-55.30,
95.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,29
-180.00,-68.00,
-80.00,-68.00,
-70.00,-63.00,
-60.00,-59.50,
-50.00,-59.50,
-45.00,-57.00,
-34.00,-57.00,
-30.00,-56.00,
-15.00,-55.00,
-12.00,-50.00,
-9.00,-48.00,
-5.00,-48.00,
-2.00,-40.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.00,-40.00,
5.00,-48.00,
9.00,-48.00,
12.00,-50.00,
15.00,-55.00,
30.00,-56.00,
34.00,-57.00,
45.00,-57.00,
50.00,-59.50,
60.00,-59.50,
70.00,-63.00,
80.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
