REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX10-3456
PATNUM:,4152
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930720
LOWFRQ:,5600
HGHFRQ:,6200
GUNITS:,DBI/DBR
LWGAIN:,40.7
MDGAIN:,41.2
HGGAIN:,41.3
AZWIDT:,1.20
ELWIDT:,1.20
ATVSWR:,1.15
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,42
-180.00,-73.00,
-100.00,-73.00,
-60.00,-53.00,
-30.00,-41.00,
-15.00,-36.00,
-10.50,-29.00,
-7.00,-29.00,
-5.50,-25.00,
-3.50,-25.00,
-2.00,-17.00,
-1.67,-17.00,
-1.46,-13.00,
-1.28,-10.00,
-1.14,-8.00,
-0.99,-6.00,
-0.81,-4.00,
-0.57,-2.00,
-0.49,-1.50,
-0.40,-1.00,
-0.29,-0.50,
0.00,0.00,
0.29,-0.50,
0.40,-1.00,
0.49,-1.50,
0.57,-2.00,
0.81,-4.00,
0.99,-6.00,
1.14,-8.00,
1.28,-10.00,
1.51,-14.00,
2.00,-17.00,
2.50,-17.00,
4.50,-24.00,
7.00,-33.00,
12.00,-33.00,
15.00,-37.00,
30.00,-49.00,
40.00,-53.00,
55.00,-53.00,
70.00,-56.00,
95.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-76.00,
-100.00,-76.00,
-80.00,-71.00,
-70.00,-64.00,
-55.00,-60.00,
-35.00,-59.00,
-20.00,-49.00,
-15.00,-49.00,
-8.00,-46.00,
-5.00,-46.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
4.50,-46.00,
7.00,-47.00,
10.00,-52.00,
13.00,-52.00,
15.00,-56.00,
40.00,-63.00,
60.00,-63.00,
85.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,42
-180.00,-73.00,
-100.00,-73.00,
-60.00,-49.00,
-45.00,-49.00,
-30.00,-38.00,
-15.00,-37.00,
-10.00,-34.00,
-5.50,-24.00,
-4.00,-24.00,
-2.00,-20.00,
-1.86,-20.00,
-1.57,-15.00,
-1.34,-11.00,
-1.28,-10.00,
-1.14,-8.00,
-0.99,-6.00,
-0.81,-4.00,
-0.57,-2.00,
-0.49,-1.50,
-0.40,-1.00,
-0.29,-0.50,
0.00,0.00,
0.29,-0.50,
0.40,-1.00,
0.49,-1.50,
0.57,-2.00,
0.81,-4.00,
0.99,-6.00,
1.14,-8.00,
1.28,-10.00,
1.51,-14.00,
1.71,-18.00,
2.00,-20.00,
2.50,-20.00,
3.00,-24.00,
5.00,-24.00,
10.00,-28.00,
15.00,-41.00,
40.00,-51.00,
60.00,-51.00,
95.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,20
-180.00,-76.00,
-90.00,-76.00,
-70.00,-64.00,
-45.00,-64.00,
-25.00,-54.00,
-15.00,-45.00,
-5.00,-45.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
5.00,-49.00,
7.00,-49.00,
8.50,-52.00,
15.00,-52.00,
20.00,-58.00,
35.00,-58.00,
45.00,-64.00,
60.00,-65.00,
85.00,-76.00,
180.00,-76.00,
ENDFIL:,EOF
