REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX12-3456
PATNUM:,4164
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19930720
LOWFRQ:,5600
HGHFRQ:,6200
GUNITS:,DBI/DBR
LWGAIN:,42.6
MDGAIN:,43.1
HGGAIN:,43.2
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.15
FRTOBA:,76.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.0,-76.0,
-100.0,-76.0,
-60.0,-56.0,
-48.0,-56.0,
-30.0,-44.0,
-15.0,-38.0,
-12.0,-38.0,
-10.0,-34.0,
-7.0,-32.0,
-5.0,-26.0,
-3.5,-26.0,
-2.0,-17.0,
-1.6,-17.0,
-1.4,-13.0,
-1.2,-10.0,
-1.1,-8.0,
-0.9,-6.0,
-0.8,-4.0,
-0.5,-2.0,
-0.5,-1.5,
-0.4,-1.0,
-0.3,-0.5,
0.0,0.0,
0.3,-0.5,
0.4,-1.0,
0.5,-1.5,
0.5,-2.0,
0.8,-4.0,
0.9,-6.0,
1.1,-8.0,
1.2,-10.0,
1.4,-14.0,
1.6,-17.0,
2.0,-17.0,
2.8,-25.0,
4.0,-25.0,
7.0,-39.0,
12.0,-39.0,
15.0,-44.0,
30.0,-55.0,
40.0,-58.0,
50.0,-58.0,
70.0,-63.0,
95.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.0,-79.0,
-100.0,-79.0,
-80.0,-74.0,
-70.0,-67.0,
-55.0,-62.0,
-40.0,-62.0,
-30.0,-60.0,
-20.0,-51.0,
-9.0,-48.0,
-3.5,-48.0,
-1.5,-35.0,
0.0,-35.0,
1.5,-35.0,
3.0,-49.0,
7.0,-49.0,
9.0,-54.0,
13.0,-54.0,
15.0,-58.0,
40.0,-65.0,
60.0,-65.0,
85.0,-79.0,
180.0,-79.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,46
-180.0,-76.0,
-100.0,-76.0,
-62.0,-56.0,
-46.0,-56.0,
-30.0,-42.0,
-15.0,-38.0,
-11.0,-38.0,
-10.0,-35.0,
-8.0,-35.0,
-5.0,-26.0,
-3.5,-26.0,
-2.5,-21.0,
-1.7,-21.0,
-1.6,-17.0,
-1.4,-13.0,
-1.2,-10.0,
-1.1,-8.0,
-0.9,-6.0,
-0.8,-4.0,
-0.5,-2.0,
-0.5,-1.5,
-0.4,-1.0,
-0.3,-0.5,
0.0,0.0,
0.3,-0.5,
0.4,-1.0,
0.5,-1.5,
0.5,-2.0,
0.8,-4.0,
0.9,-6.0,
1.1,-8.0,
1.2,-10.0,
1.4,-14.0,
1.6,-18.0,
1.8,-22.0,
2.0,-22.0,
3.5,-26.0,
5.0,-28.0,
10.0,-36.0,
12.0,-36.0,
15.0,-45.0,
35.0,-50.0,
48.0,-57.0,
60.0,-57.0,
95.0,-76.0,
180.0,-76.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-79.0,
-90.0,-79.0,
-77.0,-74.0,
-70.0,-66.0,
-46.0,-66.0,
-25.0,-56.0,
-15.0,-47.0,
-3.0,-47.0,
-1.5,-35.0,
0.0,-35.0,
1.5,-35.0,
3.0,-43.0,
5.0,-51.0,
7.0,-51.0,
8.5,-54.0,
15.0,-54.0,
20.0,-60.0,
35.0,-60.0,
45.0,-66.0,
55.0,-66.0,
65.0,-69.0,
85.0,-79.0,
180.0,-79.0,
ENDFIL:,EOF
