REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-57W
PATNUM:,4272
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960129
LOWFRQ:,5725
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,40.7
MDGAIN:,41.2
HGGAIN:,41.7
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.06
FRTOBA:,47.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-47.00,
-175.00,-47.00,
-175.00,-52.00,
-125.00,-52.00,
-109.50,-41.00,
-100.00,-41.00,
-91.00,-43.00,
-15.00,-43.00,
-9.00,-31.00,
-2.00,-18.75,
-1.75,-14.36,
-1.50,-10.55,
-1.25,-7.32,
-1.00,-4.70,
-0.75,-2.64,
-0.50,-1.17,
-0.25,-0.29,
0.00,0.00,
0.25,-0.29,
0.50,-1.17,
0.75,-2.64,
1.00,-4.70,
1.25,-7.32,
1.50,-10.55,
1.75,-14.36,
2.00,-18.75,
9.00,-31.00,
15.00,-43.00,
91.00,-43.00,
100.00,-41.00,
109.50,-41.00,
125.00,-52.00,
175.00,-52.00,
175.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-53.00,
-175.00,-53.00,
-175.00,-58.00,
-125.00,-58.00,
-115.00,-52.00,
-25.00,-52.00,
-25.00,-50.00,
-9.00,-50.00,
-9.00,-43.00,
-5.00,-43.00,
-3.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.00,-37.00,
5.00,-43.00,
9.00,-43.00,
9.00,-50.00,
25.00,-50.00,
25.00,-52.00,
115.00,-52.00,
125.00,-58.00,
175.00,-58.00,
175.00,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-47.00,
-175.00,-47.00,
-175.00,-52.00,
-125.00,-52.00,
-109.50,-41.00,
-100.00,-41.00,
-91.00,-43.00,
-38.00,-43.00,
-30.00,-41.00,
-25.00,-33.00,
-15.00,-33.00,
-3.50,-24.00,
-3.00,-20.00,
-1.75,-14.36,
-1.50,-10.55,
-1.25,-7.32,
-1.00,-4.70,
-0.75,-2.64,
-0.50,-1.17,
-0.25,-0.29,
0.00,0.00,
0.25,-0.29,
0.50,-1.17,
0.75,-2.64,
1.00,-4.70,
1.25,-7.32,
1.50,-10.55,
1.75,-14.36,
3.00,-20.00,
3.50,-24.00,
15.00,-33.00,
25.00,-33.00,
30.00,-41.00,
38.00,-43.00,
91.00,-43.00,
100.00,-41.00,
109.50,-41.00,
125.00,-52.00,
175.00,-52.00,
175.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,25
-180.00,-53.00,
-175.00,-53.00,
-175.00,-58.00,
-125.00,-58.00,
-115.00,-52.00,
-25.00,-52.00,
-25.00,-50.00,
-15.00,-50.00,
-11.60,-43.00,
-5.00,-43.00,
-3.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.00,-37.00,
5.00,-43.00,
11.60,-43.00,
15.00,-50.00,
25.00,-50.00,
25.00,-52.00,
115.00,-52.00,
125.00,-58.00,
175.00,-58.00,
175.00,-53.00,
180.00,-53.00,
ENDFIL:,EOF
