REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL12-57W
PATNUM:,4276
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960129
LOWFRQ:,5725
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,44.2
MDGAIN:,44.6
HGGAIN:,45.0
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,51.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-51.00,
-175.00,-51.00,
-175.00,-56.00,
-120.00,-56.00,
-103.50,-44.00,
-90.00,-44.00,
-85.00,-45.00,
-28.00,-45.00,
-15.00,-41.00,
-3.00,-23.00,
-1.50,-23.00,
-1.25,-18.75,
-1.00,-12.00,
-0.75,-6.75,
-0.50,-3.00,
-0.25,-0.75,
0.00,0.00,
0.25,-0.75,
0.50,-3.00,
0.75,-6.75,
1.00,-12.00,
1.25,-18.75,
1.50,-23.00,
3.00,-23.00,
15.00,-41.00,
28.00,-45.00,
85.00,-45.00,
90.00,-44.00,
103.50,-44.00,
120.00,-56.00,
175.00,-56.00,
175.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-58.00,
-176.50,-58.00,
-176.50,-61.00,
-115.00,-61.00,
-100.00,-54.00,
-10.00,-54.00,
-6.00,-37.00,
-3.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.00,-37.00,
6.00,-37.00,
10.00,-54.00,
100.00,-54.00,
115.00,-61.00,
176.50,-61.00,
176.50,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.00,-51.00,
-175.00,-51.00,
-175.00,-56.00,
-120.00,-56.00,
-102.50,-39.00,
-89.00,-39.00,
-85.00,-40.00,
-23.00,-40.00,
-18.00,-37.00,
-15.00,-37.00,
-3.00,-22.00,
-1.50,-22.00,
-1.25,-18.75,
-1.00,-12.00,
-0.75,-6.75,
-0.50,-3.00,
-0.25,-0.75,
0.00,0.00,
0.25,-0.75,
0.50,-3.00,
0.75,-6.75,
1.00,-12.00,
1.25,-18.75,
1.50,-22.00,
3.00,-22.00,
15.00,-37.00,
18.00,-37.00,
23.00,-40.00,
85.00,-40.00,
89.00,-39.00,
102.50,-39.00,
120.00,-56.00,
175.00,-56.00,
175.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-58.00,
-176.50,-58.00,
-176.50,-61.00,
-115.00,-61.00,
-100.00,-54.00,
-25.00,-54.00,
-15.00,-52.00,
-10.00,-49.00,
-7.80,-43.00,
-5.00,-43.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.00,-43.00,
7.80,-43.00,
10.00,-49.00,
15.00,-52.00,
25.00,-54.00,
100.00,-54.00,
115.00,-61.00,
176.50,-61.00,
176.50,-58.00,
180.00,-58.00,
ENDFIL:,EOF
