REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-58W
PATNUM:,4704
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011214
LOWFRQ:, 5850 
HGHFRQ:, 5915 
GUNITS:,DBI/DBR
LWGAIN:,44.1
MDGAIN:,44.1
HGGAIN:,44.1
AZWIDT:,1.0
ELWIDT:,1.0
ATVSWR:,1.08
FRTOBA:,70
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 55 
-180.00,-70.00,
-105.00,-70.00,
-90.00,-60.00,
-82.50,-54.00,
-75.00,-47.00,
-67.50,-47.00,
-57.50,-44.00,
-35.00,-44.00,
-20.00,-44.00,
-17.50,-42.00,
-13.50,-42.00,
-12.50,-39.00,
-11.50,-39.00,
-10.00,-37.00,
-8.50,-37.00,
-7.50,-35.00,
-6.00,-35.00,
-5.00,-33.00,
-4.75,-30.00,
-4.00,-24.00,
-1.62,-24.00,
-1.50,-21.66,
-1.26,-16.79,
-1.00,-11.10,
-0.75,-6.02,
-0.50,-2.44,
-0.25,-0.61,
0.00,0.00,
0.25,-0.61,
0.50,-2.44,
0.75,-6.02,
1.00,-11.10,
1.26,-16.79,
1.50,-21.66,
1.62,-24.00,
4.00,-24.00,
4.75,-30.00,
5.00,-33.00,
6.00,-35.00,
7.50,-35.00,
8.50,-37.00,
10.00,-37.00,
11.50,-39.00,
12.50,-39.00,
13.50,-42.00,
17.50,-42.00,
20.00,-44.00,
35.00,-44.00,
57.50,-44.00,
67.50,-47.00,
75.00,-47.00,
82.50,-54.00,
90.00,-60.00,
105.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 39 
-180.00,-72.00,
-90.00,-72.00,
-80.00,-68.00,
-71.50,-62.00,
-50.00,-62.00,
-42.50,-62.00,
-40.00,-59.00,
-25.00,-59.00,
-22.50,-58.00,
-15.00,-58.00,
-12.50,-54.00,
-10.00,-54.00,
-8.00,-50.00,
-6.00,-50.00,
-5.00,-44.00,
-3.50,-44.00,
-2.50,-38.00,
-1.50,-38.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.50,-38.00,
2.50,-38.00,
3.50,-44.00,
5.00,-44.00,
6.00,-50.00,
8.00,-50.00,
10.00,-54.00,
12.50,-54.00,
15.00,-58.00,
22.50,-58.00,
25.00,-59.00,
40.00,-59.00,
42.50,-62.00,
50.00,-62.00,
71.50,-62.00,
80.00,-68.00,
90.00,-72.00,
180.00,-72.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 59 
-180.00,-70.00,
-100.00,-70.00,
-90.00,-66.00,
-81.00,-56.00,
-75.00,-50.00,
-55.00,-50.00,
-45.00,-50.00,
-40.00,-47.00,
-35.00,-47.00,
-30.00,-46.00,
-25.00,-46.00,
-22.50,-40.00,
-10.50,-40.00,
-9.50,-36.00,
-8.50,-36.00,
-7.50,-34.00,
-6.50,-34.00,
-6.00,-32.00,
-5.00,-32.00,
-4.50,-28.00,
-4.00,-22.00,
-2.00,-22.00,
-1.75,-18.00,
-1.50,-15.30,
-1.25,-13.60,
-1.00,-9.68,
-0.75,-5.75,
-0.49,-2.57,
-0.25,-0.47,
0.00,0.00,
0.25,-0.47,
0.49,-2.57,
0.75,-5.75,
1.00,-9.68,
1.25,-13.60,
1.50,-15.30,
1.75,-18.00,
2.00,-22.00,
4.00,-22.00,
4.50,-28.00,
5.00,-32.00,
6.00,-32.00,
6.50,-34.00,
7.50,-34.00,
8.50,-36.00,
9.50,-36.00,
10.50,-40.00,
22.50,-40.00,
25.00,-46.00,
30.00,-46.00,
35.00,-47.00,
40.00,-47.00,
45.00,-50.00,
55.00,-50.00,
75.00,-50.00,
81.00,-56.00,
90.00,-66.00,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 29 
-180.00,-71.00,
-100.00,-71.00,
-87.00,-64.00,
-78.00,-58.00,
-67.50,-58.00,
-60.00,-56.00,
-30.00,-56.00,
-24.00,-54.00,
-19.50,-47.00,
-12.00,-47.00,
-9.00,-42.00,
-7.00,-37.00,
-4.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.00,-37.00,
7.00,-37.00,
9.00,-42.00,
12.00,-47.00,
19.50,-47.00,
24.00,-54.00,
30.00,-56.00,
60.00,-56.00,
67.50,-58.00,
78.00,-58.00,
87.00,-64.00,
100.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
