REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX10-58W
PATNUM:,3757A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951014
LOWFRQ:,5850
HGHFRQ:,5915
GUNITS:,DBI/DBR
LWGAIN:,42.0
MDGAIN:,42.1
HGGAIN:,42.2
AZWIDT:,1.25
ELWIDT:,1.25
ATVSWR:,1.08
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,49
-180.0,-71.0,
-90.0,-71.0,
-65.0,-58.0,
-45.0,-58.0,
-35.0,-45.0,
-25.0,-45.0,
-20.0,-39.0,
-15.0,-38.0,
-10.0,-33.0,
-7.0,-33.0,
-4.0,-27.0,
-2.8,-27.0,
-2.0,-18.0,
-1.5,-18.0,
-1.4,-16.2,
-1.3,-14.1,
-1.2,-11.6,
-1.1,-9.0,
-0.9,-6.8,
-0.8,-4.6,
-0.6,-2.9,
-0.5,-1.5,
-0.3,-0.7,
-0.2,-0.2,
0.0,0.0,
0.1,-0.1,
0.3,-0.7,
0.4,-1.6,
0.6,-2.9,
0.8,-4.8,
0.9,-7.1,
1.1,-9.3,
1.2,-11.7,
1.3,-13.6,
1.4,-16.0,
1.5,-20.0,
2.0,-20.0,
2.6,-28.0,
5.0,-28.0,
9.5,-40.0,
11.0,-44.0,
13.0,-44.0,
15.0,-48.0,
20.0,-52.0,
50.0,-52.0,
60.0,-56.0,
75.0,-67.0,
90.0,-71.0,
180.0,-71.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.0,-74.0,
-60.0,-74.0,
-45.0,-70.0,
-30.0,-68.0,
-25.0,-64.0,
-20.0,-62.0,
-18.0,-60.0,
-15.0,-57.0,
-12.0,-57.0,
-9.0,-52.0,
-5.0,-52.0,
-2.0,-50.0,
-1.0,-34.0,
0.0,-34.0,
1.0,-34.0,
1.5,-44.0,
2.7,-44.0,
4.0,-57.0,
9.0,-57.0,
12.0,-66.0,
15.0,-68.0,
30.0,-70.0,
40.0,-70.0,
60.0,-74.0,
180.0,-74.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,51
-180.0,-71.0,
-90.0,-71.0,
-67.0,-60.0,
-60.0,-60.0,
-50.0,-56.0,
-45.0,-56.0,
-37.0,-46.0,
-30.0,-46.0,
-15.0,-43.0,
-10.1,-38.0,
-7.0,-34.0,
-5.0,-28.0,
-3.5,-28.0,
-2.2,-24.0,
-1.6,-24.0,
-1.5,-20.0,
-1.3,-15.5,
-1.2,-12.9,
-1.1,-10.0,
-1.0,-7.3,
-0.9,-5.3,
-0.7,-3.6,
-0.6,-2.2,
-0.4,-1.3,
-0.3,-0.6,
-0.2,-0.2,
0.0,0.0,
0.2,-0.2,
0.3,-0.9,
0.5,-1.7,
0.6,-3.1,
0.8,-4.7,
1.0,-6.9,
1.1,-8.9,
1.2,-11.8,
1.4,-15.4,
1.5,-18.5,
1.6,-22.7,
1.7,-26.1,
2.5,-30.0,
5.0,-32.0,
8.0,-32.0,
10.0,-37.0,
15.0,-44.0,
20.0,-48.0,
30.0,-50.0,
45.0,-54.0,
55.0,-60.0,
65.0,-60.0,
75.0,-71.0,
180.0,-71.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,26
-180.0,-74.0,
-70.0,-74.0,
-55.0,-72.0,
-45.0,-68.0,
-25.0,-61.0,
-20.0,-61.0,
-15.0,-58.0,
-13.0,-58.0,
-11.5,-52.0,
-5.0,-52.0,
-3.0,-44.0,
-2.0,-44.0,
-1.0,-34.0,
0.0,-34.0,
1.0,-34.0,
1.7,-43.1,
2.7,-43.0,
4.0,-56.0,
7.0,-59.0,
10.0,-63.0,
15.0,-64.0,
20.0,-64.0,
25.0,-66.5,
40.0,-66.5,
60.0,-74.0,
180.0,-74.0,
ENDFIL:,EOF
