REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-59
PATNUM:,2610F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011130
LOWFRQ:, 5925 
HGHFRQ:, 6425 
GUNITS:,DBI/DBR
LWGAIN:,41.1
MDGAIN:,41.5
HGGAIN:,41.9
AZWIDT:,1.4
ELWIDT:,1.4
ATVSWR:,1.06
FRTOBA:,48
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 27 
-180.00,-48.00,
-175.01,-48.00,
-175.00,-53.00,
-125.00,-53.00,
-109.50,-42.00,
-100.00,-42.00,
-91.00,-44.00,
-15.00,-44.00,
-9.00,-32.00,
-1.60,-23.00,
-1.50,-15.00,
-1.00,-5.30,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-5.30,
1.50,-15.00,
1.60,-23.00,
9.00,-32.00,
15.00,-44.00,
91.00,-44.00,
100.00,-42.00,
109.50,-42.00,
125.00,-53.00,
175.00,-53.00,
175.01,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 25 
-180.00,-55.00,
-175.01,-55.00,
-175.00,-60.00,
-125.00,-60.00,
-115.00,-53.00,
-25.01,-53.00,
-25.00,-51.00,
-9.01,-51.00,
-9.00,-44.00,
-5.00,-44.00,
-3.01,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.01,-37.00,
5.00,-44.00,
9.00,-44.00,
9.01,-51.00,
25.00,-51.00,
25.01,-53.00,
115.00,-53.00,
125.00,-60.00,
175.00,-60.00,
175.01,-55.00,
180.00,-55.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 35 
-180.00,-48.00,
-175.01,-48.00,
-175.00,-53.00,
-125.00,-53.00,
-109.50,-42.00,
-100.00,-42.00,
-91.00,-44.00,
-38.00,-44.00,
-30.00,-42.00,
-25.00,-33.00,
-15.00,-33.00,
-3.01,-24.00,
-3.00,-20.00,
-1.51,-20.00,
-1.50,-15.00,
-1.00,-5.30,
-0.50,-1.80,
0.00,0.00,
0.50,-1.80,
1.00,-5.30,
1.50,-15.00,
1.51,-20.00,
3.00,-20.00,
3.01,-24.00,
15.00,-33.00,
25.00,-33.00,
30.00,-42.00,
38.00,-44.00,
91.00,-44.00,
100.00,-42.00,
109.50,-42.00,
125.00,-53.00,
175.00,-53.00,
175.01,-48.00,
180.00,-48.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 25 
-180.00,-55.00,
-175.01,-55.00,
-175.00,-60.00,
-125.00,-60.00,
-115.00,-53.00,
-25.01,-53.00,
-25.00,-51.00,
-15.00,-51.00,
-11.60,-44.00,
-5.00,-44.00,
-3.01,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.01,-37.00,
5.00,-44.00,
11.60,-44.00,
15.00,-51.00,
25.00,-51.00,
25.01,-53.00,
115.00,-53.00,
125.00,-60.00,
175.00,-60.00,
175.01,-55.00,
180.00,-55.00,
ENDFIL:,EOF
