REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP8-59W
PATNUM:,4714A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,41.1
MDGAIN:,41.9
HGGAIN:,42.8
AZWIDT:,1.4
ELWIDT:,1.4
ATVSWR:,1.06
FRTOBA:,66
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 47 
-180.00,-66.00,
-100.00,-66.00,
-85.00,-57.75,
-70.00,-49.50,
-60.00,-44.00,
-47.50,-44.00,
-45.00,-43.00,
-30.01,-43.00,
-30.00,-38.00,
-23.25,-38.00,
-20.01,-37.00,
-20.00,-36.00,
-15.00,-36.00,
-11.50,-36.00,
-10.00,-34.00,
-9.00,-32.00,
-4.00,-26.00,
-2.50,-24.00,
-2.50,-22.00,
-1.50,-22.00,
-1.50,-10.00,
-1.00,-4.30,
-0.50,-1.70,
0.00,0.00,
0.50,-1.70,
1.00,-4.30,
1.50,-10.00,
1.50,-22.00,
2.50,-22.00,
2.50,-24.00,
4.00,-26.00,
9.00,-32.00,
10.00,-34.00,
11.50,-36.00,
15.00,-36.00,
20.00,-36.00,
20.01,-37.00,
23.25,-38.00,
30.00,-38.00,
30.01,-43.00,
45.00,-43.00,
47.50,-44.00,
60.00,-44.00,
70.00,-49.50,
85.00,-57.75,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 27 
-180.00,-66.00,
-89.00,-66.00,
-85.00,-65.00,
-76.75,-62.75,
-70.00,-60.00,
-44.50,-54.00,
-15.00,-46.00,
-10.50,-46.00,
-8.00,-41.00,
-6.75,-38.50,
-6.50,-37.00,
-4.00,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.00,-37.00,
6.50,-37.00,
6.75,-38.50,
8.00,-41.00,
10.50,-46.00,
15.00,-46.00,
44.50,-54.00,
70.00,-60.00,
76.75,-62.75,
85.00,-65.00,
89.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 47 
-180.00,-66.00,
-100.00,-66.00,
-85.00,-60.00,
-74.70,-56.00,
-73.00,-54.00,
-60.00,-49.00,
-45.00,-43.00,
-30.01,-43.00,
-30.00,-38.00,
-23.25,-38.00,
-20.01,-37.00,
-20.00,-36.00,
-17.50,-36.00,
-15.00,-35.00,
-14.00,-34.00,
-8.00,-28.50,
-5.00,-26.00,
-3.01,-24.00,
-3.00,-20.00,
-1.51,-20.00,
-1.50,-10.00,
-1.00,-4.30,
-0.50,-1.70,
0.00,0.00,
0.50,-1.70,
1.00,-4.30,
1.50,-10.00,
1.51,-20.00,
3.00,-20.00,
3.01,-24.00,
5.00,-26.00,
8.00,-28.50,
14.00,-34.00,
15.00,-35.00,
17.50,-36.00,
20.00,-36.00,
20.01,-37.00,
23.25,-38.00,
30.00,-38.00,
30.01,-43.00,
45.00,-43.00,
60.00,-49.00,
73.00,-54.00,
74.70,-56.00,
85.00,-60.00,
100.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 31 
-180.00,-66.00,
-89.00,-66.00,
-85.00,-65.00,
-76.75,-62.75,
-70.00,-60.00,
-44.50,-54.00,
-15.00,-46.00,
-14.75,-45.75,
-14.00,-44.00,
-11.00,-44.00,
-9.50,-43.00,
-9.00,-43.00,
-6.00,-37.00,
-4.27,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.27,-37.00,
6.00,-37.00,
9.00,-43.00,
9.50,-43.00,
11.00,-44.00,
14.00,-44.00,
14.75,-45.75,
15.00,-46.00,
44.50,-54.00,
70.00,-60.00,
76.75,-62.75,
85.00,-65.00,
89.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
