REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL8-59W
PATNUM:,4709B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,41.1
MDGAIN:,41.9
HGGAIN:,42.8
AZWIDT:,1.4
ELWIDT:,1.4
ATVSWR:,1.06
FRTOBA:,48
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 59 
-180.00,-46.00,
-175.01,-46.00,
-175.00,-52.00,
-135.01,-52.00,
-135.00,-50.00,
-125.00,-50.00,
-115.00,-44.00,
-110.00,-40.00,
-24.50,-40.00,
-20.00,-38.00,
-15.00,-38.00,
-13.67,-38.00,
-13.50,-37.75,
-13.29,-37.50,
-10.50,-30.00,
-5.01,-25.00,
-5.00,-23.00,
-2.40,-23.00,
-2.10,-17.00,
-2.00,-15.00,
-1.80,-12.00,
-1.50,-7.50,
-1.30,-5.98,
-1.10,-4.46,
-1.00,-3.70,
-0.90,-3.24,
-0.60,-1.86,
-0.50,-1.40,
-0.30,-0.84,
0.00,0.00,
0.30,-0.84,
0.50,-1.40,
0.60,-1.86,
0.90,-3.24,
1.00,-3.70,
1.10,-4.46,
1.30,-5.98,
1.50,-7.50,
1.80,-12.00,
2.00,-15.00,
2.10,-17.00,
2.40,-23.00,
5.00,-23.00,
5.01,-25.00,
10.50,-30.00,
13.29,-37.50,
13.50,-37.75,
13.67,-38.00,
15.00,-38.00,
20.00,-38.00,
24.50,-40.00,
110.00,-40.00,
115.00,-44.00,
125.00,-50.00,
135.00,-50.00,
135.01,-52.00,
175.00,-52.00,
175.01,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 25 
-180.00,-54.00,
-120.00,-54.00,
-110.00,-51.00,
-30.01,-51.00,
-30.00,-50.00,
-15.00,-50.00,
-12.37,-50.00,
-12.00,-49.50,
-11.00,-48.00,
-7.50,-40.00,
-3.01,-35.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.01,-35.00,
7.50,-40.00,
11.00,-48.00,
12.00,-49.50,
12.37,-50.00,
15.00,-50.00,
30.00,-50.00,
30.01,-51.00,
110.00,-51.00,
120.00,-54.00,
180.00,-54.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 65 
-180.00,-46.00,
-175.01,-46.00,
-175.00,-52.00,
-135.01,-52.00,
-135.00,-50.00,
-125.00,-50.00,
-115.00,-44.00,
-110.00,-40.00,
-90.00,-40.00,
-85.00,-42.00,
-38.00,-42.00,
-35.00,-39.00,
-30.00,-39.00,
-25.00,-35.00,
-23.00,-35.00,
-20.01,-32.00,
-20.00,-31.00,
-15.00,-31.00,
-5.01,-24.50,
-5.00,-23.00,
-2.40,-23.00,
-2.10,-17.00,
-2.00,-15.00,
-1.80,-12.00,
-1.50,-7.50,
-1.30,-5.98,
-1.10,-4.46,
-1.00,-3.70,
-0.90,-3.24,
-0.60,-1.86,
-0.50,-1.40,
-0.30,-0.84,
0.00,0.00,
0.30,-0.84,
0.50,-1.40,
0.60,-1.86,
0.90,-3.24,
1.00,-3.70,
1.10,-4.46,
1.30,-5.98,
1.50,-7.50,
1.80,-12.00,
2.00,-15.00,
2.10,-17.00,
2.40,-23.00,
5.00,-23.00,
5.01,-24.50,
15.00,-31.00,
20.00,-31.00,
20.01,-32.00,
23.00,-35.00,
25.00,-35.00,
30.00,-39.00,
35.00,-39.00,
38.00,-42.00,
85.00,-42.00,
90.00,-40.00,
110.00,-40.00,
115.00,-44.00,
125.00,-50.00,
135.00,-50.00,
135.01,-52.00,
175.00,-52.00,
175.01,-46.00,
180.00,-46.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 29 
-180.00,-54.00,
-120.00,-54.00,
-110.00,-52.00,
-30.01,-52.00,
-30.00,-50.00,
-19.00,-50.00,
-15.00,-45.00,
-10.61,-45.00,
-10.60,-41.00,
-7.88,-41.00,
-7.50,-40.00,
-5.50,-37.75,
-5.00,-37.25,
-4.00,-30.00,
0.00,-30.00,
4.00,-30.00,
5.00,-37.25,
5.50,-37.75,
7.50,-40.00,
7.88,-41.00,
10.60,-41.00,
10.61,-45.00,
15.00,-45.00,
19.00,-50.00,
30.00,-50.00,
30.01,-52.00,
110.00,-52.00,
120.00,-54.00,
180.00,-54.00,
ENDFIL:,EOF
