REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP10-59W
PATNUM:,4715B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,42.9
MDGAIN:,43.6
HGGAIN:,44.3
AZWIDT:,1.1
ELWIDT:,1.1
ATVSWR:,1.06
FRTOBA:,69
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 49 
-180.00,-69.00,
-100.00,-69.00,
-95.00,-64.75,
-86.50,-57.50,
-65.00,-46.00,
-50.00,-45.00,
-40.00,-44.00,
-35.00,-43.00,
-30.00,-43.00,
-20.00,-38.00,
-15.00,-38.00,
-11.80,-38.00,
-10.25,-35.75,
-10.00,-35.00,
-9.74,-35.00,
-7.00,-31.00,
-4.80,-27.81,
-1.80,-23.44,
-1.70,-23.29,
-1.50,-19.94,
-1.34,-17.24,
-1.00,-5.00,
-0.51,-1.65,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
0.51,-1.65,
1.00,-5.00,
1.34,-17.24,
1.50,-19.94,
1.70,-23.29,
1.80,-23.44,
4.80,-27.81,
7.00,-31.00,
9.74,-35.00,
10.00,-35.00,
10.25,-35.75,
11.80,-38.00,
15.00,-38.00,
20.00,-38.00,
30.00,-43.00,
35.00,-43.00,
40.00,-44.00,
50.00,-45.00,
65.00,-46.00,
86.50,-57.50,
95.00,-64.75,
100.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 31 
-180.00,-70.00,
-100.00,-70.00,
-95.00,-69.50,
-94.00,-69.20,
-85.00,-62.00,
-60.00,-58.00,
-40.00,-55.00,
-28.00,-55.00,
-20.00,-51.25,
-15.00,-49.00,
-7.50,-41.25,
-6.30,-40.00,
-6.00,-38.00,
-3.01,-38.00,
-3.00,-28.00,
0.00,-28.00,
3.00,-28.00,
3.01,-38.00,
6.00,-38.00,
6.30,-40.00,
7.50,-41.25,
15.00,-49.00,
20.00,-51.25,
28.00,-55.00,
40.00,-55.00,
60.00,-58.00,
85.00,-62.00,
94.00,-69.20,
95.00,-69.50,
100.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 51 
-180.00,-69.00,
-100.00,-69.00,
-95.00,-66.00,
-75.00,-54.25,
-71.00,-52.00,
-50.00,-46.00,
-36.00,-42.00,
-30.01,-42.00,
-30.00,-38.00,
-22.50,-36.00,
-20.01,-36.00,
-20.00,-35.25,
-15.00,-34.00,
-12.82,-34.00,
-12.00,-33.25,
-11.69,-33.00,
-10.50,-29.00,
-7.36,-29.00,
-4.80,-26.65,
-3.01,-25.00,
-3.00,-23.00,
-1.76,-23.00,
-1.50,-11.50,
-1.00,-5.00,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
1.00,-5.00,
1.50,-11.50,
1.76,-23.00,
3.00,-23.00,
3.01,-25.00,
4.80,-26.65,
7.36,-29.00,
10.50,-29.00,
11.69,-33.00,
12.00,-33.25,
12.82,-34.00,
15.00,-34.00,
20.00,-35.25,
20.01,-36.00,
22.50,-36.00,
30.00,-38.00,
30.01,-42.00,
36.00,-42.00,
50.00,-46.00,
71.00,-52.00,
75.00,-54.25,
95.00,-66.00,
100.00,-69.00,
180.00,-69.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 25 
-180.00,-70.00,
-100.00,-70.00,
-95.00,-69.50,
-94.00,-69.00,
-85.00,-62.00,
-65.00,-58.89,
-40.00,-55.00,
-28.00,-55.00,
-15.00,-49.00,
-12.00,-40.00,
-4.50,-40.00,
-2.60,-27.00,
0.00,-27.00,
2.60,-27.00,
4.50,-40.00,
12.00,-40.00,
15.00,-49.00,
28.00,-55.00,
40.00,-55.00,
65.00,-58.89,
85.00,-62.00,
94.00,-69.00,
95.00,-69.50,
100.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
