REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP12-59W
PATNUM:,4716B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,44.7
MDGAIN:,45.2
HGGAIN:,46.1
AZWIDT:,0.9
ELWIDT:,0.9
ATVSWR:,1.06
FRTOBA:,71
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 27 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-47.00,
-71.00,-47.00,
-70.00,-46.00,
-28.50,-46.00,
-15.00,-41.00,
-3.40,-24.00,
-1.70,-24.00,
-1.50,-20.00,
-1.10,-8.80,
-1.00,-5.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-5.00,
1.10,-8.80,
1.50,-20.00,
1.70,-24.00,
3.40,-24.00,
15.00,-41.00,
28.50,-46.00,
70.00,-46.00,
71.00,-47.00,
80.00,-47.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 19 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-56.00,
-71.88,-56.00,
-70.00,-55.00,
-10.00,-55.00,
-6.00,-37.00,
-3.50,-37.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.50,-37.00,
6.00,-37.00,
10.00,-55.00,
70.00,-55.00,
71.88,-56.00,
80.00,-56.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 43 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-47.00,
-71.00,-47.00,
-70.00,-46.00,
-24.25,-46.00,
-24.00,-45.50,
-19.00,-38.00,
-15.00,-38.00,
-8.20,-27.00,
-7.59,-26.89,
-7.00,-26.00,
-5.01,-26.00,
-5.00,-24.30,
-4.06,-23.48,
-3.50,-22.00,
-1.60,-22.00,
-1.50,-20.00,
-1.12,-9.50,
-1.00,-5.00,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
1.00,-5.00,
1.12,-9.50,
1.50,-20.00,
1.60,-22.00,
3.50,-22.00,
4.06,-23.48,
5.00,-24.30,
5.01,-26.00,
7.00,-26.00,
7.59,-26.89,
8.20,-27.00,
15.00,-38.00,
19.00,-38.00,
24.00,-45.50,
24.25,-46.00,
70.00,-46.00,
71.00,-47.00,
80.00,-47.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 31 
-180.00,-71.00,
-100.00,-71.00,
-80.00,-56.00,
-72.00,-56.00,
-70.00,-55.00,
-25.00,-55.00,
-15.00,-53.25,
-10.20,-50.50,
-10.00,-49.75,
-8.20,-43.75,
-8.00,-43.00,
-5.20,-43.00,
-5.00,-42.00,
-3.50,-33.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.50,-33.00,
5.00,-42.00,
5.20,-43.00,
8.00,-43.00,
8.20,-43.75,
10.00,-49.75,
10.20,-50.50,
15.00,-53.25,
25.00,-55.00,
70.00,-55.00,
72.00,-56.00,
80.00,-56.00,
100.00,-71.00,
180.00,-71.00,
ENDFIL:,EOF
