REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL15-59W
PATNUM:,4712B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011201
LOWFRQ:, 5925 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,46.1
MDGAIN:,46.8
HGGAIN:,47.6
AZWIDT:,0.8
ELWIDT:,0.8
ATVSWR:,1.06
FRTOBA:,53
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 35 
-180.00,-53.00,
-175.01,-53.00,
-175.00,-60.00,
-120.00,-60.00,
-109.50,-51.00,
-105.00,-47.00,
-90.00,-47.00,
-85.00,-48.00,
-30.00,-48.00,
-15.00,-42.90,
-3.00,-23.00,
-1.40,-23.00,
-1.30,-20.00,
-1.08,-13.25,
-1.00,-10.00,
-0.69,-4.94,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
0.69,-4.94,
1.00,-10.00,
1.08,-13.25,
1.30,-20.00,
1.40,-23.00,
3.00,-23.00,
15.00,-42.90,
30.00,-48.00,
85.00,-48.00,
90.00,-47.00,
105.00,-47.00,
109.50,-51.00,
120.00,-60.00,
175.00,-60.00,
175.01,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 21 
-180.00,-61.00,
-175.01,-61.00,
-175.00,-64.00,
-115.00,-64.00,
-100.00,-56.00,
-10.60,-56.00,
-10.00,-53.25,
-7.10,-40.00,
-4.00,-40.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
4.00,-40.00,
7.10,-40.00,
10.00,-53.25,
10.60,-56.00,
100.00,-56.00,
115.00,-64.00,
175.00,-64.00,
175.01,-61.00,
180.00,-61.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 47 
-180.00,-53.00,
-175.01,-53.00,
-175.00,-60.00,
-120.00,-60.00,
-111.00,-52.50,
-105.00,-47.00,
-103.00,-46.00,
-90.00,-46.00,
-85.00,-47.00,
-30.00,-47.00,
-27.50,-45.25,
-18.00,-39.00,
-15.00,-39.00,
-8.10,-26.00,
-7.00,-25.50,
-5.00,-24.25,
-3.00,-23.00,
-1.40,-23.00,
-1.30,-20.00,
-1.08,-13.25,
-1.00,-10.00,
-0.69,-4.94,
-0.50,-1.30,
0.00,0.00,
0.50,-1.30,
0.69,-4.94,
1.00,-10.00,
1.08,-13.25,
1.30,-20.00,
1.40,-23.00,
3.00,-23.00,
5.00,-24.25,
7.00,-25.50,
8.10,-26.00,
15.00,-39.00,
18.00,-39.00,
27.50,-45.25,
30.00,-47.00,
85.00,-47.00,
90.00,-46.00,
103.00,-46.00,
105.00,-47.00,
111.00,-52.50,
120.00,-60.00,
175.00,-60.00,
175.01,-53.00,
180.00,-53.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 29 
-180.00,-61.00,
-175.01,-61.00,
-175.00,-64.00,
-115.00,-64.00,
-100.00,-56.00,
-24.00,-56.00,
-21.00,-55.25,
-15.00,-54.00,
-11.00,-52.00,
-9.90,-48.50,
-8.90,-45.00,
-6.20,-45.00,
-5.50,-41.75,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
5.50,-41.75,
6.20,-45.00,
8.90,-45.00,
9.90,-48.50,
11.00,-52.00,
15.00,-54.00,
21.00,-55.25,
24.00,-56.00,
100.00,-56.00,
115.00,-64.00,
175.00,-64.00,
175.01,-61.00,
180.00,-61.00,
ENDFIL:,EOF
