REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,VP4-59
PATNUM:,4604
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20000901
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,35.5
MDGAIN:,35.9
HGGAIN:,36.3
AZWIDT:,2.70
ELWIDT:,2.70
ATVSWR:,1.10
FRTOBA:,47.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-47.00,
-135.00,-47.00,
-105.00,-34.00,
-45.00,-34.00,
-30.00,-32.00,
-20.00,-30.00,
-15.00,-28.00,
-10.00,-24.00,
-7.50,-22.00,
-5.00,-20.00,
-3.34,-20.00,
-2.91,-15.00,
-2.50,-10.00,
-2.00,-6.00,
-1.50,-3.15,
-1.00,-1.32,
-0.50,-0.37,
0.00,0.00,
0.50,-0.37,
1.00,-1.32,
1.50,-3.15,
2.00,-6.00,
2.50,-10.00,
2.91,-15.00,
3.34,-20.00,
5.00,-20.00,
7.50,-22.00,
10.00,-24.00,
15.00,-28.00,
20.00,-30.00,
30.00,-32.00,
45.00,-34.00,
105.00,-34.00,
135.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-52.00,
-113.00,-52.00,
-90.00,-48.00,
-56.00,-48.00,
-45.00,-44.00,
-20.00,-44.00,
-15.00,-44.00,
-10.00,-42.00,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-42.00,
10.00,-42.00,
15.00,-44.00,
20.00,-44.00,
45.00,-44.00,
56.00,-48.00,
90.00,-48.00,
113.00,-52.00,
180.00,-52.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,43
-180.00,-50.00,
-120.00,-50.00,
-90.00,-35.00,
-68.00,-35.00,
-60.00,-38.00,
-52.50,-38.00,
-40.00,-36.00,
-35.00,-32.00,
-27.50,-32.00,
-22.50,-28.00,
-18.00,-28.00,
-15.00,-26.00,
-12.00,-26.00,
-9.00,-22.00,
-3.37,-22.00,
-2.90,-15.00,
-2.50,-10.22,
-2.00,-6.23,
-1.50,-3.18,
-1.00,-1.32,
-0.50,-0.30,
0.00,0.00,
0.50,-0.30,
1.00,-1.32,
1.50,-3.18,
2.00,-6.23,
2.50,-10.22,
2.90,-15.00,
3.37,-22.00,
9.00,-22.00,
12.00,-26.00,
15.00,-26.00,
18.00,-28.00,
22.50,-28.00,
27.50,-32.00,
35.00,-32.00,
40.00,-36.00,
52.50,-38.00,
60.00,-38.00,
68.00,-35.00,
90.00,-35.00,
120.00,-50.00,
180.00,-50.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-52.00,
-135.00,-52.00,
-113.00,-50.00,
-90.00,-48.00,
-15.00,-48.00,
-13.00,-48.00,
-10.00,-42.00,
-5.00,-42.00,
-3.00,-32.00,
0.00,-32.00,
3.00,-32.00,
5.00,-42.00,
10.00,-42.00,
13.00,-48.00,
15.00,-48.00,
90.00,-48.00,
113.00,-50.00,
135.00,-52.00,
180.00,-52.00,
ENDFIL:,EOF
