REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PXL6-59
PATNUM:,2632E
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19831004
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.7
HGGAIN:,39.1
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.07
FRTOBA:,46.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,43
-180.00,-47.00,
-120.00,-47.00,
-105.00,-39.00,
-32.00,-39.00,
-25.78,-37.67,
-15.00,-37.67,
-13.79,-37.67,
-12.44,-34.65,
-11.09,-32.29,
-10.71,-32.29,
-9.28,-30.11,
-8.59,-27.94,
-7.60,-27.94,
-6.20,-24.81,
-5.47,-22.42,
-4.93,-22.42,
-3.09,-20.21,
-2.04,-18.07,
-1.54,-10.02,
-1.02,-4.01,
-0.58,-0.99,
0.00,0.00,
0.58,-0.99,
1.02,-4.01,
1.54,-10.02,
2.04,-18.07,
3.09,-20.21,
4.93,-22.42,
5.47,-22.42,
6.20,-24.81,
7.60,-27.94,
8.59,-27.94,
9.28,-30.11,
10.71,-32.29,
11.09,-32.29,
12.44,-34.65,
13.79,-37.67,
15.00,-37.67,
25.78,-37.67,
32.00,-39.00,
105.00,-39.00,
120.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-49.00,
-115.00,-49.00,
-100.00,-47.00,
-15.00,-47.00,
-7.50,-47.00,
-6.00,-43.00,
-3.50,-43.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.50,-43.00,
6.00,-43.00,
7.50,-47.00,
15.00,-47.00,
100.00,-47.00,
115.00,-49.00,
180.00,-49.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,37
-180.00,-47.00,
-120.00,-47.00,
-105.00,-39.00,
-25.00,-39.00,
-16.49,-31.60,
-15.00,-31.60,
-9.21,-31.60,
-8.32,-30.71,
-7.12,-26.38,
-6.16,-21.63,
-5.54,-20.11,
-4.97,-20.11,
-3.21,-15.82,
-2.88,-14.83,
-1.51,-9.91,
-1.04,-3.97,
-0.56,-0.91,
-0.01,0.00,
0.00,0.00,
0.01,0.00,
0.56,-0.91,
1.04,-3.97,
1.51,-9.91,
2.88,-14.83,
3.21,-15.82,
4.97,-20.11,
5.54,-20.11,
6.16,-21.63,
7.12,-26.38,
8.32,-30.71,
9.21,-31.60,
15.00,-31.60,
16.49,-31.60,
25.00,-39.00,
105.00,-39.00,
120.00,-47.00,
180.00,-47.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-49.00,
-115.00,-49.00,
-100.00,-47.00,
-30.00,-47.00,
-20.00,-41.00,
-15.00,-36.79,
-10.50,-33.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
10.50,-33.00,
15.00,-36.79,
20.00,-41.00,
30.00,-47.00,
100.00,-47.00,
115.00,-49.00,
180.00,-49.00,
ENDFIL:,EOF
