REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX6-59
PATNUM:,2664F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911203
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.8
HGGAIN:,39.1
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.07
FRTOBA:,65.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,39
-180.00,-64.90,
-99.55,-64.73,
-55.48,-42.64,
-35.50,-39.90,
-25.25,-32.88,
-15.00,-33.05,
-12.50,-33.05,
-11.03,-26.88,
-9.31,-26.88,
-6.55,-21.92,
-4.48,-21.92,
-3.53,-19.86,
-2.76,-14.90,
-1.98,-9.93,
-1.38,-5.99,
-1.21,-3.94,
-0.86,-2.05,
-0.78,-0.86,
-0.43,-0.34,
0.00,0.00,
0.43,-0.34,
0.78,-0.86,
0.86,-2.05,
1.21,-3.94,
1.38,-5.99,
1.98,-9.93,
2.76,-14.90,
3.53,-19.86,
4.48,-21.92,
6.55,-21.92,
9.31,-26.88,
11.03,-26.88,
12.50,-33.05,
15.00,-33.05,
25.25,-32.88,
35.50,-39.90,
55.48,-42.64,
99.55,-64.73,
180.00,-64.90,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-64.90,
-95.00,-64.90,
-63.17,-59.42,
-40.11,-52.74,
-15.00,-52.74,
-13.53,-52.74,
-8.36,-40.75,
-2.07,-40.75,
-2.07,-34.93,
-2.07,-30.00,
0.00,-30.00,
2.07,-30.00,
2.07,-34.93,
2.07,-40.75,
8.36,-40.75,
13.53,-52.74,
15.00,-52.74,
40.11,-52.74,
63.17,-59.42,
95.00,-64.90,
180.00,-64.90,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-65.07,
-99.04,-65.07,
-40.62,-40.58,
-35.50,-39.73,
-15.00,-36.82,
-10.09,-26.03,
-6.47,-21.92,
-5.00,-21.00,
-3.45,-19.86,
-2.76,-14.90,
-2.07,-9.93,
-1.29,-4.79,
-1.03,-2.91,
-0.78,-1.03,
-0.43,-0.34,
0.00,0.00,
0.43,-0.34,
0.78,-1.03,
1.03,-2.91,
1.29,-4.79,
2.07,-9.93,
2.76,-14.90,
3.45,-19.86,
5.00,-21.00,
6.47,-21.92,
10.09,-26.03,
15.00,-36.82,
35.50,-39.73,
40.62,-40.58,
99.04,-65.07,
180.00,-65.07,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-64.90,
-95.00,-64.90,
-45.23,-52.74,
-15.00,-50.86,
-9.91,-50.86,
-4.05,-39.04,
-2.59,-38.87,
-2.24,-34.93,
-1.98,-30.00,
0.00,-30.00,
1.98,-30.00,
2.24,-34.93,
2.59,-38.87,
4.05,-39.04,
9.91,-50.86,
15.00,-50.86,
45.23,-52.74,
95.00,-64.90,
180.00,-64.90,
ENDFIL:,EOF
