REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX6-59
PATNUM:,1729K
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001004
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.8
HGGAIN:,39.1
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.00,-75.00,
-98.00,-75.00,
-65.50,-64.40,
-63.60,-59.40,
-58.90,-57.70,
-52.40,-56.40,
-48.30,-55.40,
-44.50,-55.40,
-37.50,-54.50,
-30.50,-49.70,
-23.30,-45.80,
-15.40,-40.40,
-12.10,-40.40,
-10.80,-32.20,
-9.60,-31.80,
-8.50,-31.80,
-7.20,-28.10,
-6.30,-27.30,
-5.80,-27.30,
-4.40,-24.90,
-3.20,-21.30,
-2.00,-12.90,
-1.70,-7.80,
-1.00,-2.30,
-0.70,-1.10,
0.00,-0.00,
0.60,-0.90,
1.10,-3.50,
1.50,-7.60,
2.00,-13.00,
3.40,-17.10,
4.40,-25.60,
5.70,-26.00,
6.50,-26.00,
7.50,-31.80,
8.30,-33.90,
9.20,-33.90,
10.30,-34.80,
11.00,-41.70,
12.50,-41.70,
13.90,-42.80,
14.40,-43.30,
15.00,-43.30,
15.60,-43.30,
24.00,-50.90,
25.60,-51.00,
31.30,-51.00,
34.00,-56.00,
43.00,-56.00,
43.00,-58.50,
49.30,-58.70,
50.30,-59.00,
57.00,-63.00,
61.80,-64.60,
71.40,-64.60,
76.30,-67.60,
82.30,-72.40,
100.00,-75.00,
120.00,-75.00,
135.00,-78.00,
169.00,-78.00,
171.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41
-180.00,-80.00,
-80.00,-80.00,
-75.20,-77.00,
-69.40,-77.00,
-61.40,-75.70,
-55.50,-71.10,
-52.10,-70.00,
-46.20,-67.70,
-40.20,-65.00,
-36.60,-65.00,
-33.80,-64.90,
-26.90,-64.00,
-20.30,-61.40,
-15.00,-61.30,
-13.10,-61.30,
-11.00,-60.20,
-9.20,-57.00,
-8.00,-53.00,
-5.00,-53.00,
-4.50,-46.20,
-3.50,-41.20,
-2.20,-39.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
5.80,-54.00,
6.30,-59.20,
7.80,-60.80,
8.80,-60.80,
10.60,-61.80,
16.20,-61.80,
23.40,-65.50,
29.20,-65.50,
34.00,-66.20,
35.00,-67.00,
55.40,-67.00,
60.40,-69.60,
69.20,-73.50,
78.00,-78.00,
90.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.00,-76.00,
-90.00,-76.00,
-81.80,-75.50,
-76.90,-73.60,
-71.40,-69.90,
-66.70,-63.60,
-61.50,-63.60,
-58.40,-58.70,
-50.50,-58.70,
-49.10,-58.40,
-41.50,-58.40,
-38.40,-56.70,
-30.30,-52.90,
-28.10,-51.30,
-23.40,-50.30,
-18.50,-42.90,
-13.20,-42.90,
-10.10,-32.80,
-9.50,-32.50,
-8.50,-32.50,
-7.00,-29.00,
-6.10,-28.70,
-5.80,-28.70,
-4.80,-28.00,
-3.20,-27.20,
-2.10,-13.50,
-1.50,-5.40,
-1.00,-2.30,
-0.60,-0.90,
0.00,-0.00,
0.60,-0.90,
1.10,-3.50,
1.60,-7.60,
2.10,-13.40,
3.00,-23.20,
4.80,-26.50,
6.40,-26.50,
7.50,-34.00,
9.80,-34.00,
11.60,-40.80,
13.10,-40.80,
14.80,-45.60,
15.00,-45.70,
19.00,-46.80,
21.80,-50.40,
27.20,-50.60,
31.00,-54.30,
37.50,-55.80,
41.90,-59.70,
47.20,-59.70,
53.00,-62.50,
59.00,-62.50,
59.00,-63.50,
60.30,-63.30,
68.30,-65.30,
78.00,-66.00,
84.00,-74.00,
100.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,36
-180.00,-78.00,
-75.00,-78.00,
-74.30,-75.20,
-66.10,-74.00,
-61.60,-71.00,
-49.10,-71.00,
-43.50,-67.40,
-35.50,-66.10,
-30.60,-64.60,
-25.40,-62.30,
-24.20,-61.80,
-11.80,-61.80,
-10.30,-59.40,
-9.60,-57.70,
-8.00,-56.40,
-7.70,-56.40,
-6.30,-49.70,
-5.80,-49.70,
-3.50,-39.80,
-2.80,-39.80,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
5.00,-52.00,
6.20,-59.10,
8.00,-61.00,
8.60,-63.00,
14.50,-63.00,
15.00,-63.20,
25.00,-68.00,
59.00,-68.00,
66.30,-73.50,
72.00,-74.40,
78.00,-77.40,
86.00,-78.00,
180.00,-78.00,
ENDFIL:,EOF
