REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX6-59
PATNUM:,1730K
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001004
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.8
HGGAIN:,39.1
AZWIDT:,1.8
ELWIDT:,1.8
ATVSWR:,1.06
FRTOBA:,75
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,63
-180.0,-75.0, 
-171.0,-75.0, 
-169.0,-78.0, 
-135.0,-78.0, 
-120.0,-75.0, 
-100.0,-75.0, 
-82.3,-72.4, 
-76.3,-67.6, 
-71.4,-64.6, 
-61.8,-64.6, 
-57.0,-63.0, 
-50.3,-59.0, 
-49.3,-58.7, 
-43.0,-58.5, 
-43.0,-56.0, 
-34.0,-56.0, 
-31.3,-51.0, 
-25.6,-51.0, 
-24.0,-50.9, 
-15.6,-43.3, 
-15.0,-43.3, 
-14.4,-43.3, 
-13.9,-42.8, 
-12.5,-41.7, 
-11.0,-41.7, 
-10.3,-34.8, 
-9.2,-33.9, 
-8.3,-33.9, 
-7.5,-31.8, 
-6.5,-26.0, 
-5.7,-26.0, 
-4.4,-25.6, 
-3.4,-17.1, 
-2.0,-13.0, 
-1.5,-7.6, 
-1.1,-3.5, 
-0.6,-0.9, 
0.0,0.0, 
0.7,-1.1, 
1.0,-2.3, 
1.7,-7.8, 
2.0,-12.9, 
3.2,-21.3, 
4.4,-24.9, 
5.8,-27.3, 
6.3,-27.3, 
7.2,-28.1, 
8.5,-31.8, 
9.6,-31.8, 
10.8,-32.2, 
12.1,-40.4, 
15.4,-40.4, 
23.3,-45.8, 
30.5,-49.7, 
37.5,-54.5, 
44.5,-55.4, 
48.3,-55.4, 
52.4,-56.4, 
58.9,-57.7, 
63.6,-59.4, 
65.5,-64.4, 
98.0,-75.0, 
180.0,-75.0, 
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,41
-180.0,-80.0, 
-90.0,-80.0, 
-78.0,-78.0, 
-69.2,-73.5, 
-60.4,-69.6, 
-55.4,-67.0, 
-35.0,-67.0, 
-34.0,-66.2, 
-29.2,-65.5, 
-23.4,-65.5, 
-16.2,-61.8, 
-10.6,-61.8, 
-8.8,-60.8, 
-7.8,-60.8, 
-6.3,-59.2, 
-5.8,-54.0, 
-2.0,-33.0, 
0.0,-33.0, 
2.0,-33.0, 
2.2,-39.0, 
3.5,-41.2, 
4.5,-46.2, 
5.0,-53.0, 
8.0,-53.0, 
9.2,-57.0, 
11.0,-60.2, 
13.1,-61.3, 
15.0,-61.3, 
20.3,-61.4, 
26.9,-64.0, 
33.8,-64.9, 
36.6,-65.0, 
40.2,-65.0, 
46.2,-67.7, 
52.1,-70.0, 
55.5,-71.1, 
61.4,-75.7, 
69.4,-77.0, 
75.2,-77.0, 
80.0,-80.0, 
180.0,-80.0, 
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,59
-180.0,-76.0, 
-100.0,-76.0, 
-84.0,-74.0, 
-78.0,-66.0, 
-68.3,-65.3, 
-60.3,-63.3, 
-59.0,-63.5, 
-59.0,-62.5, 
-53.0,-62.5, 
-47.2,-59.7, 
-41.9,-59.7, 
-37.5,-55.8, 
-31.0,-54.3, 
-27.2,-50.6, 
-21.8,-50.4, 
-19.0,-46.8, 
-15.0,-45.7, 
-14.8,-45.6, 
-13.1,-40.8, 
-11.6,-40.8, 
-9.8,-34.0, 
-7.5,-34.0, 
-6.4,-26.5, 
-4.8,-26.5, 
-3.0,-23.2, 
-2.1,-13.4, 
-1.6,-7.6, 
-1.1,-3.5, 
-0.6,-0.9, 
0.0,0.0, 
0.6,-0.9, 
1.0,-2.3, 
1.5,-5.4, 
2.1,-13.5, 
3.2,-27.2, 
4.8,-28.0, 
5.8,-28.7, 
6.1,-28.7, 
7.0,-29.0, 
8.5,-32.5, 
9.5,-32.5, 
10.1,-32.8, 
13.2,-42.9, 
18.5,-42.9, 
23.4,-50.3, 
28.1,-51.3, 
30.3,-52.9, 
38.4,-56.7, 
41.5,-58.4, 
49.1,-58.4, 
50.5,-58.7, 
58.4,-58.7, 
61.5,-63.6, 
66.7,-63.6, 
71.4,-69.9, 
76.9,-73.6, 
81.8,-75.5, 
90.0,-76.0, 
180.0,-76.0, 
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,36
-180.0,-78.0, 
-86.0,-78.0, 
-78.0,-77.4, 
-72.0,-74.4, 
-66.3,-73.5, 
-59.0,-68.0, 
-25.0,-68.0, 
-15.0,-63.2, 
-14.5,-63.0, 
-8.6,-63.0, 
-8.0,-61.0, 
-6.2,-59.1, 
-5.0,-52.0, 
-2.0,-33.0, 
0.0,-33.0, 
2.0,-33.0, 
2.8,-39.8, 
3.5,-39.8, 
5.8,-49.7, 
6.3,-49.7, 
7.7,-56.4, 
8.0,-56.4, 
9.6,-57.7, 
10.3,-59.4, 
11.8,-61.8, 
24.2,-61.8, 
25.4,-62.3, 
30.6,-64.6, 
35.5,-66.1, 
43.5,-67.4, 
49.1,-71.0, 
61.6,-71.0, 
66.1,-74.0, 
74.3,-75.2, 
75.0,-78.0, 
180.0,-78.0, 
ENDFIL:,EOF
