REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP6-59
PATNUM:,3302I
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011121
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,38.9
HGGAIN:,39.4
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,62.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-62.00,
-99.27,-62.00,
-59.37,-42.00,
-30.00,-42.00,
-30.00,-39.00,
-20.00,-39.00,
-15.00,-38.00,
-9.89,-33.00,
-8.55,-33.00,
-5.95,-25.00,
-5.00,-25.00,
-2.35,-19.83,
-1.68,-9.83,
-1.34,-7.00,
-1.09,-4.00,
-0.84,-2.00,
-0.59,-0.83,
0.00,0.00,
0.59,-0.83,
0.84,-2.00,
1.09,-4.00,
1.34,-7.00,
1.68,-9.83,
2.35,-19.83,
5.00,-25.00,
5.95,-25.00,
8.55,-33.00,
9.89,-33.00,
15.00,-38.00,
20.00,-39.00,
30.00,-39.00,
30.00,-42.00,
59.37,-42.00,
99.27,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-65.00,
-78.81,-65.00,
-24.97,-48.00,
-15.00,-48.00,
-13.41,-45.83,
-8.72,-43.83,
-2.93,-43.83,
-2.18,-30.00,
-1.76,-30.00,
-0.84,-30.00,
0.00,-30.00,
0.84,-30.00,
1.76,-30.00,
2.18,-30.00,
2.93,-43.83,
8.72,-43.83,
13.41,-45.83,
15.00,-48.00,
24.97,-48.00,
78.81,-65.00,
180.00,-65.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-62.00,
-99.00,-62.00,
-40.00,-44.00,
-40.00,-42.00,
-30.00,-42.00,
-28.00,-39.00,
-20.00,-39.00,
-15.00,-35.00,
-13.00,-30.00,
-10.00,-30.00,
-5.00,-25.00,
-5.00,-23.00,
-3.35,-19.83,
-2.26,-19.83,
-1.68,-9.67,
-1.34,-4.83,
-1.01,-2.83,
-0.75,-1.00,
-0.42,-0.17,
0.00,0.00,
0.42,-0.17,
0.75,-1.00,
1.01,-2.83,
1.34,-4.83,
1.68,-9.67,
2.26,-19.83,
3.35,-19.83,
5.00,-23.00,
5.00,-25.00,
10.00,-30.00,
13.00,-30.00,
15.00,-35.00,
20.00,-39.00,
28.00,-39.00,
30.00,-42.00,
40.00,-42.00,
40.00,-44.00,
99.00,-62.00,
180.00,-62.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-65.00,
-85.00,-65.00,
-75.00,-59.00,
-65.00,-59.00,
-60.00,-56.00,
-55.00,-56.00,
-50.00,-50.83,
-15.00,-50.83,
-12.91,-48.00,
-8.88,-48.00,
-5.95,-41.00,
-2.60,-40.00,
-2.28,-35.00,
-2.18,-32.83,
-1.76,-30.00,
-0.84,-30.00,
0.00,-30.00,
0.84,-30.00,
1.76,-30.00,
2.18,-32.83,
2.28,-35.00,
2.60,-40.00,
5.95,-41.00,
8.88,-48.00,
12.91,-48.00,
15.00,-50.83,
50.00,-50.83,
55.00,-56.00,
60.00,-56.00,
65.00,-59.00,
75.00,-59.00,
85.00,-65.00,
180.00,-65.00,
ENDFIL:,EOF
