REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FPX8-59
PATNUM:,6111D
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19771129
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,40.1
MDGAIN:,40.4
HGGAIN:,40.6
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.07
FRTOBA:,64.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,33
-180.00,-64.00,
-128.00,-64.00,
-100.00,-59.00,
-85.00,-47.00,
-65.00,-47.00,
-42.00,-41.00,
-28.00,-40.00,
-15.00,-34.00,
-11.00,-32.00,
-4.00,-25.00,
-2.50,-25.00,
-2.30,-20.00,
-2.00,-14.00,
-1.70,-9.00,
-1.00,-3.00,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-3.00,
1.70,-9.00,
2.00,-14.00,
2.30,-20.00,
2.50,-25.00,
4.00,-25.00,
11.00,-32.00,
15.00,-34.00,
28.00,-40.00,
42.00,-41.00,
65.00,-47.00,
85.00,-47.00,
100.00,-59.00,
128.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,17
-180.00,-68.00,
-110.00,-68.00,
-65.00,-61.00,
-45.00,-54.00,
-15.00,-51.00,
-10.00,-48.00,
-4.00,-37.00,
-2.50,-27.00,
0.00,-27.00,
2.50,-27.00,
4.00,-37.00,
10.00,-48.00,
15.00,-51.00,
45.00,-54.00,
65.00,-61.00,
110.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,33
-180.00,-64.00,
-128.00,-64.00,
-100.00,-59.00,
-85.00,-47.00,
-65.00,-47.00,
-42.00,-41.00,
-28.00,-40.00,
-15.00,-34.00,
-11.00,-32.00,
-4.00,-25.00,
-2.50,-25.00,
-2.30,-20.00,
-2.00,-14.00,
-1.70,-9.00,
-1.00,-3.00,
-0.50,-0.80,
0.00,0.00,
0.50,-0.80,
1.00,-3.00,
1.70,-9.00,
2.00,-14.00,
2.30,-20.00,
2.50,-25.00,
4.00,-25.00,
11.00,-32.00,
15.00,-34.00,
28.00,-40.00,
42.00,-41.00,
65.00,-47.00,
85.00,-47.00,
100.00,-59.00,
128.00,-64.00,
180.00,-64.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,17
-180.00,-68.00,
-110.00,-68.00,
-65.00,-61.00,
-45.00,-54.00,
-15.00,-51.00,
-10.00,-48.00,
-4.00,-37.00,
-2.50,-27.00,
0.00,-27.00,
2.50,-27.00,
4.00,-37.00,
10.00,-48.00,
15.00,-51.00,
45.00,-54.00,
65.00,-61.00,
110.00,-68.00,
180.00,-68.00,
ENDFIL:,EOF
