REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-59
PATNUM:,1653J
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001004
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,40.9
MDGAIN:,41.3
HGGAIN:,41.6
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.06
FRTOBA:,77.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,67
-180.00,-77.00,
-171.00,-77.00,
-169.00,-80.00,
-120.00,-80.00,
-90.00,-78.00,
-84.00,-73.50,
-76.00,-67.50,
-71.00,-65.50,
-68.00,-65.50,
-60.00,-60.00,
-57.50,-57.50,
-53.50,-56.00,
-38.50,-56.00,
-31.00,-54.00,
-26.50,-54.00,
-21.00,-48.50,
-15.50,-44.00,
-12.00,-44.00,
-12.00,-43.50,
-10.50,-37.50,
-9.50,-37.50,
-8.00,-36.50,
-7.00,-33.00,
-6.00,-33.00,
-5.50,-30.00,
-5.00,-29.50,
-3.00,-26.50,
-2.50,-21.00,
-1.60,-12.00,
-1.00,-6.50,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
1.00,-5.00,
1.50,-11.50,
2.50,-19.00,
4.00,-27.00,
5.00,-27.00,
5.50,-34.00,
7.50,-34.00,
8.00,-42.00,
10.00,-42.00,
10.50,-43.00,
12.00,-43.50,
12.50,-43.50,
14.00,-45.50,
14.00,-49.00,
15.00,-49.50,
17.00,-50.00,
22.50,-52.00,
25.00,-54.00,
31.00,-58.00,
38.00,-58.00,
48.50,-58.00,
53.50,-59.00,
56.00,-61.00,
61.00,-63.00,
68.00,-66.50,
73.50,-71.00,
78.50,-71.50,
82.00,-75.50,
95.00,-79.00,
104.00,-79.00,
120.00,-80.00,
169.00,-80.00,
171.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,42
-180.00,-80.00,
-74.00,-80.00,
-72.50,-78.00,
-67.50,-77.50,
-61.00,-73.00,
-59.50,-73.00,
-53.00,-71.50,
-38.00,-71.50,
-30.00,-70.00,
-26.50,-70.00,
-22.50,-67.00,
-18.50,-67.00,
-15.00,-62.50,
-14.50,-61.50,
-13.50,-60.50,
-12.00,-58.00,
-10.00,-55.00,
-7.00,-55.00,
-5.00,-54.50,
-4.50,-54.50,
-3.00,-49.50,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
5.00,-59.00,
6.00,-62.50,
6.50,-65.50,
8.00,-66.00,
14.50,-66.00,
15.00,-67.00,
17.00,-69.50,
23.50,-69.50,
28.50,-70.00,
32.50,-71.50,
53.00,-71.50,
58.50,-73.00,
63.50,-74.00,
68.50,-74.50,
74.00,-76.50,
76.50,-76.50,
80.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,54
-180.00,-77.00,
-171.00,-77.00,
-169.00,-80.00,
-96.00,-80.00,
-82.50,-76.00,
-77.50,-74.50,
-70.50,-68.00,
-67.00,-64.00,
-64.00,-64.00,
-57.00,-55.50,
-34.50,-55.50,
-26.50,-49.50,
-24.50,-49.50,
-17.00,-45.00,
-15.00,-45.00,
-13.50,-41.00,
-10.00,-41.00,
-9.50,-36.50,
-8.00,-33.50,
-6.50,-33.50,
-5.00,-30.00,
-3.50,-30.00,
-2.50,-26.00,
-1.00,-6.50,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
1.00,-5.00,
1.50,-11.50,
2.50,-25.50,
3.50,-28.00,
5.00,-28.00,
5.00,-28.50,
6.50,-35.00,
7.50,-36.00,
9.50,-41.50,
10.00,-43.50,
13.00,-43.50,
14.50,-47.00,
15.00,-47.50,
17.00,-50.00,
21.50,-51.00,
28.50,-53.50,
33.00,-53.50,
37.50,-59.50,
46.50,-59.50,
53.00,-62.00,
60.00,-62.00,
65.00,-71.00,
70.00,-71.00,
96.00,-80.00,
169.00,-80.00,
171.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,36
-180.00,-80.00,
-90.00,-80.00,
-75.50,-76.00,
-68.00,-76.00,
-61.50,-71.50,
-52.00,-71.50,
-47.50,-69.50,
-42.00,-69.50,
-37.00,-69.00,
-26.50,-69.00,
-21.50,-67.50,
-15.00,-64.50,
-13.00,-64.50,
-13.00,-62.00,
-11.00,-62.00,
-8.50,-58.50,
-5.00,-58.50,
-4.00,-55.00,
-3.00,-47.00,
-2.00,-33.00,
0.00,-33.00,
2.00,-33.00,
5.00,-59.00,
6.00,-59.00,
6.50,-66.50,
7.00,-66.50,
8.00,-67.50,
12.50,-67.50,
14.00,-69.00,
55.00,-69.00,
58.50,-74.50,
67.50,-74.50,
71.00,-77.00,
80.00,-77.00,
81.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
