REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-59
PATNUM:,1654J
FEDORN:,LEFT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20001004
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,40.9
MDGAIN:,41.3
HGGAIN:,41.6
AZWIDT:,1.4
ELWIDT:,1.4
ATVSWR:,1.06
FRTOBA:,77
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,67
-180.0,-77.0,
-171.0,-77.0,
-169.0,-80.0,
-120.0,-80.0,
-104.0,-79.0,
-95.0,-79.0,
-82.0,-75.5,
-78.5,-71.5,
-73.5,-71.0,
-68.0,-66.5,
-61.0,-63.0,
-56.0,-61.0,
-53.5,-59.0,
-48.5,-58.0,
-38.0,-58.0,
-31.0,-58.0,
-25.0,-54.0,
-22.5,-52.0,
-17.0,-50.0,
-15.0,-49.5,
-14.0,-49.0,
-14.0,-45.5,
-12.5,-43.5,
-12.0,-43.5,
-10.5,-43.0,
-10.0,-42.0,
-8.0,-42.0,
-7.5,-34.0,
-5.5,-34.0,
-5.0,-27.0,
-4.0,-27.0,
-2.5,-19.0,
-1.5,-11.5,
-1.0,-5.0,
-0.5,-1.5,
0.0,0.0,
0.5,-1.5,
1.0,-6.5,
1.6,-12.0,
2.5,-21.0,
3.0,-26.5,
5.0,-29.5,
5.5,-30.0,
6.0,-33.0,
7.0,-33.0,
8.0,-36.5,
9.5,-37.5,
10.5,-37.5,
12.0,-43.5,
12.0,-44.0,
15.5,-44.0,
21.0,-48.5,
26.5,-54.0,
31.0,-54.0,
38.5,-56.0,
53.5,-56.0,
57.5,-57.5,
60.0,-60.0,
68.0,-65.5,
71.0,-65.5,
76.0,-67.5,
84.0,-73.5,
90.0,-78.0,
120.0,-80.0,
169.0,-80.0,
171.0,-77.0,
180.0,-77.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,42
-180.0,-80.0,
-80.0,-80.0,
-76.5,-76.5,
-74.0,-76.5,
-68.5,-74.5,
-63.5,-74.0,
-58.5,-73.0,
-53.0,-71.5,
-32.5,-71.5,
-28.5,-70.0,
-23.5,-69.5,
-17.0,-69.5,
-15.0,-67.0,
-14.5,-66.0,
-8.0,-66.0,
-6.5,-65.5,
-6.0,-62.5,
-5.0,-59.0,
-2.0,-33.0,
0.0,-33.0,
2.0,-33.0,
3.0,-49.5,
4.5,-54.5,
5.0,-54.5,
7.0,-55.0,
10.0,-55.0,
12.0,-58.0,
13.5,-60.5,
14.5,-61.5,
15.0,-62.5,
18.5,-67.0,
22.5,-67.0,
26.5,-70.0,
30.0,-70.0,
38.0,-71.5,
53.0,-71.5,
59.5,-73.0,
61.0,-73.0,
67.5,-77.5,
72.5,-78.0,
74.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,54
-180.0,-77.0,
-171.0,-77.0,
-169.0,-80.0,
-96.0,-80.0,
-70.0,-71.0,
-65.0,-71.0,
-60.0,-62.0,
-53.0,-62.0,
-46.5,-59.5,
-37.5,-59.5,
-33.0,-53.5,
-28.5,-53.5,
-21.5,-51.0,
-17.0,-50.0,
-15.0,-47.5,
-14.5,-47.0,
-13.0,-43.5,
-10.0,-43.5,
-9.5,-41.5,
-7.5,-36.0,
-6.5,-35.0,
-5.0,-28.5,
-5.0,-28.0,
-3.5,-28.0,
-2.5,-25.5,
-1.5,-11.5,
-1.0,-5.0,
-0.5,-1.5,
0.0,0.0,
0.5,-1.5,
1.0,-6.5,
2.5,-26.0,
3.5,-30.0,
5.0,-30.0,
6.5,-33.5,
8.0,-33.5,
9.5,-36.5,
10.0,-41.0,
13.5,-41.0,
15.0,-45.0,
17.0,-45.0,
24.5,-49.5,
26.5,-49.5,
34.5,-55.5,
57.0,-55.5,
64.0,-64.0,
67.0,-64.0,
70.5,-68.0,
77.5,-74.5,
82.5,-76.0,
96.0,-80.0,
169.0,-80.0,
171.0,-77.0,
180.0,-77.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,36
-180.0,-80.0,
-81.0,-80.0,
-80.0,-77.0,
-71.0,-77.0,
-67.5,-74.5,
-58.5,-74.5,
-55.0,-69.0,
-14.0,-69.0,
-12.5,-67.5,
-8.0,-67.5,
-7.0,-66.5,
-6.5,-66.5,
-6.0,-59.0,
-5.0,-59.0,
-2.0,-33.0,
0.0,-33.0,
2.0,-33.0,
3.0,-47.0,
4.0,-55.0,
5.0,-58.5,
8.5,-58.5,
11.0,-62.0,
13.0,-62.0,
13.0,-64.5,
15.0,-64.5,
21.5,-67.5,
26.5,-69.0,
37.0,-69.0,
42.0,-69.5,
47.5,-69.5,
52.0,-71.5,
61.5,-71.5,
68.0,-76.0,
75.5,-76.0,
90.0,-80.0,
180.0,-80.0,
ENDFIL:,EOF
