REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX10-611
PATNUM:,4121A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19860124
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,42.0
MDGAIN:,42.2
HGGAIN:,42.5
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.13
FRTOBA:,73.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-73.00,
-171.00,-73.00,
-169.00,-78.00,
-92.00,-78.00,
-78.00,-62.00,
-70.00,-58.00,
-45.00,-58.00,
-42.00,-54.00,
-26.00,-54.00,
-21.00,-47.00,
-17.00,-47.00,
-15.00,-45.40,
-14.50,-45.00,
-12.20,-45.00,
-9.30,-36.00,
-5.00,-36.00,
-4.00,-30.00,
-3.10,-30.00,
-2.20,-20.00,
-1.60,-14.00,
-1.20,-7.00,
-0.60,-1.50,
0.00,0.00,
0.60,-1.50,
1.20,-7.00,
1.50,-14.00,
1.90,-20.00,
2.50,-30.00,
3.70,-30.00,
4.30,-33.00,
4.90,-33.00,
6.20,-37.00,
7.70,-37.00,
11.30,-47.00,
15.00,-47.00,
32.00,-57.00,
50.00,-57.00,
57.00,-60.00,
65.50,-60.00,
71.00,-65.00,
78.00,-65.00,
88.00,-78.00,
169.00,-78.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,28
-180.00,-82.00,
-93.00,-82.00,
-76.00,-63.00,
-26.00,-63.00,
-15.00,-59.50,
-13.00,-57.00,
-7.40,-57.00,
-6.20,-56.00,
-3.10,-56.00,
-2.40,-45.00,
-2.00,-41.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.80,-48.00,
7.70,-48.00,
9.00,-57.00,
10.00,-57.00,
11.00,-61.00,
15.00,-61.00,
17.00,-61.00,
21.00,-62.00,
60.00,-62.00,
64.00,-68.00,
72.00,-68.00,
78.50,-73.00,
86.00,-82.00,
180.00,-82.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,41
-180.00,-73.00,
-171.00,-73.00,
-169.00,-78.00,
-90.00,-78.00,
-68.00,-52.00,
-43.00,-52.00,
-39.00,-51.00,
-24.00,-51.00,
-15.00,-47.00,
-12.50,-44.50,
-10.80,-44.50,
-9.40,-37.00,
-5.50,-37.00,
-4.50,-30.00,
-3.00,-30.00,
-2.00,-22.50,
-1.50,-14.00,
-1.00,-7.00,
-0.60,-1.50,
0.00,0.00,
0.60,-1.50,
1.00,-7.00,
1.50,-14.00,
2.10,-26.50,
2.50,-29.00,
4.00,-29.00,
6.20,-36.50,
8.10,-36.50,
10.10,-43.00,
11.00,-43.00,
13.50,-47.00,
15.00,-47.00,
35.00,-56.00,
43.00,-56.00,
45.00,-57.50,
65.00,-57.50,
79.00,-69.00,
84.00,-78.00,
169.00,-78.00,
171.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-79.00,
-92.00,-79.00,
-67.00,-65.00,
-49.50,-65.00,
-31.50,-60.50,
-15.50,-60.50,
-15.00,-59.80,
-13.00,-57.00,
-4.60,-57.00,
-3.70,-52.00,
-2.70,-52.00,
-2.00,-40.00,
-1.20,-30.00,
0.00,-30.00,
1.20,-30.00,
2.00,-40.00,
3.00,-51.50,
9.50,-51.50,
13.00,-63.00,
15.00,-63.00,
16.00,-63.00,
19.00,-64.00,
66.00,-64.00,
74.00,-69.50,
78.00,-69.50,
90.00,-79.00,
180.00,-79.00,
ENDFIL:,EOF
