REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX10-4459
PATNUM:,3329
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980514
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,42.3
MDGAIN:,42.6
HGGAIN:,42.9
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.15
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,46
-180.00,-75.00,
-90.00,-75.00,
-82.82,-72.30,
-80.29,-69.62,
-72.38,-64.15,
-66.69,-61.54,
-55.11,-61.69,
-38.75,-59.61,
-23.37,-52.03,
-19.17,-49.99,
-15.00,-45.66,
-13.84,-42.53,
-12.13,-42.10,
-11.70,-41.10,
-10.60,-41.10,
-8.10,-35.50,
-6.60,-35.50,
-5.00,-25.50,
-3.00,-21.50,
-2.50,-14.70,
-2.33,-12.65,
-1.34,-12.71,
-0.59,-2.87,
-0.28,-0.56,
0.00,0.00,
0.26,-0.24,
0.60,-2.11,
1.37,-12.53,
2.30,-12.50,
2.50,-14.70,
3.00,-21.50,
5.00,-25.50,
6.44,-34.21,
8.74,-35.41,
9.47,-35.34,
10.65,-37.40,
15.00,-37.40,
18.55,-43.40,
35.07,-49.30,
42.51,-56.00,
59.86,-56.00,
65.16,-58.50,
73.43,-64.50,
81.00,-68.10,
90.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,36
-180.00,-77.00,
-87.00,-77.00,
-66.00,-74.00,
-41.80,-71.20,
-38.50,-67.90,
-33.00,-66.20,
-28.20,-66.20,
-23.20,-65.80,
-17.10,-64.10,
-15.00,-64.10,
-12.10,-64.10,
-11.80,-61.50,
-8.49,-61.31,
-5.20,-49.80,
-4.80,-44.70,
-3.30,-44.70,
-2.50,-40.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
2.50,-40.00,
3.30,-44.70,
4.80,-44.70,
5.20,-49.80,
8.17,-59.00,
15.00,-59.00,
18.22,-59.00,
20.11,-62.60,
23.20,-62.80,
27.31,-65.10,
32.45,-65.20,
39.93,-67.30,
42.32,-68.60,
54.48,-68.50,
87.00,-77.00,
180.00,-77.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,47
-180.00,-75.00,
-95.00,-75.00,
-82.50,-72.00,
-75.20,-65.90,
-70.50,-64.40,
-65.40,-64.40,
-57.40,-58.60,
-49.50,-54.00,
-38.10,-54.00,
-25.80,-50.80,
-24.00,-47.70,
-15.50,-46.00,
-15.00,-45.70,
-14.60,-45.50,
-13.70,-45.50,
-12.80,-43.70,
-11.50,-35.90,
-8.70,-33.30,
-6.90,-33.30,
-4.00,-26.35,
-2.70,-25.50,
-1.81,-22.50,
-1.50,-10.60,
-0.50,-2.60,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.50,-2.60,
1.50,-10.60,
1.91,-22.50,
2.70,-25.50,
4.00,-26.35,
6.90,-33.30,
8.70,-33.30,
11.50,-35.80,
15.00,-39.80,
23.13,-42.60,
32.84,-45.60,
34.76,-51.10,
53.06,-51.10,
60.69,-58.30,
65.40,-64.40,
70.50,-64.40,
75.20,-65.90,
82.50,-72.00,
95.00,-75.00,
180.00,-75.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,41
-180.00,-77.00,
-85.00,-77.00,
-74.61,-72.41,
-61.80,-72.53,
-60.50,-70.30,
-41.01,-67.22,
-27.70,-67.40,
-21.30,-61.30,
-15.00,-61.30,
-13.10,-61.30,
-12.70,-59.50,
-10.60,-59.50,
-9.80,-57.20,
-8.00,-55.80,
-7.60,-53.30,
-6.30,-51.90,
-5.10,-51.90,
-4.70,-46.80,
-3.10,-42.00,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
3.10,-42.00,
4.70,-46.80,
5.10,-51.90,
6.30,-51.90,
7.60,-53.30,
8.00,-55.80,
9.80,-57.20,
10.60,-59.40,
12.70,-59.40,
15.00,-59.00,
16.18,-59.00,
33.45,-62.60,
36.22,-67.30,
56.00,-67.30,
61.16,-68.70,
65.50,-70.30,
76.30,-73.70,
85.00,-77.00,
180.00,-77.00,
ENDFIL:,EOF
