REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,FP10-59
PATNUM:,6105
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19771129
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,42.5
MDGAIN:,42.8
HGGAIN:,42.9
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.04
FRTOBA:,66.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.00,-66.00,
-107.50,-66.00,
-85.00,-48.00,
-27.50,-44.00,
-25.00,-43.00,
-25.00,-39.00,
-15.00,-39.00,
-15.00,-35.00,
-9.50,-35.00,
-4.50,-29.00,
-2.30,-20.00,
-1.80,-20.00,
-1.50,-15.00,
-1.00,-6.00,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
1.00,-6.00,
1.50,-15.00,
1.80,-20.00,
2.30,-20.00,
4.50,-29.00,
9.50,-35.00,
15.00,-35.00,
15.00,-39.00,
25.00,-39.00,
25.00,-43.00,
27.50,-44.00,
85.00,-48.00,
107.50,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-66.00,
-172.00,-66.00,
-172.00,-68.00,
-95.00,-68.00,
-66.00,-60.00,
-23.50,-58.30,
-15.00,-49.00,
-10.00,-44.00,
-4.00,-44.00,
-1.50,-28.00,
0.00,-28.00,
1.50,-28.00,
4.00,-44.00,
10.00,-44.00,
15.00,-49.00,
23.50,-58.30,
66.00,-60.00,
95.00,-68.00,
172.00,-68.00,
172.00,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-66.00,
-107.50,-66.00,
-85.00,-48.00,
-27.50,-44.00,
-25.00,-43.00,
-25.00,-39.00,
-15.00,-39.00,
-15.00,-35.00,
-9.50,-35.00,
-4.50,-29.00,
-2.30,-20.00,
-1.80,-20.00,
-1.50,-15.00,
-1.00,-6.00,
-0.50,-1.50,
0.00,0.00,
0.50,-1.50,
1.00,-6.00,
1.50,-15.00,
1.80,-20.00,
2.30,-20.00,
4.50,-29.00,
9.50,-35.00,
15.00,-35.00,
15.00,-39.00,
25.00,-39.00,
25.00,-43.00,
27.50,-44.00,
85.00,-48.00,
107.50,-66.00,
180.00,-66.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-66.00,
-172.00,-66.00,
-172.00,-68.00,
-95.00,-68.00,
-66.00,-60.00,
-23.50,-58.30,
-15.00,-49.00,
-10.00,-44.00,
-4.00,-44.00,
-1.50,-28.00,
0.00,-28.00,
1.50,-28.00,
4.00,-44.00,
10.00,-44.00,
15.00,-49.00,
23.50,-58.30,
66.00,-60.00,
95.00,-68.00,
172.00,-68.00,
172.00,-66.00,
180.00,-66.00,
ENDFIL:,EOF
