REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX10-59
PATNUM:,2442A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960610
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,42.5
MDGAIN:,42.9
HGGAIN:,43.2
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,76.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,61
-180.00,-76.00,
-91.00,-76.00,
-85.00,-68.50,
-76.00,-68.50,
-74.00,-63.00,
-70.00,-63.00,
-65.00,-57.00,
-47.00,-57.00,
-30.00,-48.50,
-15.00,-48.50,
-14.50,-48.50,
-14.00,-46.50,
-10.50,-46.50,
-9.30,-38.00,
-6.50,-38.00,
-5.80,-35.50,
-4.50,-35.50,
-4.20,-30.50,
-2.00,-30.50,
-1.90,-27.96,
-1.76,-25.23,
-1.54,-19.12,
-1.32,-13.15,
-1.10,-7.88,
-0.88,-5.90,
-0.66,-2.92,
-0.44,-1.46,
-0.22,-0.01,
0.00,-0.01,
0.22,-0.01,
0.44,-1.17,
0.66,-2.55,
0.88,-5.10,
1.10,-7.20,
1.32,-11.72,
1.54,-16.85,
1.76,-21.05,
1.98,-23.40,
2.00,-25.50,
2.75,-25.50,
3.70,-31.00,
8.00,-31.00,
8.75,-37.50,
11.50,-37.50,
12.00,-40.00,
13.50,-40.00,
14.00,-42.00,
15.00,-42.00,
21.00,-42.00,
27.00,-48.00,
30.00,-48.00,
35.00,-52.00,
56.00,-52.00,
65.00,-57.50,
74.00,-57.50,
82.00,-69.00,
90.00,-69.00,
97.00,-73.00,
107.00,-73.00,
114.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,22
-180.00,-76.00,
-70.00,-76.00,
-60.00,-68.00,
-48.00,-68.00,
-45.00,-66.00,
-15.00,-66.00,
-10.75,-66.00,
-8.00,-55.50,
-3.00,-55.50,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
3.50,-58.50,
15.00,-58.50,
21.00,-63.50,
35.00,-63.50,
46.00,-67.00,
55.00,-67.00,
60.00,-72.00,
66.00,-72.00,
75.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-76.00,
-90.00,-76.00,
-87.00,-73.50,
-75.00,-73.50,
-68.00,-61.00,
-58.00,-61.00,
-50.00,-55.50,
-38.00,-55.50,
-33.00,-50.40,
-22.00,-50.40,
-20.00,-48.00,
-15.00,-48.00,
-14.00,-48.00,
-12.00,-42.00,
-10.50,-42.00,
-10.00,-37.00,
-8.50,-37.00,
-8.00,-34.50,
-5.00,-34.50,
-4.00,-32.00,
-2.00,-32.00,
-1.98,-28.76,
-1.76,-25.23,
-1.54,-17.42,
-1.32,-12.41,
-1.10,-7.48,
-0.88,-5.52,
-0.66,-2.57,
-0.44,-1.29,
-0.22,-0.01,
0.00,0.00,
0.22,-0.01,
0.44,-1.30,
0.66,-2.70,
0.88,-5.50,
1.10,-7.68,
1.32,-12.62,
1.54,-18.10,
1.76,-23.36,
1.95,-28.00,
3.50,-28.00,
4.00,-30.00,
6.50,-30.00,
7.75,-36.40,
9.00,-36.40,
10.00,-38.00,
12.00,-38.00,
14.00,-42.00,
15.00,-42.00,
21.00,-42.00,
25.00,-46.50,
35.00,-46.50,
39.00,-53.40,
59.00,-53.40,
63.00,-62.50,
68.00,-62.50,
75.00,-65.00,
78.00,-70.00,
83.00,-70.00,
86.00,-76.00,
180.00,-76.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,27
-180.00,-76.00,
-80.00,-76.00,
-77.00,-73.00,
-70.00,-73.00,
-65.00,-67.00,
-55.00,-67.00,
-45.00,-65.00,
-15.00,-65.00,
-10.50,-65.00,
-9.50,-59.00,
-6.50,-59.00,
-5.00,-51.50,
-2.00,-51.50,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
3.50,-56.00,
5.50,-56.00,
6.50,-60.00,
15.00,-60.00,
20.00,-60.00,
23.00,-63.00,
38.00,-63.00,
40.00,-65.50,
72.00,-65.50,
80.00,-76.00,
180.00,-76.00,
ENDFIL:,EOF
