REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX10-459
PATNUM:,4104B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19850115
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,42.8
MDGAIN:,43.1
HGGAIN:,43.5
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-80.00,
-86.00,-80.00,
-80.00,-74.00,
-75.00,-68.80,
-66.20,-65.00,
-52.00,-65.00,
-50.00,-63.00,
-37.50,-63.00,
-35.50,-60.50,
-29.00,-60.50,
-17.50,-49.00,
-15.00,-49.00,
-14.30,-49.00,
-13.60,-45.00,
-12.00,-45.00,
-11.70,-43.00,
-9.90,-43.00,
-9.50,-41.00,
-8.20,-37.50,
-7.40,-37.50,
-6.70,-36.70,
-5.10,-26.00,
-4.00,-26.00,
-3.00,-21.50,
-1.90,-12.50,
-1.00,-12.50,
-0.52,-2.66,
-0.12,-0.60,
-0.06,0.00,
0.00,0.00,
0.06,0.00,
0.12,-0.60,
0.52,-2.66,
1.00,-12.50,
1.90,-12.50,
3.00,-21.50,
4.00,-26.00,
5.10,-26.00,
6.70,-36.70,
7.40,-37.50,
8.20,-37.50,
9.50,-41.00,
9.90,-43.00,
11.70,-43.00,
12.00,-45.00,
13.60,-45.00,
14.30,-49.00,
15.00,-49.00,
17.50,-49.00,
29.00,-60.50,
35.50,-60.50,
37.50,-63.00,
50.00,-63.00,
52.00,-65.00,
66.20,-65.00,
75.00,-68.80,
80.00,-74.00,
86.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,49
-180.00,-80.00,
-84.00,-80.00,
-77.00,-75.00,
-75.00,-73.00,
-67.00,-73.00,
-62.00,-72.00,
-40.00,-72.00,
-34.00,-68.20,
-30.00,-68.20,
-28.00,-66.20,
-23.20,-65.80,
-17.10,-64.10,
-15.00,-64.10,
-12.10,-64.10,
-11.80,-62.00,
-10.50,-62.00,
-9.00,-60.00,
-7.20,-54.00,
-6.50,-54.00,
-5.20,-49.80,
-4.70,-46.70,
-2.80,-46.75,
-2.00,-42.00,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.00,-42.00,
2.80,-46.75,
4.70,-46.70,
5.20,-49.80,
6.50,-54.00,
7.20,-54.00,
9.00,-60.00,
10.50,-62.00,
11.80,-62.00,
12.10,-64.10,
15.00,-64.10,
17.10,-64.10,
23.20,-65.80,
28.00,-66.20,
30.00,-68.20,
34.00,-68.20,
40.00,-72.00,
62.00,-72.00,
67.00,-73.00,
75.00,-73.00,
77.00,-75.00,
84.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,63
-180.00,-80.00,
-91.00,-80.00,
-86.00,-75.00,
-80.00,-71.00,
-75.20,-67.90,
-70.50,-66.40,
-65.30,-66.40,
-60.40,-64.60,
-57.40,-60.50,
-53.80,-58.70,
-49.50,-56.00,
-34.00,-56.00,
-25.80,-50.80,
-22.90,-49.60,
-17.00,-48.00,
-15.00,-46.00,
-13.10,-46.00,
-11.50,-37.75,
-9.10,-37.75,
-9.00,-35.25,
-7.00,-35.25,
-4.60,-23.00,
-3.70,-23.00,
-3.20,-19.50,
-2.60,-19.50,
-2.20,-13.50,
-1.85,-10.60,
-1.20,-10.60,
-0.50,-2.64,
-0.12,-0.60,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.12,-0.60,
0.50,-2.64,
1.20,-10.60,
1.85,-10.60,
2.20,-13.50,
2.60,-19.50,
3.20,-19.50,
3.70,-23.00,
4.60,-23.00,
7.00,-35.25,
9.00,-35.25,
9.10,-37.75,
11.50,-37.75,
13.10,-46.00,
15.00,-46.00,
17.00,-48.00,
22.90,-49.60,
25.80,-50.80,
34.00,-56.00,
49.50,-56.00,
53.80,-58.70,
57.40,-60.50,
60.40,-64.60,
65.30,-66.40,
70.50,-66.40,
75.20,-67.90,
80.00,-71.00,
86.00,-75.00,
91.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,41
-180.00,-80.00,
-83.00,-80.00,
-76.80,-77.60,
-65.50,-72.60,
-56.00,-69.30,
-30.00,-69.30,
-24.00,-64.50,
-19.10,-63.30,
-15.00,-63.30,
-13.10,-63.30,
-12.70,-61.40,
-10.60,-61.40,
-9.80,-59.20,
-8.50,-58.00,
-7.70,-53.50,
-5.90,-53.50,
-5.10,-51.90,
-4.70,-46.80,
-2.10,-38.40,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
2.10,-38.40,
4.70,-46.80,
5.10,-51.90,
5.90,-53.50,
7.70,-53.50,
8.50,-58.00,
9.80,-59.20,
10.60,-61.40,
12.70,-61.40,
13.10,-63.30,
15.00,-63.30,
19.10,-63.30,
24.00,-64.50,
30.00,-69.30,
56.00,-69.30,
65.50,-72.60,
76.80,-77.60,
83.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
