REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP12-611
PATNUM:,3046F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19760331
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,44.7
HGGAIN:,45.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,72.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,31
-180.0,-72.0,
-140.0,-72.0,
-100.0,-70.0,
-70.0,-51.0,
-45.0,-48.0,
-40.0,-43.0,
-25.0,-42.0,
-15.0,-36.0,
-9.5,-36.0,
-8.0,-32.0,
-6.0,-31.0,
-2.0,-22.0,
-1.5,-20.0,
-1.0,-06.0,
-0.5,-01.3,
0.0,0.0,
0.5,-01.3,
1.0,-06.0,
1.5,-20.0,
2.0,-22.0,
6.0,-31.0,
8.0,-32.0,
9.5,-36.0,
15.0,-36.0,
25.0,-42.0,
40.0,-43.0,
45.0,-48.0,
70.0,-51.0,
100.0,-70.0,
140.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.0,-73.0,
-100.0,-73.0,
-70.0,-61.0,
-40.0,-53.0,
-15.0,-51.0,
-9.5,-51.0,
-5.0,-41.0,
-2.0,-41.0,
-1.5,-28.0,
0.0,-28.0,
1.5,-28.0,
2.0,-41.0,
5.0,-41.0,
9.5,-51.0,
15.0,-51.0,
40.0,-53.0,
70.0,-61.0,
100.0,-73.0,
180.0,-73.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,35
-180.0,-72.0,
-100.0,-72.0,
-85.0,-60.0,
-70.0,-53.0,
-45.0,-46.0,
-25.0,-45.0,
-15.0,-33.0,
-11.5,-33.0,
-11.0,-30.0,
-7.5,-29.0,
-5.0,-25.0,
-4.5,-24.0,
-3.0,-24.0,
-2.5,-20.0,
-1.5,-20.0,
-1.0,-05.0,
-0.5,-01.3,
0.0,0.0,
0.5,-01.3,
1.0,-05.0,
1.5,-20.0,
2.5,-20.0,
3.0,-24.0,
4.5,-24.0,
5.0,-25.0,
7.5,-29.0,
11.0,-30.0,
11.5,-33.0,
15.0,-33.0,
25.0,-45.0,
45.0,-46.0,
70.0,-53.0,
85.0,-60.0,
100.0,-72.0,
180.0,-72.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.0,-73.0,
-100.0,-73.0,
-63.0,-59.0,
-15.0,-54.0,
-11.0,-54.0,
-10.5,-51.0,
-7.5,-51.0,
-7.0,-45.0,
-5.0,-41.0,
-2.0,-41.0,
-1.5,-28.0,
0.0,-28.0,
1.5,-28.0,
2.0,-41.0,
5.0,-41.0,
7.0,-45.0,
7.5,-51.0,
10.5,-51.0,
11.0,-54.0,
15.0,-54.0,
63.0,-59.0,
100.0,-73.0,
180.0,-73.0,
ENDFIL:,EOF
