REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HSX12-59
PATNUM:,2444A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960603
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,44.4
MDGAIN:,44.7
HGGAIN:,45.0
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,59
-180.00,-78.00,
-100.00,-78.00,
-78.00,-64.00,
-74.00,-64.00,
-65.00,-56.00,
-50.00,-56.00,
-40.00,-52.00,
-33.00,-52.00,
-15.00,-43.50,
-13.50,-42.50,
-11.50,-42.50,
-11.00,-41.00,
-9.00,-41.00,
-8.50,-36.50,
-7.00,-36.50,
-6.50,-34.00,
-3.00,-34.00,
-2.50,-29.00,
-1.50,-29.00,
-1.45,-27.96,
-1.28,-21.78,
-1.10,-16.09,
-0.92,-11.25,
-0.73,-7.09,
-0.55,-4.02,
-0.37,-1.82,
-0.18,-0.43,
0.00,0.00,
0.18,-0.43,
0.37,-1.82,
0.55,-4.02,
0.73,-7.09,
0.92,-11.25,
1.10,-16.09,
1.28,-21.78,
1.45,-27.96,
1.50,-30.00,
3.50,-30.00,
4.00,-35.00,
5.00,-35.00,
5.50,-37.00,
6.50,-37.00,
7.00,-40.00,
8.00,-40.00,
9.00,-46.50,
10.00,-46.50,
10.50,-49.00,
13.00,-49.00,
14.00,-50.00,
15.00,-52.00,
20.00,-52.00,
25.00,-55.50,
45.00,-55.50,
47.00,-60.50,
65.00,-60.50,
77.00,-62.50,
85.00,-73.00,
95.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,30
-180.00,-79.00,
-78.00,-79.00,
-75.00,-76.50,
-64.00,-76.50,
-60.00,-72.00,
-50.00,-72.00,
-45.00,-70.00,
-27.00,-70.00,
-15.00,-56.50,
-13.00,-56.50,
-12.50,-54.00,
-2.00,-54.00,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
3.00,-62.00,
5.00,-62.00,
5.50,-65.00,
7.00,-65.00,
7.50,-67.00,
10.00,-67.00,
11.00,-68.00,
15.00,-68.00,
23.00,-68.00,
27.00,-70.50,
53.00,-70.50,
63.00,-76.00,
74.00,-76.00,
77.00,-79.00,
180.00,-79.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,57
-180.00,-78.00,
-87.00,-78.00,
-82.00,-70.00,
-77.00,-70.00,
-70.00,-61.50,
-65.00,-61.50,
-60.00,-59.00,
-50.00,-59.00,
-40.00,-52.00,
-33.00,-52.00,
-30.00,-47.00,
-22.00,-47.00,
-17.00,-44.00,
-15.00,-44.00,
-10.00,-44.00,
-9.50,-40.00,
-8.50,-40.00,
-7.00,-36.50,
-6.00,-36.50,
-5.00,-33.00,
-2.60,-33.00,
-2.20,-29.50,
-1.45,-29.50,
-1.28,-21.78,
-1.10,-16.09,
-0.92,-11.25,
-0.73,-7.09,
-0.55,-4.02,
-0.37,-1.82,
-0.18,-0.43,
0.00,0.00,
0.18,-0.43,
0.37,-1.82,
0.55,-4.02,
0.73,-7.09,
0.92,-11.25,
1.10,-16.09,
1.28,-21.78,
1.45,-28.66,
1.60,-32.50,
3.00,-32.50,
3.50,-34.00,
5.00,-34.00,
6.00,-36.00,
8.00,-39.00,
9.35,-46.50,
13.50,-46.50,
15.00,-50.50,
20.00,-50.50,
25.00,-52.70,
30.00,-52.70,
32.00,-54.90,
45.00,-54.90,
57.00,-61.75,
75.00,-61.75,
95.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,26
-180.00,-79.00,
-80.00,-79.00,
-70.00,-76.00,
-65.00,-76.00,
-50.00,-67.50,
-38.00,-67.50,
-34.00,-65.00,
-22.00,-65.00,
-17.00,-55.00,
-15.00,-55.00,
-2.00,-55.00,
-1.00,-40.00,
0.00,-40.00,
1.00,-40.00,
2.50,-61.00,
8.50,-61.00,
10.00,-68.00,
12.50,-68.00,
13.00,-70.00,
37.00,-70.00,
43.00,-74.00,
60.00,-74.00,
63.00,-76.00,
80.00,-76.00,
85.00,-79.00,
180.00,-79.00,
ENDFIL:,EOF
