REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HPX12-59
PATNUM:,2682F
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19720206
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,44.4
MDGAIN:,44.8
HGGAIN:,45.2
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,71.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,35
-180.00,-71.00,
-100.00,-71.00,
-70.00,-51.00,
-40.00,-44.00,
-23.50,-44.00,
-15.00,-35.00,
-14.50,-33.00,
-11.50,-33.00,
-9.50,-29.00,
-8.00,-29.00,
-6.60,-25.00,
-4.00,-25.00,
-3.00,-21.00,
-1.80,-21.00,
-1.50,-17.00,
-1.00,-10.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-10.00,
1.50,-17.00,
1.80,-21.00,
3.00,-21.00,
4.00,-25.00,
6.60,-25.00,
8.00,-29.00,
9.50,-29.00,
11.50,-33.00,
14.50,-33.00,
15.00,-35.00,
23.50,-44.00,
40.00,-44.00,
70.00,-51.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,25
-180.00,-73.00,
-100.00,-73.00,
-70.00,-62.00,
-42.50,-60.00,
-25.00,-60.00,
-15.00,-56.00,
-10.40,-52.00,
-9.00,-52.00,
-7.00,-47.00,
-4.00,-45.00,
-2.30,-45.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.30,-45.00,
4.00,-45.00,
7.00,-47.00,
9.00,-52.00,
10.40,-52.00,
15.00,-56.00,
25.00,-60.00,
42.50,-60.00,
70.00,-62.00,
100.00,-73.00,
180.00,-73.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,31
-180.00,-71.00,
-100.00,-71.00,
-65.00,-53.00,
-45.00,-48.00,
-25.00,-46.00,
-15.00,-40.80,
-12.50,-34.00,
-9.00,-34.00,
-7.50,-30.00,
-4.00,-25.00,
-3.00,-21.00,
-1.80,-21.00,
-1.50,-17.00,
-1.00,-10.00,
-0.50,-1.00,
0.00,0.00,
0.50,-1.00,
1.00,-10.00,
1.50,-17.00,
1.80,-21.00,
3.00,-21.00,
4.00,-25.00,
7.50,-30.00,
9.00,-34.00,
12.50,-34.00,
15.00,-40.80,
25.00,-46.00,
45.00,-48.00,
65.00,-53.00,
100.00,-71.00,
180.00,-71.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-73.00,
-100.00,-73.00,
-85.00,-64.00,
-70.00,-62.00,
-42.50,-60.00,
-40.00,-60.00,
-28.00,-56.80,
-17.50,-56.80,
-15.00,-56.00,
-12.50,-52.00,
-9.50,-52.00,
-8.50,-45.80,
-5.50,-45.80,
-4.00,-45.00,
-2.30,-45.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
2.30,-45.00,
4.00,-45.00,
5.50,-45.80,
8.50,-45.80,
9.50,-52.00,
12.50,-52.00,
15.00,-56.00,
17.50,-56.80,
28.00,-56.80,
40.00,-60.00,
42.50,-60.00,
70.00,-62.00,
85.00,-64.00,
100.00,-73.00,
180.00,-73.00,
ENDFIL:,EOF
