REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UMX12-459
PATNUM:,4107A
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19821115
LOWFRQ:,5925
HGHFRQ:,6425
GUNITS:,DBI/DBR
LWGAIN:,44.9
MDGAIN:,45.3
HGGAIN:,45.7
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,37
-180.00,-80.00,
-90.00,-80.00,
-72.50,-65.00,
-62.50,-63.00,
-45.00,-63.00,
-26.50,-56.00,
-23.00,-56.00,
-15.00,-45.00,
-12.50,-45.00,
-5.12,-30.00,
-4.50,-30.00,
-4.00,-27.50,
-3.50,-27.50,
-1.80,-11.25,
-1.23,-11.25,
-0.75,-5.00,
-0.50,-2.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.50,-2.00,
0.75,-5.00,
1.23,-11.25,
1.80,-11.25,
3.50,-27.50,
4.00,-27.50,
4.50,-30.00,
5.12,-30.00,
12.50,-45.00,
15.00,-45.00,
23.00,-56.00,
26.50,-56.00,
45.00,-63.00,
62.50,-63.00,
72.50,-65.00,
90.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,35
-180.00,-80.00,
-80.00,-80.00,
-70.00,-71.28,
-61.20,-71.28,
-55.00,-68.00,
-32.50,-68.00,
-15.86,-62.76,
-15.00,-62.76,
-12.75,-62.76,
-12.00,-60.00,
-8.50,-60.00,
-6.25,-48.00,
-5.50,-48.00,
-5.00,-44.50,
-3.12,-43.83,
-2.75,-41.00,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.75,-41.00,
3.12,-43.83,
5.00,-44.50,
5.50,-48.00,
6.25,-48.00,
8.50,-60.00,
12.00,-60.00,
12.75,-62.76,
15.00,-62.76,
15.86,-62.76,
32.50,-68.00,
55.00,-68.00,
61.20,-71.28,
70.00,-71.28,
80.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-80.00,
-90.00,-80.00,
-62.50,-58.00,
-47.00,-58.00,
-32.50,-56.00,
-27.00,-52.00,
-20.00,-50.00,
-17.00,-45.00,
-15.00,-43.93,
-12.35,-42.51,
-11.00,-38.00,
-9.46,-38.00,
-8.00,-33.00,
-7.00,-33.00,
-5.75,-26.22,
-4.00,-26.22,
-2.60,-20.00,
-1.80,-10.50,
-1.25,-10.50,
-0.75,-5.00,
-0.51,-2.00,
-0.10,0.00,
0.00,0.00,
0.10,0.00,
0.51,-2.00,
0.75,-5.00,
1.25,-10.50,
1.80,-10.50,
2.60,-20.00,
4.00,-26.22,
5.75,-26.22,
7.00,-33.00,
8.00,-33.00,
9.46,-38.00,
11.00,-38.00,
12.35,-42.51,
15.00,-43.93,
17.00,-45.00,
20.00,-50.00,
27.00,-52.00,
32.50,-56.00,
47.00,-58.00,
62.50,-58.00,
90.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,33
-180.00,-80.00,
-75.00,-80.00,
-67.50,-71.77,
-54.44,-69.03,
-32.18,-69.03,
-20.00,-63.00,
-15.00,-63.00,
-12.62,-63.00,
-10.75,-59.00,
-9.50,-59.00,
-8.25,-53.50,
-7.25,-53.50,
-5.00,-46.52,
-3.60,-46.52,
-2.80,-42.82,
-2.00,-30.00,
0.00,-30.00,
2.00,-30.00,
2.80,-42.82,
3.60,-46.52,
5.00,-46.52,
7.25,-53.50,
8.25,-53.50,
9.50,-59.00,
10.75,-59.00,
12.62,-63.00,
15.00,-63.00,
20.00,-63.00,
32.18,-69.03,
54.44,-69.03,
67.50,-71.77,
75.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
