REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX6-59W
PATNUM:,1022A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970927
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,37.5
MDGAIN:,38.8
HGGAIN:,39.5
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.08
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-67.00,
-76.44,-67.00,
-70.86,-61.74,
-65.36,-58.90,
-60.55,-54.78,
-52.73,-48.92,
-40.52,-47.02,
-26.41,-43.70,
-22.59,-36.10,
-15.00,-36.00,
-13.47,-35.61,
-8.46,-26.55,
-5.00,-26.00,
-4.39,-25.35,
-3.44,-20.90,
-2.50,-20.25,
-1.75,-7.99,
-1.30,-3.86,
-0.67,-0.32,
0.00,0.00,
0.57,-0.61,
1.30,-3.78,
1.75,-7.98,
2.60,-20.55,
3.61,-21.19,
4.26,-25.49,
5.00,-26.00,
6.60,-26.13,
7.84,-28.93,
11.66,-38.55,
15.00,-40.00,
19.24,-41.92,
27.31,-45.15,
30.30,-48.69,
40.01,-49.08,
47.75,-51.84,
57.94,-54.39,
64.07,-59.01,
76.01,-63.82,
82.75,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-67.00,
-66.05,-67.00,
-60.34,-61.09,
-32.98,-58.65,
-24.95,-58.65,
-22.57,-53.40,
-15.00,-53.40,
-11.60,-53.40,
-9.74,-47.45,
-4.86,-47.62,
-3.00,-36.00,
0.00,-36.00,
3.00,-36.00,
4.17,-49.79,
5.90,-49.67,
6.87,-50.62,
11.36,-57.45,
15.00,-57.45,
26.91,-57.45,
38.38,-61.37,
58.76,-61.56,
68.20,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-67.00,
-89.26,-67.00,
-64.42,-49.13,
-56.79,-48.15,
-40.94,-46.03,
-32.41,-45.10,
-24.38,-38.70,
-15.00,-38.52,
-12.63,-38.67,
-8.25,-26.93,
-5.00,-26.00,
-4.39,-25.35,
-4.01,-22.79,
-2.49,-21.96,
-1.75,-7.99,
-1.30,-3.86,
-0.67,-0.32,
0.00,0.00,
0.57,-0.61,
1.30,-3.78,
1.75,-7.98,
2.57,-22.08,
3.84,-22.85,
4.26,-25.49,
5.00,-26.00,
6.67,-26.27,
10.16,-31.39,
12.85,-36.65,
15.00,-39.17,
25.38,-39.71,
30.32,-42.62,
39.67,-42.62,
41.61,-45.41,
51.14,-45.41,
58.38,-50.98,
65.61,-57.09,
71.66,-62.93,
75.97,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-67.00,
-70.58,-67.00,
-69.61,-62.38,
-32.98,-58.65,
-25.08,-56.74,
-20.34,-55.54,
-15.00,-55.24,
-12.35,-55.24,
-11.41,-48.92,
-5.20,-48.86,
-3.00,-36.00,
0.00,-36.00,
3.00,-36.00,
5.96,-46.76,
8.78,-46.96,
11.40,-53.92,
12.63,-57.19,
15.00,-57.45,
37.43,-58.54,
39.96,-63.72,
65.70,-64.29,
68.20,-67.00,
180.00,-67.00,
ENDFIL:,EOF
