REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX6-59W
PATNUM:,3303A
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970927
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,37.5
MDGAIN:,38.8
HGGAIN:,39.5
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.08
FRTOBA:,67.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,41
-180.00,-67.00,
-82.75,-67.00,
-76.01,-63.82,
-64.07,-59.01,
-57.94,-54.39,
-47.75,-51.84,
-40.01,-49.08,
-30.30,-48.69,
-27.31,-45.15,
-19.24,-41.92,
-15.00,-40.00,
-11.66,-38.55,
-7.84,-28.93,
-6.60,-26.13,
-5.00,-26.00,
-4.26,-25.49,
-3.61,-21.19,
-2.60,-20.55,
-1.75,-7.98,
-1.30,-3.78,
-0.57,-0.61,
0.00,0.00,
0.67,-0.32,
1.30,-3.86,
1.75,-7.99,
2.50,-20.25,
3.44,-20.90,
4.39,-25.35,
5.00,-26.00,
8.46,-26.55,
13.47,-35.60,
15.00,-36.00,
22.59,-36.10,
26.41,-43.70,
40.52,-47.00,
52.73,-48.90,
60.55,-54.70,
65.36,-58.90,
70.86,-61.70,
76.44,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,23
-180.00,-67.00,
-68.20,-67.00,
-58.76,-61.56,
-38.38,-61.37,
-26.91,-57.45,
-15.00,-57.45,
-11.36,-57.45,
-6.87,-50.62,
-5.90,-49.67,
-4.17,-49.79,
-3.00,-36.00,
0.00,-36.00,
3.00,-36.00,
4.86,-47.62,
9.74,-47.45,
11.60,-53.40,
15.00,-53.40,
22.57,-53.40,
24.95,-58.60,
32.98,-58.60,
60.34,-61.00,
66.05,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,39
-180.00,-67.00,
-75.97,-67.00,
-71.66,-62.93,
-65.61,-57.09,
-58.38,-50.98,
-51.14,-45.41,
-41.61,-45.41,
-39.67,-42.62,
-30.32,-42.62,
-25.38,-39.71,
-15.00,-39.17,
-12.85,-36.65,
-10.16,-31.39,
-6.67,-26.27,
-5.00,-26.00,
-4.26,-25.49,
-3.84,-22.85,
-2.57,-22.08,
-1.75,-7.98,
-1.30,-3.78,
-0.57,-0.61,
0.00,0.00,
0.67,-0.32,
1.30,-3.86,
1.75,-7.99,
2.49,-21.96,
4.01,-22.79,
4.39,-25.35,
5.00,-26.00,
8.25,-26.93,
12.63,-38.60,
15.00,-38.50,
24.38,-38.70,
32.41,-45.10,
40.94,-46.00,
56.79,-48.10,
64.42,-49.10,
89.26,-67.00,
180.00,-67.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,23
-180.00,-67.00,
-68.20,-67.00,
-65.70,-64.29,
-39.96,-63.72,
-37.43,-58.54,
-15.00,-57.45,
-12.63,-57.19,
-11.40,-53.92,
-8.78,-46.96,
-5.96,-46.76,
-3.00,-36.00,
0.00,-36.00,
3.00,-36.00,
5.20,-48.86,
11.41,-48.90,
12.35,-55.20,
15.00,-55.20,
20.34,-55.50,
25.08,-56.70,
32.98,-58.60,
69.61,-62.30,
70.58,-67.00,
180.00,-67.00,
ENDFIL:,EOF
