REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP6-59W
PATNUM:,3492A
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19960522
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,38.4
MDGAIN:,39.3
HGGAIN:,39.9
AZWIDT:,1.80
ELWIDT:,1.80
ATVSWR:,1.06
FRTOBA:,75.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,83
-180.0,-75.0,
-130.0,-75.0,
-120.0,-72.6,
-110.0,-71.2,
-100.0,-69.3,
-90.0,-67.0,
-80.0,-63.0,
-75.0,-60.8,
-70.0,-57.0,
-65.0,-52.0,
-60.0,-51.0,
-55.0,-50.4,
-50.0,-49.8,
-45.0,-48.0,
-40.0,-46.2,
-35.0,-45.7,
-30.0,-45.1,
-25.0,-41.5,
-20.0,-39.0,
-15.0,-37.1,
-14.0,-34.9,
-13.0,-34.5,
-12.0,-34.0,
-11.0,-33.0,
-10.0,-32.1,
-9.0,-31.1,
-8.0,-29.9,
-7.0,-27.1,
-6.2,-25.0,
-4.3,-25.0,
-3.9,-19.8,
-3.5,-16.8,
-3.2,-15.2,
-2.8,-15.1,
-2.5,-14.9,
-2.1,-14.3,
-1.8,-10.9,
-1.4,-6.2,
-1.1,-2.8,
-0.7,-1.8,
-0.3,-0.3,
0.0,0.0,
0.3,0.0,
0.7,-1.2,
1.1,-1.7,
1.4,-5.0,
1.8,-8.4,
2.1,-13.0,
2.5,-14.4,
2.8,-14.8,
3.2,-15.1,
3.5,-15.5,
3.9,-18.7,
4.2,-21.8,
4.5,-25.0,
6.4,-25.0,
7.0,-26.9,
8.0,-29.9,
9.0,-31.4,
10.0,-32.4,
11.0,-33.3,
12.0,-34.7,
