REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PARX8-59W
PATNUM:,4372
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19980506
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,40.4
MDGAIN:,40.7
HGGAIN:,40.9
AZWIDT:,1.60
ELWIDT:,1.60
ATVSWR:,1.10
FRTOBA:,60.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,57
-180.00,-60.00,
-114.00,-60.00,
-100.00,-56.00,
-90.00,-47.00,
-76.00,-44.00,
-40.00,-44.00,
-40.00,-43.00,
-27.00,-43.00,
-24.00,-37.00,
-16.00,-37.00,
-15.00,-36.00,
-12.00,-33.00,
-8.00,-33.00,
-5.00,-26.00,
-3.50,-24.00,
-2.32,-22.00,
-2.21,-20.00,
-2.07,-20.00,
-1.92,-16.00,
-1.78,-14.00,
-1.66,-12.00,
-1.52,-10.00,
-1.36,-8.00,
-1.19,-6.00,
-0.99,-3.00,
-0.71,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.71,-2.00,
0.99,-3.00,
1.19,-6.00,
1.36,-8.00,
1.52,-10.00,
1.66,-12.00,
1.78,-14.00,
1.92,-16.00,
2.07,-20.00,
2.21,-20.00,
2.32,-22.00,
3.50,-24.00,
5.00,-26.00,
8.00,-33.00,
12.00,-33.00,
15.00,-36.00,
16.00,-37.00,
24.00,-37.00,
27.00,-43.00,
40.00,-43.00,
40.00,-44.00,
76.00,-44.00,
90.00,-47.00,
100.00,-56.00,
114.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,13
-180.00,-60.00,
-20.00,-60.00,
-15.00,-54.00,
-12.00,-51.00,
-7.00,-51.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
7.00,-51.00,
12.00,-51.00,
15.00,-54.00,
20.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-60.00,
-104.00,-60.00,
-100.00,-57.00,
-84.00,-48.00,
-68.00,-44.00,
-31.00,-44.00,
-28.00,-39.00,
-20.00,-36.00,
-20.00,-34.00,
-15.00,-33.00,
-8.00,-33.00,
-5.00,-26.00,
-3.50,-24.00,
-2.36,-22.00,
-2.33,-20.00,
-2.17,-16.00,
-2.00,-16.00,
-1.85,-14.00,
-1.71,-12.00,
-1.57,-10.00,
-1.41,-8.00,
-1.23,-6.00,
-1.00,-4.00,
-0.71,-2.00,
-0.51,-1.00,
-0.32,-0.28,
0.00,0.00,
0.32,-0.28,
0.51,-1.00,
0.71,-2.00,
1.00,-4.00,
1.23,-6.00,
1.41,-8.00,
1.57,-10.00,
1.71,-12.00,
1.85,-14.00,
2.00,-16.00,
2.17,-16.00,
2.33,-20.00,
2.36,-22.00,
3.50,-24.00,
5.00,-26.00,
8.00,-33.00,
15.00,-33.00,
20.00,-34.00,
20.00,-36.00,
28.00,-39.00,
31.00,-44.00,
68.00,-44.00,
84.00,-48.00,
100.00,-57.00,
104.00,-60.00,
180.00,-60.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,15
-180.00,-60.00,
-26.00,-60.00,
-15.00,-53.00,
-8.00,-53.00,
-8.00,-51.00,
-4.00,-51.00,
-1.50,-30.00,
0.00,-30.00,
1.50,-30.00,
4.00,-51.00,
8.00,-51.00,
8.00,-53.00,
15.00,-53.00,
26.00,-60.00,
180.00,-60.00,
ENDFIL:,EOF
