REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-59W
PATNUM:,1115
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911224
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,41.0
MDGAIN:,41.7
HGGAIN:,42.3
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.08
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,62
-180.00,-68.00,
-170.00,-68.00,
-160.00,-70.00,
-90.00,-70.00,
-80.00,-58.00,
-65.00,-58.00,
-60.00,-52.00,
-50.00,-52.00,
-40.00,-50.00,
-35.00,-47.00,
-30.00,-47.00,
-25.00,-46.00,
-20.00,-43.00,
-15.00,-43.00,
-14.00,-40.00,
-10.00,-40.00,
-6.00,-26.00,
-4.00,-26.00,
-3.00,-21.00,
-2.00,-21.00,
-1.50,-13.00,
-1.00,-5.00,
-0.70,-3.00,
-0.60,-2.50,
-0.50,-1.90,
-0.40,-1.40,
-0.30,-0.70,
-0.20,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-0.70,
0.40,-1.40,
0.50,-1.90,
0.60,-2.50,
0.70,-3.00,
1.00,-5.00,
1.50,-13.00,
2.00,-21.00,
2.50,-21.00,
3.00,-25.00,
5.00,-26.00,
6.00,-26.00,
8.00,-30.00,
12.00,-38.00,
15.00,-38.00,
20.00,-39.00,
25.00,-39.00,
30.00,-45.00,
40.00,-45.00,
55.00,-48.00,
60.00,-48.00,
65.00,-52.00,
70.00,-58.00,
80.00,-58.00,
85.00,-65.00,
110.00,-65.00,
115.00,-70.00,
160.00,-70.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.00,-70.00,
-170.00,-70.00,
-160.00,-73.00,
-80.00,-73.00,
-70.00,-71.00,
-65.00,-67.00,
-55.00,-66.00,
-50.00,-64.00,
-35.00,-64.00,
-30.00,-60.00,
-15.00,-60.00,
-10.00,-58.00,
-8.00,-51.00,
-4.00,-50.00,
-2.00,-36.00,
0.00,-36.00,
2.00,-36.00,
4.00,-52.00,
6.00,-55.00,
8.00,-56.00,
10.00,-56.00,
12.00,-58.00,
15.00,-59.00,
20.00,-60.00,
30.00,-61.00,
35.00,-62.00,
50.00,-62.00,
55.00,-68.00,
65.00,-68.00,
80.00,-73.00,
160.00,-73.00,
170.00,-70.00,
180.00,-70.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.00,-68.00,
-170.00,-68.00,
-160.00,-69.00,
-85.00,-69.00,
-80.00,-61.00,
-70.00,-61.00,
-60.00,-55.00,
-55.00,-55.00,
-50.00,-50.00,
-45.00,-48.00,
-35.00,-48.00,
-30.00,-45.00,
-25.00,-45.00,
-15.00,-43.00,
-12.00,-36.00,
-10.00,-36.00,
-3.50,-30.00,
-3.00,-28.00,
-2.50,-22.00,
-2.00,-22.00,
-1.50,-13.00,
-1.00,-5.00,
-0.70,-3.00,
-0.60,-2.50,
-0.50,-1.90,
-0.40,-1.40,
-0.30,-0.70,
-0.20,-0.50,
-0.10,-0.10,
0.00,0.00,
0.10,-0.10,
0.20,-0.50,
0.30,-0.70,
0.40,-1.40,
0.50,-1.90,
0.60,-2.50,
0.70,-3.00,
1.00,-5.00,
1.50,-13.00,
2.00,-20.00,
2.50,-20.00,
3.00,-25.00,
4.00,-25.00,
5.00,-26.00,
6.50,-26.00,
8.00,-30.00,
10.00,-37.00,
12.00,-39.00,
15.00,-39.00,
20.00,-39.00,
25.00,-39.00,
30.00,-46.00,
40.00,-48.00,
50.00,-50.00,
55.00,-50.00,
65.00,-57.00,
80.00,-57.00,
90.00,-69.00,
160.00,-69.00,
170.00,-68.00,
180.00,-68.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.00,-70.00,
-80.00,-70.00,
-75.00,-66.00,
-65.00,-61.00,
-15.00,-61.00,
-10.00,-61.00,
-8.00,-50.00,
-4.00,-50.00,
-2.00,-36.00,
0.00,-36.00,
2.00,-36.00,
4.00,-52.00,
6.00,-53.00,
10.00,-54.00,
15.00,-55.00,
20.00,-56.00,
60.00,-60.00,
75.00,-68.00,
80.00,-68.00,
85.00,-70.00,
180.00,-70.00,
ENDFIL:,EOF
