REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHX8-59W
PATNUM:,1116
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19911224
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,41.0
MDGAIN:,41.7
HGGAIN:,42.3
AZWIDT:,1.40
ELWIDT:,1.40
ATVSWR:,1.08
FRTOBA:,68.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,62
-180.0,-68.0,
-170.0,-68.0,
-160.0,-70.0,
-115.0,-70.0,
-110.0,-65.0,
-85.0,-65.0,
-80.0,-58.0,
-70.0,-58.0,
-65.0,-52.0,
-60.0,-48.0,
-55.0,-48.0,
-40.0,-45.0,
-30.0,-45.0,
-25.0,-39.0,
-20.0,-39.0,
-15.0,-38.0,
-12.0,-38.0,
-8.0,-30.0,
-6.0,-26.0,
-5.0,-26.0,
-3.0,-25.0,
-2.5,-21.0,
-2.0,-21.0,
-1.5,-13.0,
-1.0,-5.0,
-0.7,-3.0,
-0.6,-2.5,
-0.5,-1.9,
-0.4,-1.4,
-0.3,-0.7,
-0.2,-0.5,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.5,
0.3,-0.7,
0.4,-1.4,
0.5,-1.9,
0.6,-2.5,
0.7,-3.0,
1.0,-5.0,
1.5,-13.0,
2.0,-21.0,
3.0,-21.0,
4.0,-26.0,
6.0,-26.0,
10.0,-40.0,
14.0,-40.0,
15.0,-43.0,
20.0,-43.0,
25.0,-46.0,
30.0,-47.0,
35.0,-47.0,
40.0,-50.0,
50.0,-52.0,
60.0,-52.0,
65.0,-58.0,
80.0,-58.0,
90.0,-70.0,
160.0,-70.0,
170.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,33
-180.0,-70.0,
-170.0,-70.0,
-160.0,-73.0,
-80.0,-73.0,
-65.0,-68.0,
-55.0,-68.0,
-50.0,-62.0,
-35.0,-62.0,
-30.0,-61.0,
-20.0,-60.0,
-15.0,-59.0,
-12.0,-58.0,
-10.0,-56.0,
-8.0,-56.0,
-6.0,-55.0,
-4.0,-52.0,
-2.0,-36.0,
0.0,-36.0,
2.0,-36.0,
4.0,-50.0,
8.0,-51.0,
10.0,-58.0,
15.0,-60.0,
30.0,-60.0,
35.0,-64.0,
50.0,-64.0,
55.0,-66.0,
65.0,-67.0,
70.0,-71.0,
80.0,-73.0,
160.0,-73.0,
170.0,-70.0,
180.0,-70.0,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,61
-180.0,-68.0,
-170.0,-68.0,
-160.0,-69.0,
-90.0,-69.0,
-80.0,-57.0,
-65.0,-57.0,
-55.0,-50.0,
-50.0,-50.0,
-40.0,-48.0,
-30.0,-46.0,
-25.0,-39.0,
-20.0,-39.0,
-15.0,-39.0,
-12.0,-39.0,
-10.0,-37.0,
-8.0,-30.0,
-6.5,-26.0,
-5.0,-26.0,
-4.0,-25.0,
-3.0,-25.0,
-2.5,-20.0,
-2.0,-20.0,
-1.5,-13.0,
-1.0,-5.0,
-0.7,-3.0,
-0.6,-2.5,
-0.5,-1.9,
-0.4,-1.4,
-0.3,-0.7,
-0.2,-0.5,
-0.1,-0.1,
0.0,0.0,
0.1,-0.1,
0.2,-0.5,
0.3,-0.7,
0.4,-1.4,
0.5,-1.9,
0.6,-2.5,
0.7,-3.0,
1.0,-5.0,
1.5,-13.0,
2.0,-22.0,
2.5,-22.0,
3.0,-28.0,
3.5,-30.0,
10.0,-36.0,
12.0,-36.0,
15.0,-43.0,
25.0,-45.0,
30.0,-45.0,
35.0,-48.0,
45.0,-48.0,
50.0,-50.0,
55.0,-55.0,
60.0,-55.0,
70.0,-61.0,
80.0,-61.0,
85.0,-69.0,
160.0,-69.0,
170.0,-68.0,
180.0,-68.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,21
-180.0,-70.0,
-85.0,-70.0,
-80.0,-68.0,
-75.0,-68.0,
-60.0,-60.0,
-20.0,-56.0,
-15.0,-55.0,
-10.0,-54.0,
-6.0,-53.0,
-4.0,-52.0,
-2.0,-36.0,
0.0,-36.0,
2.0,-36.0,
4.0,-50.0,
8.0,-50.0,
10.0,-61.0,
15.0,-61.0,
65.0,-61.0,
75.0,-66.0,
80.0,-70.0,
180.0,-70.0,
ENDFIL:,EOF
