REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP8-59W
PATNUM:,3496
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19970522
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,40.9
MDGAIN:,41.9
HGGAIN:,42.2
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,77
-180.0,-78.0,
-108.0,-78.0,
-100.0,-77.0,
-90.0,-71.7,
-80.0,-70.3,
-75.0,-69.5,
-70.0,-66.2,
-65.0,-61.9,
-60.0,-55.3,
-49.3,-55.3,
-45.0,-55.0,
-40.0,-53.4,
-35.0,-49.8,
-30.0,-48.3,
-25.0,-46.7,
-20.0,-45.8,
-15.0,-45.8,
-14.0,-45.8,
-13.0,-44.7,
-12.0,-42.7,
-11.0,-40.6,
-10.0,-36.6,
-9.0,-35.1,
-8.0,-33.6,
-7.0,-32.8,
-6.0,-32.1,
-5.0,-31.1,
-4.0,-29.8,
-2.8,-29.8,
-2.6,-27.9,
-2.4,-26.4,
-2.1,-24.9,
-1.9,-23.0,
-1.6,-16.2,
-1.3,-9.2,
-1.1,-5.6,
-0.8,-3.2,
-0.5,-1.6,
-0.3,0.0,
0.0,0.0,
0.3,0.0,
0.5,-1.3,
0.8,-2.8,
1.1,-4.9,
1.3,-8.5,
1.6,-14.2,
1.9,-22.9,
2.1,-24.8,
2.4,-25.7,
2.6,-26.7,
2.8,-28.3,
5.0,-28.3,
6.0,-30.3,
7.0,-32.3,
7.5,-32.7,
10.0,-32.7,
11.0,-34.7,
12.0,-36.4,
13.0,-37.3,
14.0,-37.8,
15.0,-38.1,
20.0,-38.7,
25.0,-43.2,
30.0,-47.5,
35.0,-50.1,
40.0,-52.7,
45.0,-54.3,
48.3,-55.0,
60.0,-55.0,
65.0,-61.8,
70.0,-64.8,
75.0,-67.8,
80.0,-69.2,
90.0,-70.6,
100.0,-72.0,
110.0,-78.0,
180.0,-78.0,
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,78
-180.0,-78.0,
-110.0,-78.0,
-100.0,-74.9,
-90.0,-70.6,
-80.0,-65.6,
-75.0,-62.7,
-70.0,-59.7,
-65.0,-54.3,
-60.0,-54.1,
-55.0,-53.9,
-50.0,-53.3,
-45.0,-52.6,
-40.0,-50.8,
-35.0,-48.3,
-30.0,-46.3,
-25.0,-44.3,
-20.0,-41.7,
-15.0,-39.3,
-14.0,-38.0,
-13.0,-36.1,
-8.8,-36.1,
-8.0,-33.7,
-7.0,-30.8,
-6.0,-28.0,
-5.0,-26.0,
-4.0,-22.6,
-2.9,-22.6,
-2.6,-19.4,
-2.4,-17.8,
-2.1,-17.2,
-1.9,-16.7,
-1.6,-15.5,
-1.3,-10.4,
-1.1,-5.9,
-0.8,-3.4,
-0.5,-1.7,
-0.3,0.0,
0.0,0.0,
0.3,0.0,
0.5,-1.5,
0.8,-3.3,
1.1,-5.5,
1.3,-9.7,
1.6,-15.3,
1.9,-16.7,
2.1,-17.3,
2.4,-17.9,
2.6,-19.0,
2.9,-22.6,
3.0,-23.1,
4.0,-23.1,
5.0,-26.0,
6.0,-28.2,
7.0,-30.6,
8.0,-33.1,
9.0,-36.0,
9.0,-36.0,
13.0,-36.0,
14.0,-37.5,
15.0,-38.9,
20.0,-41.2,
25.0,-44.5,
30.0,-46.7,
35.0,-49.0,
40.0,-51.6,
45.0,-52.3,
50.0,-52.9,
55.0,-53.9,
60.0,-54.0,
65.0,-54.1,
70.0,-59.8,
75.0,-63.5,
80.0,-66.8,
90.0,-70.3,
100.0,-73.7,
104.9,-75.2,
120.0,-78.0,
180.0,-78.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,40
-180.0,-80.0,
-80.0,-80.0,
-75.0,-77.4,
-70.0,-75.9,
-65.0,-75.0,
-60.0,-74.0,
-55.0,-73.6,
-50.0,-73.1,
-45.0,-71.7,
-40.0,-69.2,
-35.0,-66.3,
-12.7,-66.3,
-12.0,-64.8,
-9.7,-64.8,
-9.0,-64.0,
-8.0,-63.3,
-7.0,-62.7,
-6.0,-60.7,
-5.0,-58.1,
-4.0,-52.0,
-2.0,-35.0,
0.0,-35.0,
2.0,-35.0,
4.0,-53.9,
13.0,-53.9,
14.0,-54.5,
15.0,-55.1,
20.0,-59.4,
25.0,-63.7,
30.0,-65.8,
35.0,-67.8,
40.0,-69.8,
45.0,-70.3,
50.0,-70.8,
55.0,-72.0,
60.0,-73.7,
65.0,-75.3,
70.0,-77.4,
75.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,47
-180.0,-80.0,
-75.0,-80.0,
-70.0,-76.7,
-65.0,-71.8,
-60.0,-69.7,
-55.0,-67.8,
-50.0,-65.8,
-45.0,-62.8,
-40.0,-61.2,
-35.0,-59.6,
-30.0,-57.2,
-25.0,-54.7,
-20.0,-52.7,
-15.0,-51.7,
-14.0,-50.6,
-13.0,-48.6,
-7.6,-48.6,
-7.0,-48.3,
-6.0,-47.7,
-5.0,-46.9,
-4.0,-45.5,
-2.0,-35.0,
0.0,-35.0,
2.0,-35.0,
4.0,-46.6,
5.0,-47.5,
6.0,-48.3,
7.0,-49.0,
8.0,-49.8,
9.0,-50.4,
9.2,-50.5,
13.0,-50.5,
14.0,-51.6,
15.0,-52.7,
20.0,-53.7,
25.0,-54.8,
30.0,-55.8,
35.0,-59.2,
40.0,-61.7,
45.0,-64.2,
50.0,-66.1,
55.0,-68.0,
60.0,-70.3,
65.0,-72.6,
70.0,-78.0,
74.1,-80.0,
180.0,-80.0,
ENDFIL:,EOF
