REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP8-59W
PATNUM:,3506
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951106
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,40.9
MDGAIN:,41.9
HGGAIN:,42.2
AZWIDT:,1.50
ELWIDT:,1.50
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,77
-180.00,-78.00,
-110.00,-78.00,
-100.00,-72.03,
-90.00,-70.63,
-80.00,-69.23,
-75.00,-67.83,
-70.00,-64.81,
-65.00,-61.79,
-60.00,-55.01,
-48.35,-55.01,
-45.00,-54.31,
-40.00,-52.72,
-35.00,-50.12,
-30.00,-47.52,
-25.00,-43.17,
-20.00,-38.66,
-15.00,-38.14,
-14.00,-37.84,
-13.00,-37.31,
-12.00,-36.39,
-11.00,-34.73,
-10.00,-32.68,
-7.53,-32.68,
-7.00,-32.30,
-6.00,-30.33,
-5.00,-28.32,
-2.78,-28.32,
-2.64,-26.69,
-2.38,-25.72,
-2.11,-24.76,
-1.85,-22.91,
-1.58,-14.20,
-1.32,-8.49,
-1.06,-4.87,
-0.79,-2.76,
-0.53,-1.30,
-0.26,-0.01,
0.00,0.00,
0.26,-0.01,
0.53,-1.59,
0.79,-3.17,
1.06,-5.60,
1.32,-9.17,
1.58,-16.23,
1.85,-23.03,
2.11,-24.93,
2.38,-26.40,
2.64,-27.87,
2.82,-29.79,
4.00,-29.79,
5.00,-31.14,
6.00,-32.11,
7.00,-32.84,
8.00,-33.57,
9.00,-35.10,
10.00,-36.64,
11.00,-40.61,
12.00,-42.67,
13.00,-44.73,
14.00,-45.78,
15.00,-45.85,
20.00,-45.85,
25.00,-46.74,
