REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP10-59W
PATNUM:,3500
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951108
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,42.4
MDGAIN:,43.3
HGGAIN:,43.7
AZWIDT:,1.30
ELWIDT:,1.30
ATVSWR:,1.06
FRTOBA:,78.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,84
-180.00,-78.00,
-106.37,-78.00,
-100.00,-76.52,
-90.00,-71.40,
-80.00,-66.28,
-75.00,-63.61,
-70.00,-60.95,
-65.00,-58.44,
-51.30,-58.44,
-50.00,-58.15,
-45.00,-56.99,
-40.00,-53.72,
-35.00,-50.44,
-30.00,-46.61,
-25.00,-42.61,
-20.00,-39.81,
-13.61,-39.81,
-13.00,-38.61,
-12.00,-36.97,
-11.00,-35.32,
-10.00,-32.56,
-5.67,-32.56,
-5.00,-31.96,
-4.00,-29.93,
-3.23,-29.93,
-3.17,-29.80,
-2.96,-29.15,
-2.75,-28.01,
-2.53,-27.07,
-2.32,-26.35,
-2.11,-25.63,
-1.90,-24.73,
-1.69,-22.77,
-1.48,-16.84,
-1.27,-11.38,
-1.06,-6.90,
-0.84,-4.86,
-0.63,-2.60,
-0.42,-1.18,
-0.21,-0.01,
0.00,0.00,
0.21,-0.01,
0.42,-1.32,
0.63,-2.63,
0.84,-5.42,
1.06,-7.20,
1.27,-11.98,
1.48,-17.84,
1.69,-24.46,
1.90,-26.73,
2.11,-27.24,
2.32,-27.49,
2.53,-27.74,
2.75,-29.95,
2.96,-32.10,
3.17,-33.90,
3.38,-34.39,
3.59,-34.67,
3.80,-34.94,
3.90,-35.86,
7.00,-35.86,
8.00,-36.01,
9.00,-37.09,
10.00,-38.16,
11.00,-41.03,
12.00,-43.90,
13.00,-45.69,
13.29,-46.09,
20.00,-46.09,
25.00,-48.73,
30.00,-49.38,
35.00,-50.03,
40.00,-52.21,
45.00,-53.68,
50.00,-55.14,
55.00,-57.03,
60.00,-57.60,
65.00,-57.78,
70.00,-57.97,
75.00,-63.80,
80.00,-68.35,
90.00,-75.36,
100.00,-78.00,
180.00,-78.00,
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,84
-180.00,-78.00,
-140.00,-78.00,
-130.00,-76.50,
-107.13,-76.50,
-100.00,-74.23,
-90.00,-69.58,
-80.00,-63.04,
-75.00,-59.88,
-70.00,-56.72,
-65.00,-53.92,
-60.00,-53.23,
-55.00,-52.54,
-50.00,-51.95,
-45.00,-51.35,
-40.00,-50.10,
-35.00,-48.85,
-30.00,-47.93,
-25.00,-47.01,
-20.00,-43.74,
-15.00,-40.81,
-14.00,-38.87,
-9.14,-38.87,
-9.00,-38.56,
-8.00,-36.30,
-7.00,-33.41,
-6.00,-30.47,
-5.00,-26.99,
-4.00,-24.83,
-2.77,-24.83,
-2.75,-24.79,
-2.53,-23.28,
-2.32,-21.74,
-2.11,-20.84,
-1.90,-19.93,
-1.69,-19.01,
-1.48,-16.98,
-1.27,-12.16,
-1.06,-7.43,
-0.84,-5.44,
-0.63,-2.65,
-0.42,-1.18,
-0.21,-0.01,
0.00,0.00,
0.21,-0.05,
0.42,-1.34,
0.63,-2.77,
0.84,-5.67,
1.06,-7.57,
1.27,-12.51,
1.48,-16.87,
1.69,-18.63,
1.90,-19.59,
2.11,-20.45,
