REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PL10-59W
PATNUM:,4710
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20010109
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,42.9
MDGAIN:,43.6
HGGAIN:,44.3
AZWIDT:,1.10
ELWIDT:,1.10
ATVSWR:,1.06
FRTOBA:,51.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-51.00,
-175.00,-51.00,
-175.00,-58.00,
-110.00,-58.00,
-105.50,-54.10,
-95.00,-45.00,
-30.00,-45.00,
-25.00,-45.00,
-21.67,-43.33,
-20.00,-42.00,
-19.00,-42.00,
-15.00,-40.00,
-5.91,-28.56,
-3.50,-25.00,
-3.08,-25.00,
-3.00,-24.90,
-1.70,-24.90,
-1.50,-20.00,
-1.27,-13.64,
-1.20,-10.00,
-1.00,-6.00,
-0.50,-1.90,
0.00,0.00,
0.50,-1.90,
1.00,-6.00,
1.20,-10.00,
1.27,-13.64,
1.50,-20.00,
1.70,-24.90,
3.00,-24.90,
3.08,-25.00,
3.50,-25.00,
5.91,-28.56,
15.00,-40.00,
19.00,-42.00,
20.00,-42.00,
21.67,-43.33,
25.00,-45.00,
30.00,-45.00,
95.00,-45.00,
105.50,-54.10,
110.00,-58.00,
175.00,-58.00,
175.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,37
-180.00,-59.00,
-176.00,-59.00,
-176.00,-62.00,
-176.00,-62.00,
-110.00,-62.00,
-99.33,-62.00,
-80.00,-60.19,
-48.28,-57.22,
-15.00,-52.20,
-9.00,-48.60,
-8.59,-48.35,
-8.50,-48.00,
-7.92,-45.69,
-6.00,-37.00,
-3.50,-37.00,
-3.44,-37.00,
-3.00,-30.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.00,-30.00,
3.44,-37.00,
3.50,-37.00,
6.00,-37.00,
7.92,-45.69,
8.50,-48.00,
8.59,-48.35,
9.00,-48.60,
15.00,-52.20,
48.28,-57.22,
80.00,-60.19,
99.33,-62.00,
110.00,-62.00,
176.00,-62.00,
176.00,-62.00,
176.00,-59.00,
180.00,-59.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,53
-180.00,-51.00,
-175.00,-51.00,
-175.00,-58.00,
-110.00,-58.00,
-105.50,-54.10,
-95.50,-45.43,
-95.00,-45.00,
-45.00,-45.00,
-37.50,-45.00,
-30.00,-40.00,
-26.74,-37.83,
-25.00,-34.00,
-24.00,-34.00,
-15.00,-34.00,
-13.60,-34.00,
-8.10,-27.10,
-3.72,-25.21,
-3.50,-25.00,
-3.23,-25.00,
-3.00,-24.90,
-1.70,-24.90,
-1.50,-20.00,
-1.27,-13.64,
-1.20,-10.00,
-1.00,-6.00,
-0.50,-1.90,
0.00,0.00,
0.50,-1.90,
1.00,-6.00,
1.20,-10.00,
1.27,-13.64,
1.50,-20.00,
1.70,-24.90,
3.00,-24.90,
3.23,-25.00,
3.50,-25.00,
3.72,-25.21,
8.10,-27.10,
13.60,-34.00,
15.00,-34.00,
24.00,-34.00,
25.00,-34.00,
26.74,-37.83,
30.00,-40.00,
37.50,-45.00,
45.00,-45.00,
95.00,-45.00,
95.50,-45.43,
105.50,-54.10,
110.00,-58.00,
175.00,-58.00,
175.00,-51.00,
180.00,-51.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,41
-180.00,-59.00,
-176.00,-59.00,
-176.00,-62.00,
-176.00,-62.00,
-105.00,-62.00,
-100.00,-61.00,
-70.00,-55.00,
-55.00,-55.00,
-32.50,-55.00,
-31.50,-54.84,
-15.00,-52.20,
-14.49,-51.89,
-8.50,-44.78,
-7.44,-43.53,
-7.00,-41.52,
-6.00,-37.00,
-5.00,-37.00,
-4.08,-37.00,
-3.00,-30.00,
-3.00,-30.00,
0.00,-30.00,
3.00,-30.00,
3.00,-30.00,
4.08,-37.00,
5.00,-37.00,
6.00,-37.00,
7.00,-41.52,
7.44,-43.53,
8.50,-44.78,
14.49,-51.89,
15.00,-52.20,
31.50,-54.84,
32.50,-55.00,
55.00,-55.00,
70.00,-55.00,
100.00,-61.00,
105.00,-62.00,
176.00,-62.00,
176.00,-62.00,
176.00,-59.00,
180.00,-59.00,
ENDFIL:,EOF
