REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,PAR12-59W
PATNUM:,2578
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19971205
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.2
MDGAIN:,44.9
HGGAIN:,45.7
AZWIDT:,0.90
ELWIDT:,0.90
ATVSWR:,1.06
FRTOBA:,63.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,44
-180.00,-63.00,
-113.90,-63.00,
-100.70,-55.00,
-100.00,-55.00,
-100.00,-54.60,
-99.00,-54.00,
-50.34,-53.00,
-38.14,-53.00,
-15.00,-43.00,
-14.00,-42.00,
-8.11,-41.16,
-6.06,-41.11,
-4.00,-32.10,
-2.54,-23.90,
-1.97,-23.98,
-1.06,-8.06,
-0.88,-5.91,
-0.70,-3.39,
-0.53,-1.77,
-0.35,-0.60,
-0.18,-0.01,
0.00,0.00,
0.00,0.00,
0.18,-0.01,
0.35,-0.60,
0.53,-1.77,
0.70,-3.39,
0.88,-5.91,
1.06,-8.06,
1.97,-23.98,
2.54,-23.90,
4.00,-32.10,
6.06,-41.11,
8.11,-41.16,
14.00,-42.00,
15.00,-43.00,
38.14,-53.00,
50.34,-53.00,
99.00,-54.00,
100.00,-54.60,
100.00,-55.00,
100.70,-55.00,
113.90,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,19
-180.00,-63.00,
-22.93,-63.00,
-16.00,-56.98,
-15.00,-57.07,
-8.30,-56.17,
-4.75,-46.50,
-2.00,-46.50,
-1.98,-46.07,
-1.00,-30.00,
0.00,-30.00,
1.00,-30.00,
1.98,-46.07,
2.00,-46.50,
4.75,-46.50,
8.30,-56.17,
15.00,-57.07,
16.00,-56.98,
22.93,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,40
-180.00,-63.00,
-111.00,-63.00,
-100.00,-55.00,
-100.00,-53.80,
-97.00,-52.00,
-38.00,-52.00,
-35.00,-49.00,
-15.00,-42.00,
-11.50,-42.00,
-11.00,-41.00,
-8.00,-41.00,
-4.00,-31.00,
-3.00,-25.00,
-1.50,-25.00,
-1.06,-10.46,
-0.88,-7.21,
-0.70,-4.28,
-0.53,-2.36,
-0.35,-0.99,
-0.18,-0.01,
0.00,0.00,
0.18,-0.01,
0.35,-0.99,
0.53,-2.36,
0.70,-4.28,
0.88,-7.21,
1.06,-10.46,
1.75,-27.00,
3.00,-27.00,
8.50,-44.00,
11.50,-44.00,
12.50,-47.00,
14.50,-47.00,
15.00,-48.00,
25.00,-52.00,
98.00,-52.00,
100.00,-53.80,
100.00,-55.00,
110.00,-63.00,
180.00,-63.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,13
-180.00,-63.00,
-15.00,-63.00,
-7.50,-63.00,
-3.50,-57.00,
-3.00,-52.00,
-2.25,-52.00,
-1.00,-30.00,
1.00,-30.00,
3.00,-56.00,
5.00,-56.00,
6.50,-63.00,
15.00,-63.00,
180.00,-63.00,
ENDFIL:,EOF
