REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP12-59W
PATNUM:,3502
FEDORN:,RIGHT
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951128
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,45.2
HGGAIN:,45.5
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.0,-80.0,
-90.0,-80.0,
-70.0,-62.5,
-50.0,-59.2,
-40.0,-51.4,
-20.0,-45.5,
-15.0,-45.5,
-13.0,-42.7,
-7.0,-42.7,
-3.0,-27.6,
-1.7,-27.6,
-1.6,-26.7,
-1.4,-25.2,
-1.2,-22.4,
-1.1,-14.4,
-0.9,-9.1,
-0.7,-6.0,
-0.5,-3.0,
-0.3,-1.5,
-0.2,0.0,
0.0,0.0,
0.2,0.0,
0.3,-1.3,
0.5,-2.9,
0.7,-5.7,
0.9,-9.1,
1.1,-13.3,
1.2,-19.8,
1.4,-24.5,
1.6,-26.9,
1.8,-28.8,
1.9,-30.6,
2.0,-31.0,
3.0,-31.0,
5.0,-34.3,
9.0,-35.2,
15.0,-40.7,
20.0,-42.6,
25.0,-47.9,
30.0,-50.4,
35.0,-50.9,
40.0,-51.4,
65.0,-59.7,
110.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.0,-80.0,
-130.0,-80.0,
-100.0,-75.5,
-80.0,-64.0,
-70.0,-54.0,
-53.6,-54.0,
-15.0,-41.8,
-13.0,-38.5,
-7.2,-38.5,
-3.0,-23.4,
-2.0,-23.4,
-1.9,-22.6,
-1.8,-19.8,
-1.6,-19.1,
-1.4,-18.4,
-1.2,-17.6,
-1.1,-15.1,
-0.9,-10.4,
-0.7,-6.5,
-0.5,-3.0,
-0.3,-1.5,
-0.2,0.0,
0.0,0.0,
0.2,0.0,
0.3,-1.3,
0.5,-2.8,
0.7,-5.7,
0.9,-9.3,
1.1,-13.8,
1.2,-17.9,
1.4,-19.3,
1.6,-20.3,
1.8,-21.3,
1.9,-23.5,
2.0,-24.4,
3.0,-24.4,
7.2,-38.5,
13.0,-38.5,
15.0,-41.8,
53.6,-54.0,
70.0,-54.0,
80.0,-64.0,
100.0,-75.5,
130.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.0,-80.0,
-80.0,-80.0,
-55.0,-71.0,
-44.4,-71.0,
-35.0,-68.3,
-15.0,-68.3,
-10.0,-66.4,
-3.0,-53.4,
-2.0,-35.0,
0.0,-35.0,
2.0,-35.0,
4.3,-58.1,
20.0,-58.1,
25.0,-64.7,
30.0,-66.5,
40.0,-66.5,
60.0,-70.4,
80.0,-80.0,
180.0,-80.0,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.0,-80.0,
-80.0,-80.0,
-40.0,-61.0,
-24.0,-61.0,
-15.0,-58.4,
-13.0,-55.0,
-8.8,-55.0,
-5.0,-46.2,
-3.0,-46.2,
-2.0,-35.0,
0.0,-35.0,
2.0,-35.0,
3.0,-46.2,
5.0,-46.2,
8.8,-55.0,
13.0,-55.0,
15.0,-58.4,
24.0,-61.0,
40.0,-61.0,
80.0,-80.0,
180.0,-80.0,
ENDFIL:,EOF
