REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,UHP12-59W
PATNUM:,3508
FEDORN:,LEFT 
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,19951128
LOWFRQ:,5925
HGHFRQ:,7125
GUNITS:,DBI/DBR
LWGAIN:,44.3
MDGAIN:,45.2
HGGAIN:,45.5
AZWIDT:,1.00
ELWIDT:,1.00
ATVSWR:,1.06
FRTOBA:,80.0
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,V/V
NUPOIN:,45
-180.00,-80.00,
-110.00,-80.00,
-65.00,-59.72,
-40.00,-51.37,
-35.00,-50.89,
-30.00,-50.40,
-25.00,-47.93,
-20.00,-42.63,
-15.00,-40.71,
-9.00,-35.21,
-5.00,-34.32,
-3.00,-31.00,
-1.98,-31.00,
-1.94,-30.59,
-1.76,-28.80,
-1.58,-26.94,
-1.41,-24.48,
-1.23,-19.81,
-1.06,-13.29,
-0.88,-9.13,
-0.70,-5.66,
-0.53,-2.87,
-0.35,-1.30,
-0.18,-0.01,
0.00,0.00,
0.18,-0.01,
0.35,-1.51,
0.53,-3.01,
0.70,-6.02,
0.88,-9.13,
1.06,-14.37,
1.23,-22.35,
1.41,-25.20,
1.58,-26.74,
1.68,-27.59,
3.00,-27.59,
7.00,-42.70,
13.00,-42.70,
15.00,-45.50,
20.00,-45.50,
40.00,-51.42,
50.00,-59.23,
70.00,-62.53,
90.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/H
NUPOIN:,45
-180.00,-80.00,
-130.00,-80.00,
-100.00,-75.50,
-80.00,-64.02,
-70.00,-54.01,
-53.61,-54.01,
-15.00,-41.80,
-13.00,-38.53,
-7.17,-38.53,
-3.00,-24.37,
-2.00,-24.37,
-1.94,-23.49,
-1.76,-21.31,
-1.58,-20.30,
-1.41,-19.29,
-1.23,-17.88,
-1.06,-13.82,
-0.88,-9.29,
-0.70,-5.67,
-0.53,-2.76,
-0.35,-1.29,
-0.18,-0.01,
0.00,0.00,
0.18,-0.01,
0.35,-1.51,
0.53,-3.05,
0.70,-6.51,
0.88,-10.40,
1.06,-15.15,
1.23,-17.65,
1.41,-18.42,
1.58,-19.13,
1.76,-19.83,
1.94,-22.65,
1.97,-23.36,
3.00,-23.36,
7.17,-38.53,
13.00,-38.53,
15.00,-41.80,
53.61,-54.01,
70.00,-54.01,
80.00,-64.02,
100.00,-75.50,
130.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:,19
-180.00,-80.00,
-80.00,-80.00,
-60.00,-70.38,
-40.00,-66.50,
-30.00,-66.50,
-25.00,-64.72,
-20.00,-58.06,
-4.30,-58.06,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
3.00,-53.40,
10.00,-66.41,
15.00,-68.25,
35.00,-68.25,
44.37,-71.00,
55.00,-71.00,
80.00,-80.00,
180.00,-80.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:,21
-180.00,-80.00,
-80.00,-80.00,
-40.00,-61.00,
-23.96,-61.00,
-15.00,-58.37,
-13.00,-55.00,
-8.82,-55.00,
-5.00,-46.17,
-3.00,-46.17,
-2.00,-35.00,
0.00,-35.00,
2.00,-35.00,
3.00,-46.17,
5.00,-46.17,
8.82,-55.00,
13.00,-55.00,
15.00,-58.37,
23.96,-61.00,
40.00,-61.00,
80.00,-80.00,
180.00,-80.00,
ENDFIL:,EOF
