REVNUM:,NSMA WG16.99.050
REVDAT:,19990520
ANTMAN:,ANDREW CORPORATION
MODNUM:,HP4-65
PATNUM:,1081B
FEDORN:,NA
DESCR1:,
DESCR2:,
DESCR3:,
DESCR4:,
DESCR5:,
DTDATA:,20011130
LOWFRQ:, 6425 
HGHFRQ:, 7125 
GUNITS:,DBI/DBR
LWGAIN:,35.5
MDGAIN:,36.0
HGGAIN:,36.4
AZWIDT:,2.7
ELWIDT:,2.7
ATVSWR:,1.08
FRTOBA:,58
ELTILT:,0
PATTYP:,ENVELOPE
NOFREQ:,NA
PATFRE:,NA
NUMCUT:,4
PATCUT:,AZ
POLARI:,H/H
NUPOIN:, 37 
-180.00,-58.00,
-100.00,-58.00,
-60.00,-38.00,
-40.00,-30.00,
-20.00,-25.00,
-15.00,-25.00,
-5.00,-20.00,
-3.50,-18.00,
-3.00,-13.20,
-2.50,-9.20,
-2.00,-5.90,
-1.60,-3.80,
-1.30,-2.50,
-1.00,-1.50,
-0.80,-0.90,
-0.60,-0.50,
-0.40,-0.20,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.20,
0.60,-0.50,
0.80,-0.90,
1.00,-1.50,
1.30,-2.50,
1.60,-3.80,
2.00,-5.90,
2.50,-9.20,
3.00,-13.20,
3.50,-18.00,
5.00,-20.00,
15.00,-25.00,
20.00,-25.00,
40.00,-30.00,
60.00,-38.00,
100.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,H/V
NUPOIN:, 19 
-180.00,-58.00,
-100.00,-58.00,
-40.00,-40.00,
-35.00,-39.50,
-30.00,-39.50,
-20.00,-38.00,
-15.00,-38.00,
-6.00,-38.00,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
6.00,-38.00,
15.00,-38.00,
20.00,-38.00,
30.00,-39.50,
35.00,-39.50,
40.00,-40.00,
100.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/V
NUPOIN:, 37 
-180.00,-58.00,
-100.00,-58.00,
-60.00,-38.00,
-40.00,-30.00,
-20.00,-25.00,
-15.00,-25.00,
-5.00,-20.00,
-3.50,-18.00,
-3.00,-13.20,
-2.50,-9.20,
-2.00,-5.90,
-1.60,-3.80,
-1.30,-2.50,
-1.00,-1.50,
-0.80,-0.90,
-0.60,-0.50,
-0.40,-0.20,
-0.20,-0.10,
0.00,0.00,
0.20,-0.10,
0.40,-0.20,
0.60,-0.50,
0.80,-0.90,
1.00,-1.50,
1.30,-2.50,
1.60,-3.80,
2.00,-5.90,
2.50,-9.20,
3.00,-13.20,
3.50,-18.00,
5.00,-20.00,
15.00,-25.00,
20.00,-25.00,
40.00,-30.00,
60.00,-38.00,
100.00,-58.00,
180.00,-58.00,
PATCUT:,AZ
POLARI:,V/H
NUPOIN:, 19 
-180.00,-58.00,
-100.00,-58.00,
-40.00,-40.00,
-35.00,-39.50,
-30.00,-39.50,
-20.00,-38.00,
-15.00,-38.00,
-6.00,-38.00,
-3.50,-30.00,
0.00,-30.00,
3.50,-30.00,
6.00,-38.00,
15.00,-38.00,
20.00,-38.00,
30.00,-39.50,
35.00,-39.50,
40.00,-40.00,
100.00,-58.00,
180.00,-58.00,
ENDFIL:,EOF
